,Metric,Leaf_Size,Ticker,NN1,NN2,NN3,NN4,NN5,Time
0,euclidean,10,AAPL,MSFT,T,VZ,GOOGL,FB,0.009772539138793945
1,euclidean,10,ILMN,MNST,EA,EW,ALGN,WDAY,0.007044076919555664
2,euclidean,10,APPS,OSTK,XONE,BIOL,EMAN,RDVT,0.006234407424926758
3,euclidean,30,AAPL,MSFT,T,VZ,GOOGL,FB,0.00818324089050293
4,euclidean,30,ILMN,MNST,EA,EW,ALGN,WDAY,0.006988525390625
5,euclidean,30,APPS,OSTK,XONE,BIOL,EMAN,RDVT,0.008010149002075195
6,euclidean,100,AAPL,MSFT,T,VZ,GOOGL,FB,0.007082223892211914
7,euclidean,100,ILMN,MNST,EA,EW,ALGN,WDAY,0.0070650577545166016
8,euclidean,100,APPS,OSTK,XONE,BIOL,EMAN,RDVT,0.006985664367675781
9,manhattan,10,AAPL,MSFT,T,AMZN,VZ,GOOGL,0.0070307254791259766
10,manhattan,10,ILMN,MNST,EW,EA,ALGN,CTAS,0.0074541568756103516
11,manhattan,10,APPS,OSTK,BIOL,XONE,ADMP,EMAN,0.007055044174194336
12,manhattan,30,AAPL,MSFT,T,AMZN,VZ,GOOGL,0.009001016616821289
13,manhattan,30,ILMN,MNST,EW,EA,ALGN,CTAS,0.008208036422729492
14,manhattan,30,APPS,OSTK,BIOL,XONE,ADMP,EMAN,0.00800013542175293
15,manhattan,100,AAPL,MSFT,T,AMZN,VZ,GOOGL,0.008118152618408203
16,manhattan,100,ILMN,MNST,EW,EA,ALGN,CTAS,0.0069997310638427734
17,manhattan,100,APPS,OSTK,BIOL,XONE,ADMP,EMAN,0.007948875427246094
18,chebyshev,10,AAPL,MSFT,FB,JNJ,T,VZ,0.006000518798828125
19,chebyshev,10,ILMN,EA,WDAY,ROP,MNST,ALGN,0.00576019287109375
20,chebyshev,10,APPS,OSTK,BTN,XONE,BIOL,RDVT,0.007090091705322266
21,chebyshev,30,AAPL,MSFT,FB,JNJ,T,VZ,0.0061359405517578125
22,chebyshev,30,ILMN,EA,WDAY,ROP,MNST,ALGN,0.00599980354309082
23,chebyshev,30,APPS,OSTK,BTN,XONE,BIOL,RDVT,0.005999326705932617
24,chebyshev,100,AAPL,MSFT,FB,JNJ,T,VZ,0.0060732364654541016
25,chebyshev,100,ILMN,EA,WDAY,ROP,MNST,ALGN,0.006994485855102539
26,chebyshev,100,APPS,OSTK,BTN,XONE,BIOL,RDVT,0.007014751434326172
