,index,Ticker,Mkt Cap,Sector,Price,P/E,Returns
0,0,ESTE,300028352.0,Energy,13.47,0.0,-24.05
1,1,OSK,5189991936.0,Industrials,69.39,21.47951427,3.99
2,2,MTZ,3647474944.0,Industrials,44.15,25.21916067,-0.34
3,3,HLI,2237872640.0,Financials,33.54,22.00822063,32.68
4,4,UTMD,232554608.0,Health Care,62.6,18.83868787,62.22
5,5,ICAD,90320240.0,Health Care,5.59,0.0,-31.84
6,6,UFCS,1119460480.0,Financials,44.0,24.77103673,14.3
7,7,UTL,683288448.0,Utilities,48.43,23.74019583,0.33
8,8,GIII,1152778496.0,Consumer Discretionary,23.7,16.36631784,53.97
9,9,AMSC,74086120.0,Industrials,5.21,0.0,13.24
10,10,AMSWA,323291168.0,Information Technology,10.97,38.96080791,16.32
11,11,VOC,82961696.0,Energy,4.880125,17.12324583,4.51
12,12,HFC,5012152320.0,Energy,28.14,29.74985292,115.67
13,13,QDEL,802585152.0,Health Care,24.17,160.0948399,134.59
14,14,TESS,116615600.0,Information Technology,14.0,145.7938396,26.07
15,15,BKE,913471168.0,Consumer Discretionary,18.7,9.21182279,23.26
16,16,PMD,104126392.0,Health Care,19.07,12.79865738,10.44
17,17,NRT,65345096.0,Energy,7.11,10.77272721,22.64
18,18,XLNX,15710275584.0,Information Technology,63.11,27.20258699,1.79
19,19,OLP,448015968.0,Real Estate,24.28,30.63722324,-2.14
20,20,CNBKA,308172128.0,Financials,63.05,15.96594204,26.88
21,21,ONB,2274230272.0,Financials,16.8,15.26920107,2.38
22,22,OTTR,1556729088.0,Utilities,39.5,24.68749963,11.01
23,23,ARCW,66893544.0,Industrials,3.55,0.0,-35.21
24,24,BLGO,48422056.0,Materials,0.51,0.0,0.0
25,25,VMI,3440765952.0,Industrials,152.35,20.5300818,-6.73
26,26,ASRV,76295608.0,Financials,4.05,16.15334922,1.23
27,27,NTRS,20653643776.0,Financials,90.0,20.60902837,18.61
28,28,ARKR,86722760.0,Consumer Discretionary,25.331375,19.35220271,0.0
29,29,NATR,190522384.0,Consumer Staples,10.1,33.79135625,-8.42
30,30,MUX,910753088.0,Materials,3.04,74.49336832,-31.58
31,31,COHU,502858784.0,Information Technology,18.73,35.94885395,14.26
32,32,KEWL,131583056.0,Materials,102.0,869.0466453,5.39
33,33,SANM,2813670400.0,Information Technology,37.25,16.01541577,-20.81
34,34,APEI,358460384.0,Consumer Discretionary,22.1,10.21844817,82.35
35,35,STAA,425482816.0,Health Care,10.4,0.0,56.25
36,36,ODC,296921440.0,Consumer Staples,40.69,27.62907308,-4.74
37,37,NAII,67004184.0,Consumer Staples,9.75,6.224507354,3.08
38,38,IONS,5969803776.0,Health Care,48.19,0.0,-10.71
39,39,BIG,2261261568.0,Consumer Discretionary,50.49,13.89310074,-15.92
40,40,IDRA,350370208.0,Health Care,18.8,0.0,-34.89
41,41,RIG,4311859200.0,Energy,11.03,6.361194852,12.15
42,42,UEIC,998587584.0,Consumer Discretionary,69.3,39.0130423,-33.19
43,43,DX,340479104.0,Financials,20.76002076,8.701379425,-4.91
44,44,NKE,91468972032.0,Consumer Discretionary,55.41,23.08749966,23.43
45,45,KBH,1756632960.0,Consumer Discretionary,20.6,14.45243849,28.88
46,46,K,24853602304.0,Consumer Staples,71.0,19.02046743,-17.04
47,47,MRTN,810073728.0,Industrials,9.919998016,30.35692045,31.05
48,48,SDG,193198909.4,Consumer Discretionary,2.777775,18.32299675,-42.27
49,49,FNLC,291692544.0,Financials,26.97,16.05357136,2.78
50,50,PESI,42052856.0,Industrials,3.6,0.0,23.61
51,51,J,6649235456.0,Industrials,54.92,16.89456803,5.77
52,52,KMT,3334465792.0,Industrials,41.58,29.07031555,-12.34
53,53,TKR,3763184640.0,Industrials,48.25,23.59493921,-11.4
54,54,TRI,32812449066.0,Industrials,50.0421171,29.13147106,0.0
55,55,PHM,7152473088.0,Consumer Discretionary,22.67,10.82021216,33.92
56,56,JBSS,828011584.0,Consumer Staples,73.5,24.99402325,-22.6
57,57,INTU,32026880000.0,Information Technology,125.21,41.99704682,47.58
58,58,ORLY,22741975040.0,Consumer Discretionary,248.15,22.6207839,3.19
59,59,AFL,30040147968.0,Financials,37.44,11.05903541,21.71
60,60,REFR,30295246.0,Information Technology,1.26,0.0,0.0
61,61,RELL,76836800.0,Information Technology,5.98,0.0,55.02
62,62,SNFCA,98071688.0,Financials,5.618455925,7.662667712,-19.75
63,63,C,163459000000.0,Financials,59.12,11.2157326,15.48
64,64,KAYS,29703944.0,Health Care,3.472482638,0.0,0.0
65,65,LMT,77990436864.0,Industrials,269.45,21.56214924,19.07
66,66,FUN,4030408704.0,Consumer Discretionary,71.67,21.83176051,-5.48
67,67,EZPW,491343392.0,Financials,9.05,451.8898857,51.38
68,68,ROP,22279895040.0,Industrials,218.7,32.21069659,20.8
69,69,AMED,1825105024.0,Health Care,54.2,34.11431206,21.94
70,70,WDFC,1474526976.0,Consumer Staples,104.85,29.49528893,25.8
71,71,NNN,6265725952.0,Real Estate,42.22,32.04953116,-9.9
72,72,ROST,25479972864.0,Consumer Discretionary,65.0,22.9681985,24.38
73,73,SBUX,87531446272.0,Consumer Discretionary,60.06,29.51328146,-4.15
74,74,CL,63632416768.0,Consumer Staples,72.04,25.25065731,-9.45
75,75,MTEX,42424928.0,Consumer Staples,15.65,0.0,27.48
76,76,IIN,60734772.0,Health Care,8.9,0.0,161.8
77,77,CLH,3324435456.0,Industrials,58.11,421.1052463,-21.18
78,78,LCUT,279665984.0,Consumer Discretionary,19.2,15.73915019,-38.02
79,79,ECL,37443502080.0,Materials,129.09,29.47958873,12.15
80,80,GTN,1056766464.0,Communication Services,14.65,12.95395209,-22.87
81,81,VNO,18217447424.0,Real Estate,77.77654848,46.98061366,-12.53
82,82,DOV,12279225344.0,Industrials,63.67027952,20.3653724,17.52
83,83,CSX,46906064896.0,Industrials,16.94666667,26.17881904,16.82
84,84,CTS,726007616.0,Information Technology,22.1,30.89781272,35.52
85,85,DXYN,60446444.0,Consumer Discretionary,3.75,0.0,-18.67
86,86,RRD,880012608.0,Industrials,12.57,13.07332308,-32.78
87,87,BIIB,57527762944.0,Health Care,271.21,15.05607597,0.88
88,88,CCK,7633116672.0,Materials,56.09,14.25771312,-11.14
89,89,EFX,16265858048.0,Industrials,135.31,29.32142084,-17.19
90,90,PKI,6522445824.0,Health Care,59.41,27.53794266,23.48
91,91,HRTX,824247552.0,Health Care,15.35,0.0,97.39
92,92,ESE,1513808000.0,Industrials,58.85,29.95206621,-5.1
93,93,CDOR,116825416.0,Real Estate,10.7,0.0,-8.79
94,94,MRK,170880000000.0,Health Care,59.43327558,28.52632149,-5.55
95,95,DY,3320045568.0,Industrials,105.66,22.6390548,-1.7
96,96,MDP,2630805504.0,Communication Services,58.55,13.94598125,-11.53
97,97,VMC,16033140736.0,Materials,120.88,41.38613491,-7.6
98,98,TCBK,811087360.0,Financials,35.46,17.15809523,5.39
99,99,IDXX,14780946432.0,Health Care,167.73,61.7137009,15.95
100,100,KO,184361000000.0,Consumer Staples,43.15,22.86475518,0.14
