Source,Target
0,2404
0,2399
0,529
0,2893
0,3073
1,50
1,308
1,2057
1,2182
1,2328
2,2441
2,999
2,2172
2,227
2,74
3,1381
3,2984
3,1913
3,1584
3,1510
4,1749
4,1579
4,2961
4,2180
4,2252
5,2573
5,2183
5,795
5,2086
5,2703
6,1455
6,1007
6,191
6,1347
6,1187
7,2222
7,294
7,326
7,2668
7,1511
8,1393
8,1402
8,1351
8,389
8,985
9,795
9,660
9,1408
9,635
9,2176
10,1938
10,858
10,16
10,895
10,1700
11,17
11,982
11,2038
11,266
11,615
12,1239
12,1928
12,1958
12,2848
12,2430
13,2504
13,1289
13,1755
13,1825
13,440
14,1368
14,351
14,1684
14,2031
14,1669
15,344
15,2291
15,200
15,2652
15,2387
16,858
16,1876
16,392
16,1550
16,142
17,11
17,266
17,2626
17,281
17,1236
18,231
18,1645
18,2212
18,401
18,1789
19,905
19,2597
19,2626
19,266
19,1236
20,2728
20,1889
20,987
20,2073
20,1888
21,2253
21,2069
21,240
21,481
21,1557
22,1230
22,2229
22,713
22,204
22,2307
23,717
23,2617
23,2037
23,2644
23,1925
24,1551
24,451
24,1157
24,2285
24,818
25,156
25,1997
25,793
25,100
25,629
26,1696
26,2099
26,2678
26,919
26,1759
27,198
27,2314
27,1454
27,1361
27,819
28,3023
28,1408
28,1194
28,635
28,1592
29,1368
29,2072
29,721
29,1904
29,694
30,817
30,174
30,2008
30,1911
30,2131
31,2042
31,1809
31,2857
31,600
31,1364
32,2894
32,1422
32,1906
32,3032
32,2809
33,766
33,1849
33,1600
33,2918
33,2535
34,981
34,2317
34,523
34,2329
34,1802
35,657
35,1772
35,1127
35,2418
35,2204
36,2453
36,2809
36,1199
36,2694
36,2915
37,52
37,1701
37,2944
37,1818
37,1416
38,263
38,2505
38,2831
38,733
38,2796
39,1719
39,2803
39,2378
39,2979
39,1479
40,2657
40,1666
40,561
40,399
40,2756
41,929
41,2739
41,2780
41,411
41,1210
42,2105
42,1311
42,1234
42,2507
42,2064
43,359
43,1204
43,316
43,70
43,1329
44,2485
44,138
44,1213
44,723
44,380
45,2077
45,949
45,1134
45,546
45,1780
46,1893
46,1099
46,2631
46,1614
46,1073
47,472
47,1510
47,1281
47,22
47,3
48,596
48,617
48,2260
48,298
48,63
49,803
49,2383
49,460
49,2731
49,2982
50,1
50,308
50,1936
50,2328
50,903
51,601
51,1901
51,52
51,1416
51,839
52,1416
52,51
52,601
52,890
52,839
53,1867
53,343
53,1306
53,186
53,1958
54,1556
54,1738
54,2119
54,2160
54,662
55,1013
55,797
55,2256
55,2032
55,441
56,2549
56,182
56,2032
56,732
56,1624
57,686
57,606
57,314
57,942
57,1628
58,1015
58,482
58,2195
58,2921
58,2285
59,2393
59,1282
59,2455
59,1451
59,2397
60,538
60,504
60,912
60,2049
60,1668
61,1359
61,1102
61,1659
61,2159
61,70
62,1339
62,1193
62,1769
62,729
62,2398
63,1923
63,2260
63,1205
63,2036
63,1751
64,3004
64,2334
64,340
64,786
64,1724
65,493
65,1042
65,664
65,2032
65,1928
66,1872
66,1289
66,1445
66,2657
66,1825
67,115
67,445
67,112
67,864
67,3074
68,1973
68,849
68,339
68,2696
68,391
69,1358
69,76
69,755
69,676
69,364
70,285
70,359
70,316
70,661
70,71
71,570
71,285
71,316
71,2158
71,698
72,1485
72,1876
72,1511
72,1079
72,858
73,1681
73,2459
73,2309
73,2471
73,2588
74,1489
74,480
74,1061
74,2172
74,1393
75,431
75,392
75,1709
75,1633
75,1876
76,69
76,676
76,1028
76,379
76,1842
77,935
77,2330
77,1869
77,1238
77,646
78,1576
78,2079
78,108
78,1259
78,1403
79,903
79,1285
79,1465
79,2068
79,155
80,173
80,2269
80,570
80,683
80,1842
81,1269
81,336
81,1805
81,2315
81,2913
82,1142
82,1165
82,2346
82,2530
82,2803
83,1353
83,2386
83,905
83,19
83,93
84,1039
84,1204
84,1359
84,2097
84,1638
85,3078
85,2029
85,2691
85,2210
85,2147
86,155
86,1874
86,328
86,624
86,986
87,442
87,1448
87,2238
87,235
87,498
88,2744
88,1976
88,2958
88,2856
88,2140
89,2225
89,561
89,2246
89,1766
89,1197
90,1998
90,1211
90,1316
90,1083
90,324
91,97
91,2295
91,353
91,1903
91,947
92,578
92,2058
92,1132
92,1821
92,864
93,3082
93,1423
93,415
93,1052
93,1764
94,2328
94,1255
94,1044
94,2057
94,1473
95,1950
95,597
95,1729
95,1296
95,1648
96,1108
96,87
96,2238
96,2241
96,442
97,91
97,2295
97,947
97,353
97,2207
98,1500
98,198
98,1324
98,1788
98,1767
99,572
99,1991
99,1048
99,767
99,1621
100,1527
100,156
100,1823
100,25
100,793
101,363
101,310
101,2421
101,1788
101,1232
102,1241
102,1312
102,2772
102,2849
102,69
103,1925
103,2644
103,2556
103,586
103,2724
104,1058
104,109
104,2554
104,1426
104,2421
105,2504
105,1475
105,1872
105,1445
105,66
106,1545
106,515
106,2582
106,2603
106,2178
107,1825
107,1872
107,1289
107,1755
107,13
108,236
108,1576
108,78
108,391
108,2079
109,104
109,2554
109,1058
109,2129
109,1291
110,994
110,2090
110,147
110,140
110,309
111,2123
111,567
111,426
111,1890
111,2688
112,1434
112,799
112,445
112,3068
112,1089
113,3008
113,800
113,265
113,3052
113,1124
114,776
114,324
114,2751
114,249
114,956
115,67
115,656
115,445
115,2692
115,864
116,1577
116,1828
116,428
116,670
116,1046
117,514
117,1926
117,2163
117,57
117,686
118,1094
118,908
118,1380
118,792
118,1824
119,35
119,2956
119,1224
119,657
119,1321
120,3076
120,1909
120,3077
120,2777
120,579
121,2398
121,322
121,2014
121,302
121,1178
122,262
122,593
122,1637
122,1773
122,839
123,1275
123,2799
123,1205
123,1973
123,1923
124,2148
124,509
124,683
124,173
124,2256
125,606
125,1020
125,503
125,2527
125,1753
126,485
126,969
126,837
126,348
126,1150
127,2789
127,1254
127,218
127,1846
127,202
128,1571
128,1180
128,2275
128,2757
128,1734
129,1772
129,287
129,2311
129,996
129,1085
130,2503
130,2705
130,2051
130,2367
130,1248
131,2388
131,1939
131,1291
131,1402
131,2543
132,2325
132,1201
132,2846
132,65
132,2849
133,2065
133,1485
133,2887
133,1079
133,2002
134,2893
134,432
134,574
134,1898
134,529
135,1992
135,165
135,438
135,2191
135,1884
136,1301
136,212
136,2591
136,892
136,1123
137,668
137,1767
137,310
137,1157
137,2344
138,2485
138,723
138,44
138,2486
138,1213
139,659
139,1146
139,2869
139,2348
139,1901
140,1648
140,597
140,1957
140,1357
140,1208
141,1232
141,689
141,2149
141,1438
141,1845
142,1709
142,16
142,392
142,1718
142,858
143,2150
143,3044
143,745
143,946
143,2902
144,1614
144,1816
144,2731
144,2679
144,2907
145,2427
145,527
145,1141
145,50
145,1397
146,2720
146,680
146,338
146,2273
146,953
147,994
147,309
147,2090
147,1655
147,1111
148,747
148,271
148,714
148,467
148,1086
149,2177
149,204
149,1110
149,1649
149,1620
150,2516
150,2588
150,1681
150,1573
150,73
151,1842
151,1028
151,464
151,755
151,2466
152,1283
152,2996
152,1471
152,1520
152,656
153,2373
153,2889
153,221
153,2356
153,2822
154,286
154,574
154,386
154,2364
154,725
155,86
155,79
155,328
155,1244
155,903
156,25
156,458
156,1043
156,100
156,3092
157,2888
157,2273
157,2720
157,1426
157,338
158,2616
158,1135
158,1308
158,200
158,1377
159,2509
159,2160
159,1988
159,2119
159,1802
160,997
160,1220
160,2709
160,999
160,985
161,610
161,2084
161,1070
161,1348
161,2668
162,2228
162,2859
162,2037
162,951
162,2617
163,2980
163,354
163,1279
163,1349
163,178
164,2805
164,1452
164,2076
164,1917
