,index,Ticker,Mkt Cap,Sector,Price,P/E
0,0,ESTE,149950512.0,Energy,2.31,1.184159364
1,1,OSK,4596814848.0,Industrials,67.53,9.630851503
2,2,MTZ,2647708160.0,Industrials,35.9,7.32310081
3,3,HLI,3893297664.0,Financials,59.38,21.14447256
4,4,UTMD,302321760.0,Health Care,83.0,21.04462503
5,5,ICAD,259716912.0,Health Care,11.42,0.0
6,6,UFCS,714489600.0,Financials,28.6,0.0
7,7,UTL,752600448.0,Utilities,50.31,22.7647061
8,8,GIII,543945920.0,Consumer Discretionary,11.33,3.504667164
9,9,AMSC,129700096.0,Industrials,5.75,0.0
10,10,AMSWA,530492096.0,Information Technology,16.48,65.92
11,11,HFC,5348634112.0,Energy,33.04,6.115931541
12,12,QDEL,5837368832.0,Health Care,139.0,69.88074666
13,13,BKE,756439232.0,Consumer Discretionary,15.31,7.154205257
14,14,XLNX,21748316160.0,Information Technology,87.4,27.00121788
15,15,OLP,316790304.0,Real Estate,15.72,24.09044097
16,16,CNBKA,415867136.0,Financials,74.69,11.89954039
17,17,ONB,2339594496.0,Financials,14.17,10.45518049
18,18,OTTR,1786180352.0,Utilities,44.38,20.45161218
19,19,VMI,2503845120.0,Industrials,117.24,15.45057754
20,20,NTRS,16469399552.0,Financials,79.16,12.02018519
21,21,NATR,171363280.0,Consumer Staples,8.8,20.56752301
22,22,MUX,385543648.0,Materials,0.9629,0.0
23,23,COHU,685356160.0,Information Technology,16.53,0.0
24,24,PRMW,1598716402.0,Consumer Staples,10.23045445,51.71127278
25,25,KEWL,79827056.0,Materials,61.88,143.9444659
26,26,SANM,1891398784.0,Information Technology,27.73,11.82589621
27,27,KRMD,479415904.0,Health Care,12.08,141.6311082
28,28,APEI,382530816.0,Consumer Discretionary,25.77,23.46291614
29,29,STAA,1722981504.0,Health Care,38.32,167.8897639
30,30,ODC,284616256.0,Consumer Staples,37.39,15.67402046
31,31,IONS,7734635008.0,Health Care,55.53,25.23057566
32,32,BIG,918458880.0,Consumer Discretionary,23.45,443.3646463
33,33,RIG,786658944.0,Energy,1.28,0.0
34,34,UEIC,574293824.0,Consumer Discretionary,41.28,16.40003428
35,35,DX,328872096.0,Financials,14.31,12.48669248
36,36,NKE,135568000000.0,Consumer Discretionary,87.18,29.97378091
37,37,KBH,2373361408.0,Consumer Discretionary,26.24,7.713876353
38,38,K,22433658880.0,Consumer Staples,65.5,17.06971163
39,39,MRTN,1229527424.0,Industrials,14.94666667,22.62208358
40,40,FNLC,239174416.0,Financials,21.9,9.201680691
41,41,J,11009899520.0,Industrials,82.75,14.62599697
42,42,KMT,2123019648.0,Industrials,25.61,13.18028214
43,43,TKR,2849068288.0,Industrials,37.58,7.535225109
44,44,PHM,7580558336.0,Consumer Discretionary,28.27,7.334162692
45,45,JBSS,947518720.0,Consumer Staples,82.13,17.37713399
46,46,INTU,70282665984.0,Information Technology,269.81,43.59369191
47,47,ORLY,28666142720.0,Consumer Discretionary,386.34,21.69230747
48,48,AFL,26719995904.0,Financials,37.24,8.23342952
49,49,REFR,94547432.0,Information Technology,3.01,0.0
50,50,SNFCA,94332704.0,Financials,5.347270616,0.0
51,51,C,101092000000.0,Financials,48.56,6.464036455
52,52,LMT,109106000000.0,Industrials,389.06,14.67272473
53,53,FUN,1635324800.0,Consumer Discretionary,28.84,8.389891502
54,54,EZPW,311479616.0,Financials,5.6,5.140477289
55,55,ROP,35601592320.0,Industrials,341.03,34.29472173
56,56,AMED,5961322496.0,Health Care,184.16,43.44863818
57,57,WDFC,2382135552.0,Consumer Staples,174.28,45.42750817
58,58,NNN,5612870144.0,Real Estate,32.64,20.96141177
59,59,ROST,32468160512.0,Consumer Discretionary,91.36,19.86086998
60,60,SBUX,89643655168.0,Consumer Discretionary,76.73,29.10899492
61,61,CL,60252819456.0,Consumer Staples,70.27,24.78856372
62,62,IIN,116333120.0,Health Care,13.2,126.8450152
63,63,NOBH,76250368.0,Consumer Discretionary,21.0,11.66555852
64,64,CLH,2969596928.0,Industrials,53.43,24.02811598
65,65,LCUT,122468384.0,Consumer Discretionary,5.7,45.737579
66,66,ECL,55953670144.0,Materials,193.5,31.31032475
67,67,GTN,1160147584.0,Communication Services,11.61,8.097245263
68,68,VNO,8374174208.0,Real Estate,43.82,0.0
69,69,DOV,13480637440.0,Industrials,93.65,17.25813622
70,70,CSX,50696806400.0,Industrials,22.07666667,16.60860021
71,71,CTS,747139456.0,Information Technology,23.16,20.26473699
72,72,RRD,121923000.0,Industrials,1.71,1.646778505
73,73,BIIB,48438939648.0,Health Care,296.83,8.688214201
74,74,CCK,8674442240.0,Materials,64.41,16.40134908
75,75,EFX,16860395520.0,Industrials,138.9,28.31004799
76,76,PKI,10076388352.0,Health Care,90.53,32.95369556
77,77,HRTX,1292557056.0,Health Care,14.26,0.0
78,78,ESE,1982962944.0,Industrials,76.3,27.24698293
79,79,MRK,200340000000.0,Health Care,75.65275284,13.81754897
80,80,DY,1030223168.0,Industrials,32.6,27.23898752
81,81,MDP,672398016.0,Communication Services,14.83,4.386553843
82,82,VMC,14974770176.0,Materials,112.97,24.58069595
83,83,TCBK,902802304.0,Financials,30.12,10.77201205
84,84,IDXX,23577393152.0,Health Care,277.6,55.52000132
85,85,KO,197093000000.0,Consumer Staples,45.89,21.14028584
86,86,OXM,702176896.0,Consumer Discretionary,41.92,9.787662883
87,87,PCG,5631263232.0,Utilities,10.64,2.760648421
88,88,BANF,1257224064.0,Financials,38.51,10.21260836
89,89,PTEN,688196096.0,Energy,3.69,0.0
90,90,REGN,59173216256.0,Health Care,525.88,24.57788699
91,91,TELL,366126080.0,Energy,1.42,0.0
92,92,MTW,323207776.0,Industrials,9.22,5.07707289
93,93,IVC,255067888.0,Health Care,7.52,0.0
94,94,NVEC,275108000.0,Information Technology,56.77,19.64359871
95,95,LCI,384877664.0,Health Care,9.54,26.71887154
96,96,HST,8689403904.0,Real Estate,12.31,15.10922617
97,97,STRL,275094592.0,Industrials,9.88,5.472274507
98,98,MSEX,1051589760.0,Utilities,60.3,30.00000014
99,99,LANC,3704075264.0,Consumer Staples,134.63,25.60721822
100,100,ACTG,125423752.0,Industrials,2.53,0.0
