,index,Ticker,Mkt Cap,Sector,Price,P/E,Returns
0,0,ESTE,565544128.0,Energy,9.59,15.29585964,-12.62
1,1,OSK,5582278144.0,Industrials,74.6,18.94315974,-5.82
2,2,MTZ,3376276992.0,Industrials,40.8,13.83935666,7.35
3,3,HLI,2412351232.0,Financials,36.05,18.19028639,30.46
4,4,UTMD,268325856.0,Health Care,72.15,20.58517843,25.92
5,5,ICAD,65714924.0,Health Care,3.96,0.0,-24.24
6,6,UFCS,1052709056.0,Financials,42.06,26.33312223,17.76
7,7,UTL,703801344.0,Utilities,49.86,23.85645912,1.38
8,8,GIII,1338191744.0,Consumer Discretionary,27.5,22.89434476,65.38
9,9,AMSC,74474296.0,Industrials,3.88,0.0,57.22
10,10,AMSWA,307147296.0,Information Technology,11.01,39.72176661,63.31
11,11,VOC,59330000.0,Energy,3.49,7.270833383,67.91
12,12,HFC,5550609920.0,Energy,31.31,35.03271699,138.01
13,13,QDEL,1168406784.0,Health Care,34.94,232.9768062,120.03
14,14,TESS,109658792.0,Information Technology,13.1,42.10106815,36.26
15,15,BKE,691207040.0,Consumer Discretionary,14.15,7.861111124,81.98
16,16,PMD,116091432.0,Health Care,21.14,15.65925898,-8.56
17,17,NRT,60565988.0,Energy,6.59,9.984848426,22.91
18,18,XLNX,16422616064.0,Information Technology,66.06,28.46381962,17.82
19,19,DCTH,55192856.0,Health Care,9492067.925,0.0,0.0
20,20,OLP,447306144.0,Real Estate,24.01,30.77439657,19.91
21,21,CNBKA,371936320.0,Financials,66.8,17.02885299,6.66
22,22,ONB,2215686656.0,Financials,16.35,13.92737449,24.16
23,23,OTTR,1653498880.0,Utilities,41.8,24.3023256,14.59
24,24,ARCW,44520484.0,Industrials,2.45,0.0,-22.45
25,25,BLGO,47818292.0,Materials,0.4754,0.0,-46.74
26,26,VMI,3242928640.0,Industrials,143.55,19.00808901,-2.19
27,27,ASRV,71950432.0,Financials,3.9,15.30996804,16.67
28,28,NTRS,20221007872.0,Financials,88.5,19.69543026,21.42
