Source,Target
0,2715
0,2570
0,1097
0,1772
0,2637
1,1279
1,1063
1,1150
1,1541
1,238
2,2015
2,1292
2,1352
2,1740
2,1465
3,1376
3,2122
3,1168
3,931
3,974
4,1607
4,361
4,723
4,2699
4,2049
5,352
5,1906
5,1922
5,2873
5,2509
6,1235
6,556
6,589
6,374
6,1787
7,248
7,634
7,884
7,286
7,441
8,2528
8,1782
8,1740
8,2770
8,2632
9,845
9,1313
9,2842
9,373
9,718
10,1722
10,780
10,1356
10,1263
10,1414
11,1775
11,16
11,1869
11,1379
11,1668
12,368
12,1841
12,590
12,2045
12,1254
13,2013
13,2845
13,849
13,1334
13,869
14,609
14,1248
14,379
14,527
14,1595
15,156
15,2342
15,2176
15,2393
15,753
16,1775
16,11
16,1379
16,2434
16,1201
17,750
17,2241
17,713
17,59
17,1073
18,2944
18,2405
18,1777
18,2336
18,262
19,1733
19,1177
19,903
19,2277
19,926
20,925
20,419
20,1703
20,1055
20,155
21,93
21,689
21,561
21,1367
21,2776
22,390
22,1889
22,2143
22,408
22,1564
23,1393
23,1557
23,430
23,226
23,1460
24,2486
24,806
24,952
24,452
24,1563
25,634
25,2757
25,1672
25,884
25,1420
26,2200
26,2428
26,444
26,2921
26,1187
27,2557
27,2358
27,2102
27,1391
27,1156
28,302
28,1051
28,1344
28,1062
28,758
29,1399
29,723
29,4
29,1607
29,2699
30,2649
30,2598
30,776
30,855
30,2580
31,238
31,915
31,205
31,1541
31,1455
32,2686
32,1500
32,392
32,1231
32,1433
33,1684
33,472
33,2274
33,387
33,1810
34,1226
34,45
34,1946
34,1657
34,722
35,184
35,2324
35,1136
35,845
35,178
36,1068
36,2516
36,2958
36,2871
36,2840
37,2107
37,892
37,1580
37,781
37,1202
38,2673
38,2326
38,1267
38,2816
38,2973
39,1272
39,2496
39,408
39,70
39,1220
40,2280
40,1578
40,1146
40,1963
40,2250
41,1112
41,1271
41,1204
41,2315
41,654
42,331
42,289
42,1219
42,822
42,259
43,2301
43,129
43,2300
43,2467
43,1716
44,467
44,1908
44,960
44,1637
44,2107
45,34
45,1226
45,284
45,1568
45,1595
46,820
46,551
46,1487
46,1808
46,952
47,1332
47,762
47,267
47,1822
47,598
48,629
48,1938
48,1051
48,1497
48,302
49,1716
49,43
49,359
49,1469
49,183
50,1897
50,1977
50,1657
50,224
50,1547
51,930
51,2074
51,803
51,1046
51,2014
52,210
52,1324
52,2338
52,1228
52,1281
53,464
53,623
53,111
53,551
53,287
54,2894
54,587
54,567
54,2296
54,2876
55,1865
55,932
55,1176
55,1376
55,1876
56,680
56,486
56,894
56,1880
56,455
57,1788
57,1011
57,865
57,1518
57,1149
58,148
58,2337
58,2124
58,2332
58,349
59,1941
59,713
59,2983
59,763
59,1473
60,2644
60,315
60,2014
60,916
60,2465
61,1999
61,3023
61,2803
61,1670
61,1343
62,1471
62,1185
62,869
62,2594
62,1525
63,588
63,1023
63,1185
63,1878
63,2408
64,2502
64,1437
64,525
64,804
64,310
65,944
65,72
65,2045
65,1694
65,334
66,2875
66,954
66,331
66,1105
66,42
67,949
67,332
67,1303
67,516
67,1637
68,1651
68,718
68,178
68,1608
68,1337
69,471
69,1909
69,792
69,1879
69,897
70,973
70,2539
70,848
70,1220
70,1533
71,1354
71,1624
71,547
71,1665
71,2954
72,299
72,65
72,334
72,944
72,1694
73,2606
73,2613
73,1665
73,2821
73,1220
74,804
74,1437
74,1642
74,2201
74,2502
75,821
75,2140
75,1371
75,1404
75,817
76,159
76,1105
76,2104
76,1768
76,516
77,447
77,307
77,1452
77,1163
77,213
78,966
78,88
78,2561
78,262
78,2405
79,1928
79,1149
79,954
79,865
79,635
80,2917
80,1764
80,3019
80,2387
80,852
81,511
81,1215
81,1237
81,1574
81,1920
82,169
82,250
82,1640
82,2059
82,137
83,1915
83,2982
83,392
83,2899
83,2452
84,824
84,1156
84,996
84,1462
84,679
85,225
85,2841
85,1111
85,705
85,1470
86,455
86,92
86,831
86,1747
86,318
87,1882
87,2771
87,2792
87,1250
87,2900
88,2630
88,2198
88,78
88,966
88,639
89,957
89,400
89,1404
89,1292
89,1728
90,442
90,1731
90,1539
90,1362
90,406
91,2562
91,2133
91,321
91,2344
91,1550
92,86
92,455
92,1747
92,161
92,325
93,689
93,21
93,436
93,561
93,1723
94,2980
94,2566
94,1368
94,1261
94,1431
95,1586
95,271
95,563
95,1108
95,1158
96,1444
96,2137
96,1643
96,3
96,1367
97,1139
97,1545
97,317
97,2573
97,1205
98,2590
98,1753
98,163
98,998
98,1360
99,1262
99,2240
99,147
99,1634
99,1061
100,1185
100,2026
100,62
100,811
100,875
101,29
101,1399
101,1034
101,2246
101,239
102,2705
102,2971
102,2994
102,2932
102,2934
103,804
103,771
103,212
103,1811
103,2201
104,1663
104,2027
104,152
104,1825
104,2877
105,2329
105,1242
105,2298
105,2734
105,663
106,722
106,719
106,1946
106,1313
106,1381
107,748
107,2484
107,2495
107,829
107,1153
108,1470
108,2060
108,1407
108,1175
108,1831
109,2353
109,197
109,781
109,892
109,37
110,1797
110,589
110,175
110,752
110,1787
111,464
111,287
111,53
111,623
111,793
112,2693
112,123
112,2268
112,2887
112,1378
113,636
113,2476
113,426
113,2279
113,130
114,125
114,2063
114,2010
114,1947
114,1978
115,2470
115,1851
115,473
115,363
115,1511
116,1974
116,460
116,2074
116,3022
116,1610
117,159
117,499
117,861
117,2104
117,3022
118,1752
118,747
118,541
118,182
118,632
119,2431
119,3002
119,736
119,2291
119,2962
120,2553
120,956
120,811
120,1084
120,2790
121,1613
121,914
121,1658
121,128
121,369
122,670
122,2588
122,2761
122,838
122,2197
123,1378
123,112
123,1438
123,2693
123,1942
124,1872
124,2138
124,167
124,2917
124,2644
125,644
125,1371
125,547
125,2010
125,1457
126,519
126,2513
126,2607
126,2689
126,2600
127,2874
127,469
127,1686
127,1294
127,1318
128,283
128,1350
128,339
128,408
128,121
129,2300
129,43
129,2301
129,2467
129,87
130,814
130,1947
130,1394
130,3031
130,636
131,282
131,187
131,1260
131,1003
131,1191
132,547
132,3031
132,1573
132,2143
132,918
133,2648
133,2402
133,1043
133,1101
133,2998
134,1972
134,737
134,1602
134,1907
134,2702
135,927
135,2521
135,1048
135,1284
135,1352
136,710
136,1891
136,1524
136,993
136,362
137,2897
137,1956
137,169
137,1083
137,2396
138,2204
138,314
138,1032
138,1372
138,186
139,301
139,1096
139,876
139,1390
139,169
140,2571
140,1294
140,127
140,832
140,1689
141,2859
141,1742
141,766
141,2894
141,54
142,821
142,1371
142,653
142,2732
142,75
143,1774
143,760
143,414
143,3030
143,574
144,1920
144,2590
144,1285
144,93
144,998
145,1265
145,2425
145,2299
145,578
145,818
146,1722
146,1977
146,1226
146,50
146,1568
147,388
147,2496
147,99
147,998
147,991
148,58
148,2337
148,2332
148,349
148,992
149,576
149,2947
149,2868
149,1461
149,1145
150,1653
150,566
150,2513
150,2025
150,2607
151,560
151,2404
151,154
151,1561
151,1807
152,934
152,850
152,1663
152,2774
152,1825
153,2466
153,2238
153,2254
153,2186
153,190
154,151
154,1250
154,768
154,560
154,1612
155,1736
155,278
155,233
155,1244
155,1234
156,753
156,15
156,2527
156,705
156,1125
157,1912
157,1362
157,2081
157,1311
157,1949
158,2682
158,2091
158,1211
158,1918
158,2962
159,76
159,2085
159,3022
159,1382
159,1974
160,1847
160,785
160,1820
160,2597
160,2331
161,635
161,2032
161,1928
161,325
161,885
162,452
162,2486
162,806
162,1554
162,793
163,1753
163,1721
163,625
163,1939
163,1262
164,432
164,1644
164,1979
164,1451
164,530
165,1153
165,2951
165,2996
165,2382
165,2941
166,909
166,1331
166,836
166,1491
166,467
167,2732
167,2252
167,315
167,445
167,2709
168,1814
168,1691
168,632
168,743
168,118
169,1031
169,2396
169,82
169,137
169,139
170,973
170,388
170,1823
170,70
170,436
171,852
171,1764
171,1872
171,617
171,2138
172,1207
172,1932
172,486
172,461
172,989
173,570
173,678
173,1245
173,458
173,2636
174,2177
174,2793
174,1314
174,2926
174,2663
175,1609
175,752
175,2078
175,779
175,1797
176,2297
176,2710
176,643
176,641
176,1633
177,1714
177,2184
177,427
177,1565
177,2559
178,718
178,2324
178,68
178,1136
178,2017
179,1505
179,1073
179,446
179,471
179,569
180,2664
180,2100
180,2869
180,971
180,2937
181,1006
181,1746
181,701
181,2053
181,1784
182,541
182,1425
182,747
182,1752
182,1891
183,48
183,945
183,1800
183,564
183,1014
184,35
184,2324
184,1136
184,2806
184,1419
185,3025
185,2895
185,991
185,819
185,2521
186,2096
186,304
186,1372
186,2005
186,1020
187,1260
187,2292
187,131
187,879
187,1731
188,1414
188,1375
188,1879
188,2660
188,343
189,2207
189,2051
189,1479
189,1129
189,509
190,2533
190,30
190,2649
190,2506
190,2466
191,1840
191,223
191,1754
191,628
191,2003
192,2726
192,312
192,1379
192,1766
192,1775
193,1877
193,2116
193,605
193,1683
193,2596
194,446
194,1519
194,1406
194,1004
194,595
195,273
195,2820
195,290
195,2809
195,2055
196,1833
196,859
196,1318
196,348
196,1686
197,2353
197,1626
197,1085
197,681
197,2413
198,296
198,2065
198,1863
198,2369
198,964
199,2005
199,465
199,1020
199,1351
199,277
200,641
200,1169
200,924
200,2575
200,2459
201,2914
201,552
201,1326
201,1095
201,1296
202,2277
202,1177
202,2549
202,903
202,2818
203,1398
203,2801
203,2016
203,588
203,2083
204,1876
204,1152
204,1555
204,1582
204,1493
205,238
205,31
205,2664
205,1455
205,2679
206,662
206,2660
206,1410
206,656
206,1628
207,316
207,608
207,2287
207,2082
207,2739
208,363
208,550
208,1713
208,1099
208,1039
209,1593
209,279
209,445
209,1137
