,index,Ticker,Mkt Cap,Sector,Price,P/E
0,0,ESTE,190697712.0,Energy,2.93,2.921976175
1,1,OSK,5244861952.0,Industrials,77.01,13.81697451
2,2,MTZ,3411138048.0,Industrials,46.21,11.66231846
3,3,HLI,4088754176.0,Financials,58.6,20.96176661
4,4,UTMD,299284448.0,Health Care,82.15,24.44213074
5,5,ICAD,248013408.0,Health Care,10.83,0.0
6,6,UFCS,630286464.0,Financials,25.18,0.0
7,7,UTL,632887296.0,Utilities,42.2,19.62790733
8,8,GIII,531464352.0,Consumer Discretionary,11.06,4.922449302
9,9,AMSC,289319808.0,Industrials,12.56,0.0
10,10,AMSWA,459380544.0,Information Technology,14.16,61.56521727
11,11,HFC,3867308032.0,Energy,23.87,0.0
12,12,QDEL,7381545984.0,Health Care,175.96,46.06943557
13,13,BKE,925900864.0,Consumer Discretionary,18.74,9.561224813
14,14,XLNX,25447745536.0,Information Technology,104.16,36.01053363
15,15,OLP,391623232.0,Real Estate,19.16,32.65545386
16,16,CNBKA,392259200.0,Financials,70.45,11.04438338
17,17,ONB,2308000256.0,Financials,13.98,10.60004769
18,18,SHYF,710235264.0,Industrials,19.97,18.44226148
19,19,OTTR,1587879680.0,Utilities,38.85,18.06976739
20,20,VMI,2713988864.0,Industrials,127.05,17.06655899
21,21,NTRS,17040705536.0,Financials,81.89,13.00751984
22,22,NATR,215398832.0,Consumer Staples,11.04,18.32173584
23,23,COHU,720042240.0,Information Technology,17.2,0.0
24,24,PRMW,2192248176.0,Consumer Staples,13.69421868,110.5174629
25,25,KEWL,89012072.0,Materials,69.0,84.70269686
26,26,SANM,1917715456.0,Information Technology,28.3,11.11021259
27,27,KRMD,381574176.0,Health Care,8.69,110.4010789
28,28,APEI,465218016.0,Consumer Discretionary,31.44,31.18088679
29,29,STAA,2196417280.0,Health Care,47.95,791.4239258
30,30,ODC,262073088.0,Consumer Staples,35.02,15.56939196
31,31,IONS,7613488128.0,Health Care,54.5,58.03861483
32,32,BIG,1849745280.0,Consumer Discretionary,47.15,7.476940943
33,33,RIG,749827328.0,Energy,1.22,0.0
34,34,UEIC,572308160.0,Consumer Discretionary,41.08,13.36331746
35,35,DX,366547360.0,Financials,15.84,6.728063264
36,36,NKE,174536000000.0,Consumer Discretionary,111.89,62.21150164
37,37,KBH,3237248256.0,Consumer Discretionary,35.76,10.39058237
38,38,K,24316405760.0,Consumer Staples,70.91,17.35847194
39,39,MRTN,1501158400.0,Industrials,18.16,26.484735
40,40,FNLC,232801264.0,Financials,21.28,8.903765522
41,41,PESI,86834752.0,Industrials,7.15,18.66217005
42,42,J,11753879552.0,Industrials,90.27,18.81172524
43,43,KMT,2406560000.0,Industrials,29.02,30.31984189
44,44,TKR,4069575168.0,Industrials,54.19,11.89062942
45,45,PHM,11958041600.0,Consumer Discretionary,44.59,10.76740513
46,46,JBSS,909459904.0,Consumer Staples,79.64,17.19267248
47,47,INTU,90425589760.0,Information Technology,345.39,49.84350119
48,48,ORLY,34486784000.0,Consumer Discretionary,465.63,22.82500016
49,49,AFL,25892976640.0,Financials,36.32,7.78645717
50,50,SNFCA,106258600.0,Financials,6.019047619,10.07467296
51,51,C,106425000000.0,Financials,51.12,9.442220128
52,52,LMT,109094000000.0,Industrials,390.26,14.01899699
53,53,FUN,1675690240.0,Consumer Discretionary,29.55,0.0
54,54,EZPW,296264544.0,Financials,5.38,6.011569463
55,55,ROP,44731412480.0,Industrials,427.19,43.92718226
56,56,AMED,7853685248.0,Health Care,241.9,58.19125503
57,57,WDFC,2792808960.0,Consumer Staples,204.38,56.87799963
58,58,NNN,6150260224.0,Real Estate,35.44,23.10849683
59,59,ROST,32417339392.0,Consumer Discretionary,91.08,60.72000256
60,60,SBUX,98745425920.0,Consumer Discretionary,84.47,61.84902844
61,61,CL,67957538816.0,Consumer Staples,79.26,26.30413078
62,62,IIN,108456136.0,Health Care,12.14,0.0
63,63,CLH,3399491328.0,Industrials,61.1,29.31759056
64,64,LCUT,213769024.0,Consumer Discretionary,9.82,21.57478283
65,65,ECL,56243630080.0,Materials,197.08,37.32784953
