,index,Ticker,Mkt Cap,Sector,Price,P/E,Returns
0,0,ESTE,675638400.0,Energy,10.63,10.72439553,-57.48
1,1,OSK,6832219136.0,Industrials,90.89,21.39779016,-32.54
2,2,MTZ,4051132672.0,Industrials,48.95,16.40577222,-17.14
3,3,HLI,2992002048.0,Financials,45.43,20.34472784,-19.0
4,4,UTMD,302856832.0,Health Care,81.4,22.03520275,2.06
5,5,ICAD,56800092.0,Health Care,3.44,0.0,7.56
6,6,UFCS,1133922944.0,Financials,45.58,110.6530863,21.65
7,7,UTL,675847552.0,Utilities,45.62,22.80999983,11.0
8,8,GIII,1810596352.0,Consumer Discretionary,36.89,31.02009682,-24.4
9,9,AMSC,75958264.0,Industrials,3.63,0.0,207.16
10,10,AMSWA,350677568.0,Information Technology,11.63,34.59168126,-10.15
11,11,VOC,100640000.0,Energy,5.92,11.84000018,-39.02
12,12,HFC,9079925760.0,Energy,51.22,25.36719786,-0.2
13,13,QDEL,1473765248.0,Health Care,43.35,191.3848037,12.62
14,14,TESS,168819904.0,Information Technology,20.15,50.22983614,-40.45
15,15,BKE,1159980416.0,Consumer Discretionary,23.75,13.72832367,-18.57
16,16,PMD,112916608.0,Health Care,20.56,18.52252228,-22.81
17,17,NRT,63966508.0,Energy,6.96,9.157894852,-16.67
18,18,XLNX,16919243776.0,Information Technology,67.42,28.54757157,26.33
19,19,OLP,486835968.0,Real Estate,25.92,69.07689457,-6.56
20,20,CNBKA,435688864.0,Financials,78.25,18.95841906,-13.44
21,21,ONB,2364876288.0,Financials,17.45,14.42190452,-11.75
22,22,OTTR,1758330496.0,Utilities,44.45,24.69444469,11.68
23,23,ARCW,38375332.0,Industrials,2.1,0.0,0.0
24,24,BLGO,39410348.0,Materials,0.385,0.0,-37.79
25,25,VMI,3749483776.0,Industrials,165.85,21.50055054,-33.1
26,26,ASRV,75836368.0,Financials,4.15,14.82142871,-2.89
27,27,NTRS,22717095936.0,Financials,99.89,21.70885555,-16.32
28,28,ARKR,92825912.0,Consumer Discretionary,27.03,32.23017828,-32.08
29,29,NATR,218316928.0,Consumer Staples,11.55,189.7299553,-29.44
30,30,MUX,759187264.0,Materials,2.28,0.0,-20.18
31,31,COHU,620921984.0,Information Technology,21.95,19.63931644,-26.79
32,32,SANM,2376685568.0,Information Technology,33.0,13.18568605,-27.09
33,33,APEI,407508736.0,Consumer Discretionary,25.05,17.43835123,13.61
34,34,STAA,638045568.0,Health Care,15.5,0.0,105.87
35,35,ODC,303738304.0,Consumer Staples,41.5,25.57733888,-36.14
36,36,NAII,76518904.0,Consumer Staples,10.3,13.37665801,-4.56
37,37,IONS,6277213696.0,Health Care,50.3,252.2517085,7.48
38,38,BIG,2360139776.0,Consumer Discretionary,56.15,13.59281737,-48.5
39,39,IDRA,411176352.0,Health Care,16.88,0.0,-83.59
40,40,MBOT,39377440.0,Health Care,15.2999235,52.23244117,0.0
41,41,RIG,4178414336.0,Energy,10.68,13.37147833,-35.02
42,42,UEIC,675946624.0,Consumer Discretionary,47.25,33.33942481,-46.5
43,43,DX,390061280.0,Financials,21.03002103,10.086225,-18.4
44,44,NKE,102051000000.0,Consumer Discretionary,62.55,27.0779217,18.53
45,45,KBH,2763684864.0,Consumer Discretionary,31.95,18.74372981,-40.22
46,46,K,23485227008.0,Consumer Staples,67.98,16.75723574,-16.14
47,47,MRTN,1106792320.0,Industrials,13.53333333,39.52821567,-20.25
48,48,SDG,136148298.8,Consumer Discretionary,1.920408,10.67388278,-39.27
49,49,FNLC,294831936.0,Financials,27.23,15.6494252,-3.42
50,50,PESI,42818080.0,Industrials,3.65,0.0,-35.62
51,51,J,7949590528.0,Industrials,65.96,21.23953713,-11.37
52,52,KMT,3923540992.0,Industrials,48.41,24.95654097,-31.25
53,53,TKR,3814881536.0,Industrials,49.15,17.65721892,-24.07
54,54,PHM,9774424064.0,Consumer Discretionary,33.25,14.32322221,-21.83
55,55,JBSS,714561088.0,Consumer Staples,63.25,19.81908079,-12.0
56,56,INTU,40336441344.0,Information Technology,157.78,41.61745261,24.76
57,57,ORLY,20452562944.0,Consumer Discretionary,240.54,20.48892715,43.15
58,58,AFL,34510671872.0,Financials,43.89,12.8293361,3.8
59,59,REFR,25005600.0,Information Technology,1.04,0.0,50.0
60,60,RELL,86602008.0,Information Technology,6.74,0.0,28.93
61,61,SNFCA,73608056.0,Financials,4.213841944,12.22378975,3.2
62,62,C,196740000000.0,Financials,74.41,14.09818623,-30.04
63,63,KAYS,37751720.0,Health Care,4.0799796,0.0,0.0
64,64,LMT,92056010752.0,Industrials,321.05,25.24108134,-18.44
65,65,FUN,3654906880.0,Consumer Discretionary,64.99,22.03394525,-27.22
66,66,FKYS,161201312.0,Financials,28.25,17.99486822,-25.84
67,67,EZPW,663655616.0,Financials,12.2,17.75684514,-36.64
68,68,ROP,26511806464.0,Industrials,259.0,35.69567936,2.9
69,69,AMED,1788803712.0,Health Care,52.71,32.45943504,122.18
70,70,WDFC,1647792512.0,Consumer Staples,118.0,31.76562869,55.31
71,71,NNN,6558059520.0,Real Estate,43.13,33.45573796,12.47
72,72,ROST,30667216896.0,Consumer Discretionary,80.25,25.63897767,3.68
73,73,SBUX,81711407104.0,Consumer Discretionary,57.43,27.51571283,12.14
74,74,CL,66253037568.0,Consumer Staples,75.45,26.32418112,-21.11
75,75,MTEX,40627364.0,Consumer Staples,15.0,64.83179001,25.33
76,76,IIN,136006464.0,Health Care,19.8,167.8378412,33.23
77,77,CLH,3085795584.0,Industrials,54.2,127.71302,-8.95
78,78,LCUT,244466112.0,Consumer Discretionary,16.5,14.4381076,-39.21
79,79,ECL,38766522368.0,Materials,134.18,29.38094209,9.82
80,80,GTN,1489184256.0,Communication Services,16.75,14.3723284,-12.0
81,81,VNO,14844651520.0,Real Estate,78.18,45.62679094,-20.66
82,82,DOV,15733342208.0,Industrials,81.51700721,22.10956919,-12.96
83,83,CSX,49163706368.0,Industrials,18.33666667,25.68116196,12.94
84,84,CTS,848129024.0,Information Technology,25.75,21.44021613,0.54
85,85,DXYN,62144048.0,Consumer Discretionary,3.85,0.0,0.0
86,86,RRD,651929984.0,Industrials,9.3,7.935498931,-57.42
87,87,BIIB,67370209280.0,Health Care,318.57,16.92908365,-5.54
88,88,CCK,7552848896.0,Materials,56.25,14.22547056,-26.1
89,89,EFX,14159760384.0,Industrials,117.92,26.05255229,-21.02
90,90,PKI,8059670528.0,Health Care,73.12,27.5487601,7.43
91,91,HRTX,1161639808.0,Health Care,18.1,0.0,43.31
92,92,ESE,1556613120.0,Industrials,60.25,27.13963929,9.46
93,93,CDOR,116208128.0,Real Estate,9.95,0.0,-30.75
94,94,MRK,153304000000.0,Health Care,53.65490802,16.30079834,35.79
95,95,DY,3447508992.0,Industrials,111.43,29.06786416,0.0
