Source,Target
0,2170
0,2159
0,251
0,2712
0,1295
1,26
1,1463
1,1507
1,2828
1,1037
2,1507
2,1844
2,378
2,266
2,21
3,519
3,1231
3,1210
3,2171
3,1679
4,2428
4,1357
4,2560
4,274
4,342
5,2048
5,2309
5,2755
5,1322
5,2291
6,1062
6,1144
6,162
6,214
6,1303
7,270
7,456
7,899
7,856
7,952
8,1277
8,1974
8,1454
8,2289
8,350
9,2818
9,2000
9,3026
9,181
9,2734
10,1330
10,1232
10,1426
10,1131
10,1378
11,2208
11,1342
11,1765
11,325
11,1506
12,1265
12,629
12,552
12,1135
12,1637
13,2337
13,2867
13,2057
13,2259
13,740
14,776
14,298
14,231
14,485
14,2455
15,2805
15,3001
15,2533
15,1352
15,1837
16,539
16,1246
16,240
16,871
16,1599
17,2109
17,189
17,228
17,1690
17,2086
18,1724
18,1215
18,40
18,2022
18,1756
19,1974
19,1277
19,367
19,2030
19,2188
20,554
20,652
20,1740
20,2754
20,122
21,1844
21,1218
21,1885
21,822
21,966
22,781
22,2425
22,1522
22,1529
22,434
23,1373
23,2317
23,425
23,2900
23,2375
24,613
24,1374
24,2959
24,2341
24,207
25,2565
25,2068
25,396
25,64
25,2762
26,226
26,192
26,2606
26,1
26,2828
27,3080
27,2221
27,2446
27,1003
27,1203
28,455
28,2777
28,1061
28,3127
28,3073
29,2446
29,2559
29,1870
29,753
29,2596
30,2031
30,1285
30,1834
30,98
30,2969
31,2450
31,2514
31,927
31,2445
31,2924
32,1319
32,2056
32,1105
32,1847
32,880
33,2404
33,2461
33,652
33,63
33,416
34,1871
34,258
34,77
34,601
34,711
35,2261
35,1010
35,1122
35,235
35,2315
36,710
36,273
36,307
36,1191
36,797
37,641
37,360
37,43
37,1673
37,301
38,449
38,476
38,1729
38,249
38,659
39,1199
39,1469
39,1615
39,102
39,136
40,1724
40,1390
40,18
40,1215
40,521
41,378
41,265
41,1339
41,2
41,1755
42,1696
42,1837
42,761
42,736
42,2710
43,1673
43,1659
43,1888
43,1713
43,1306
44,1216
44,1803
44,1790
44,1659
44,37
45,1349
45,1063
45,1824
45,418
45,1389
46,463
46,1929
46,514
46,1957
46,900
47,222
47,197
47,318
47,196
47,83
48,446
48,605
48,768
48,1276
48,103
49,466
49,1690
49,97
49,1056
49,2905
50,1370
50,661
50,806
50,78
50,1981
51,1746
51,840
51,984
51,148
51,1848
52,2487
52,1877
52,1006
52,1794
52,138
53,1754
53,1099
53,2681
53,1464
53,1499
54,1386
54,353
54,2792
54,908
54,2066
55,2586
55,1651
55,2407
55,1716
55,915
56,996
56,1157
56,1988
56,2389
56,3110
57,1847
57,494
57,1318
57,1057
57,718
58,294
58,2443
58,185
58,752
58,505
59,373
59,546
59,298
59,392
59,1662
60,602
60,2233
60,810
60,399
60,1929
61,919
61,1595
61,326
61,314
61,244
62,3008
62,1960
62,371
62,1609
62,1354
63,822
63,2312
63,1919
63,648
63,2087
64,2162
64,209
64,628
64,648
64,2312
65,1651
65,1994
65,915
65,668
65,1216
66,321
66,1328
66,63
66,1623
66,2918
67,2518
67,1098
67,763
67,2017
67,2147
68,796
68,1372
68,744
68,2087
68,2674
69,145
69,1355
69,3049
69,497
69,1921
70,632
70,200
70,1781
70,412
70,646
71,1413
71,1596
71,1579
71,2144
71,80
72,840
72,626
72,244
72,1595
72,326
73,1832
73,827
73,352
73,2097
73,2440
74,491
74,1872
74,157
74,1065
74,132
75,1577
75,636
75,458
75,401
75,2908
76,1969
76,2791
76,2803
76,2217
76,1166
77,34
77,258
77,1431
77,737
77,799
78,1799
78,2059
78,806
78,300
78,1705
79,761
79,504
79,1837
79,236
79,3020
80,71
80,1211
80,624
80,1596
80,2144
81,928
81,1587
81,2006
81,1372
81,2010
82,2157
82,1080
82,545
82,87
82,1553
83,1518
83,196
83,1992
83,197
83,1476
84,148
84,1981
84,918
84,313
84,490
85,1681
85,1582
85,771
85,1277
85,879
86,1100
86,1896
86,2342
86,2938
86,940
87,545
87,82
87,1080
87,610
87,256
88,2786
88,1350
88,879
88,19
88,2424
89,1511
89,259
89,160
89,299
89,1115
90,1325
90,1241
90,758
90,1255
90,2658
91,1288
91,2714
91,137
91,2874
91,1995
92,3024
92,2389
92,3110
92,1157
92,2481
93,2947
93,3064
93,2929
93,1275
93,2268
94,2954
94,3102
94,2885
94,3009
94,2882
95,2074
95,2356
95,1313
95,962
95,2517
96,1977
96,1853
96,967
96,983
96,1918
97,2276
97,1213
97,2244
97,2905
97,1346
98,2018
98,2031
98,1776
98,2177
98,1293
99,1244
99,2631
99,70
99,428
99,485
100,1262
100,173
100,2150
100,505
100,288
101,580
101,1822
101,2034
101,2360
101,1932
102,1199
102,1708
102,1469
102,1615
102,799
103,271
103,48
103,446
103,605
103,888
104,366
104,1378
104,1906
104,1655
104,1266
105,126
105,272
105,635
105,2206
105,865
106,2284
106,1899
106,142
106,1915
106,2282
107,1813
107,2278
107,1824
107,1846
107,2675
108,1921
108,3049
108,2024
108,145
108,1569
109,1546
109,1569
109,603
109,1445
109,2655
110,403
110,1187
110,1365
110,1548
110,1136
111,2753
111,2730
111,2361
111,2436
111,2328
112,2368
112,9
112,2921
112,2928
112,2881
113,350
113,1379
113,8
113,2657
113,1277
114,2527
114,111
114,2434
114,2588
114,451
115,1259
115,2146
115,2828
115,1140
115,26
116,668
116,298
116,1832
116,546
116,1994
117,1328
117,1964
117,1312
117,209
117,526
118,2635
118,2592
118,2481
118,2689
118,2192
119,2409
119,2247
119,2246
119,761
119,79
120,890
120,2237
120,1033
120,2220
120,2277
121,862
121,974
121,1879
121,696
121,1997
122,789
122,20
122,2754
122,100
122,628
123,635
123,1004
123,699
123,824
123,126
124,117
124,2646
124,943
124,1312
124,1623
125,1901
125,1162
125,338
125,882
125,248
126,1652
126,105
126,850
126,865
126,123
127,1098
127,1094
127,2603
127,513
127,297
128,234
128,873
128,1797
128,780
128,422
129,3115
129,2511
129,183
129,3068
129,1794
130,1613
130,981
130,28
130,455
130,2569
131,232
131,2947
131,93
131,2491
131,3064
132,1345
132,74
132,1428
132,2202
132,2254
133,1498
133,556
133,2027
133,1733
133,141
134,2546
134,2767
134,593
134,1582
134,85
135,1235
135,2113
135,1911
135,793
135,2722
136,1615
136,1924
136,1136
136,39
136,394
137,91
137,2768
137,1093
137,2714
137,885
138,330
138,1540
138,1412
138,453
138,2284
139,2547
139,1872
139,1982
139,640
139,3099
140,3110
140,718
140,1157
140,2886
140,309
141,1089
141,1756
141,221
141,1498
141,520
142,1384
142,1582
142,2594
142,1500
142,2277
143,1873
143,2029
143,1750
143,520
143,1585
144,2348
144,2808
144,1898
144,1106
144,1138
145,69
145,3049
145,1921
145,1651
145,1355
146,1809
146,1779
146,2535
146,917
146,2278
147,391
147,1133
147,2121
147,2617
147,2216
148,1981
148,84
148,918
148,840
148,857
149,888
149,1240
149,1276
149,1457
149,48
150,1289
150,2649
150,2582
150,2369
150,1118
151,1423
151,166
151,1818
151,2495
151,1209
152,2629
152,1826
152,1132
152,2956
152,2988
153,1461
153,880
153,659
153,1305
153,811
154,1729
154,1699
154,55
154,1732
154,2943
155,1017
155,616
155,1725
155,726
155,1814
156,1835
156,677
156,502
156,1833
156,1614
157,491
157,2461
157,1065
157,652
157,1545
158,2841
158,2285
158,1016
158,2175
158,1532
159,1177
159,1882
159,960
159,468
159,443
160,1511
160,259
160,89
160,299
160,500
161,527
161,1047
161,1726
161,337
161,1836
162,368
162,214
162,895
162,2107
162,2255
163,627
163,1575
163,1253
163,860
163,625
164,240
164,2894
164,539
164,1599
164,1806
165,427
165,700
165,1285
165,549
165,366
166,1770
166,151
166,1818
166,586
166,1567
167,1650
167,1679
167,369
167,2512
167,2604
168,921
168,882
168,338
168,978
168,828
169,1631
169,1912
169,1772
169,1387
169,2770
170,1467
170,389
170,929
170,1366
170,1319
171,3025
171,2993
171,3133
171,282
171,2122
172,1642
172,1324
172,1269
172,537
172,1588
173,100
173,1346
173,288
173,2670
173,1949
174,335
174,339
174,1603
174,1336
174,1772
175,1838
175,1924
175,1617
175,2691
175,756
176,1049
176,2001
176,2159
176,1158
176,356
177,216
177,2638
177,360
177,998
177,3084
178,849
178,2479
178,1759
178,193
178,2043
179,347
179,1017
179,1348
179,868
179,1066
180,2061
180,2065
180,327
180,2562
180,1903
181,2000
181,1423
181,9
181,2178
181,1567
182,2715
182,717
182,799
182,1871
182,1363
183,1794
183,3125
183,2511
183,3130
183,833
184,2777
184,1868
184,1758
184,354
184,1613
185,294
185,1262
185,58
185,779
185,2131
186,288
186,993
186,173
186,2258
186,2670
187,414
187,2401
187,379
187,538
187,2473
188,2850
188,2264
188,2844
188,534
188,1299
189,2994
189,17
189,1690
189,203
189,1249
190,713
190,218
190,441
190,2144
190,2740
191,1419
191,2785
191,589
191,1695
191,1012
192,226
192,26
192,2621
192,265
192,2606
193,1411
193,1111
193,411
193,334
193,177
194,754
194,784
194,1965
194,3120
