,index,Ticker,Mkt Cap,Sector,Price,P/E
0,0,ESTE,347623232.0,Energy,5.33,3.852759491
1,1,OSK,5869093888.0,Industrials,86.07,18.52745259
2,2,MTZ,5036248576.0,Industrials,68.18,17.40612975
3,3,HLI,4661122048.0,Financials,67.23,22.6291412
4,4,UTMD,306885984.0,Health Care,84.3,26.5930603
5,5,ICAD,303508960.0,Health Care,13.2,0.0
6,6,UFCS,628283968.0,Financials,25.1,0.0
7,7,UTL,664363776.0,Utilities,44.27,21.91584207
8,8,GIII,1148035200.0,Consumer Discretionary,23.74,18.44995538
9,9,AMSC,646464640.0,Industrials,23.42,0.0
10,10,AMSWA,559505600.0,Information Technology,17.17,85.85000032
11,11,HFC,4188146176.0,Energy,25.85,0.0
12,12,QDEL,7557452800.0,Health Care,179.65,20.22826362
13,13,BKE,1442705792.0,Consumer Discretionary,29.2,12.80701762
14,14,XLNX,34750906368.0,Information Technology,141.77,50.93438424
15,15,DCTH,102405432.0,Health Care,17.92,0.048253815
16,16,OLP,413057728.0,Real Estate,20.07,32.63754268
17,17,CNBKA,430733440.0,Financials,77.36,11.92527925
18,18,ONB,2737914368.0,Financials,16.56,11.93408581
19,19,SHYF,1008921984.0,Industrials,28.38,21.68347133
20,20,OTTR,1749739264.0,Utilities,42.61,17.75416662
21,21,VMI,3717754112.0,Industrials,174.93,22.77501283
22,22,NTRS,19384412160.0,Financials,93.14,15.71826846
23,23,NATR,293887904.0,Consumer Staples,14.95,17.57584952
24,24,COHU,1602254336.0,Information Technology,38.18,0.0
25,25,PRMW,2504333610.0,Consumer Staples,15.63283208,76.97035166
26,26,SANM,2074942592.0,Information Technology,31.89,11.78899162
27,27,KRMD,264536192.0,Health Care,6.02,120.86897
28,28,APEI,451383552.0,Consumer Discretionary,30.48,25.41026998
29,29,STAA,3652815616.0,Health Care,79.22,876.8027418
30,30,ODC,254454160.0,Consumer Staples,34.08,12.91170236
31,31,IONS,7905600000.0,Health Care,56.54,106.1150357
32,32,BIG,1593132928.0,Consumer Discretionary,42.93,5.925568989
33,33,RIG,1420904832.0,Energy,2.31,0.0
34,34,UEIC,721308032.0,Consumer Discretionary,52.46,17.5944444
35,35,DX,411973984.0,Financials,17.8,7.196382589
36,36,NKE,222083000000.0,Consumer Discretionary,141.47,72.60300492
37,37,KBH,3035046144.0,Consumer Discretionary,33.52,9.429713178
38,38,K,21389258752.0,Consumer Staples,62.23,15.68759352
39,39,MRTN,1424590976.0,Industrials,17.23,24.91213983
40,40,FNLC,278070624.0,Financials,25.4,10.32520309
41,41,J,14162770944.0,Industrials,108.96,16.79126296
42,42,KMT,3017923328.0,Industrials,36.24,57.69359248
43,43,TKR,5829554688.0,Industrials,77.36,16.7829603
44,44,PHM,11560202240.0,Consumer Discretionary,43.12,9.197763777
45,45,JBSS,900552576.0,Consumer Staples,78.86,17.08504404
46,46,INTU,99804004352.0,Information Technology,379.85,51.00508294
47,47,ORLY,32787980288.0,Consumer Discretionary,452.57,20.21304144
48,48,AFL,31237740544.0,Financials,44.47,9.127147553
49,49,SNFCA,140549872.0,Financials,7.952380952,4.423242788
50,50,C,128374000000.0,Financials,61.66,13.09163133
51,51,LMT,99317637120.0,Industrials,354.98,12.20082384
52,52,FUN,2230827264.0,Consumer Discretionary,39.34,0.0
53,53,FKYS,120779024.0,Financials,20.59,10.80228053
54,54,EZPW,264901456.0,Financials,4.79,0.0
55,55,ROP,45209427968.0,Industrials,431.09,45.73191233
56,56,AMED,9624315904.0,Health Care,293.33,56.64837737
57,57,WDFC,3630474240.0,Consumer Staples,265.68,60.47996155
58,58,NNN,7108934144.0,Real Estate,40.92,27.98945809
59,59,ROST,43777232896.0,Consumer Discretionary,122.81,89.35613681
60,60,SBUX,125562000000.0,Consumer Discretionary,106.98,91.27737137
61,61,CL,73296502784.0,Consumer Staples,85.51,27.61658361
62,62,IIN,161874992.0,Health Care,18.1,0.0
63,63,CLH,4204243200.0,Industrials,76.1,36.73691207
64,64,LCUT,330873920.0,Consumer Discretionary,15.2,12.3708787
65,65,ECL,61758918656.0,Materials,216.36,48.61169258
66,66,GTN,1712003840.0,Communication Services,17.89,9.022839882
67,67,VNO,7141685248.0,Real Estate,37.34,0.0
68,68,DOV,18193041408.0,Industrials,126.25,25.10961665
69,69,CSX,69403328512.0,Industrials,30.25,25.91853687
70,70,CTS,1107758720.0,Information Technology,34.33,31.07957487
71,71,RRD,161364000.0,Industrials,2.26,2.26305288
72,72,BIIB,37679448064.0,Health Care,244.86,7.745424718
73,73,CCK,13503211520.0,Materials,100.2,22.24707945
74,74,EFX,23457628160.0,Industrials,192.84,35.72277321
75,75,PKI,16068338688.0,Health Care,143.5,33.57695968
76,76,HRTX,1922951424.0,Health Care,21.165,0.0
77,77,ESE,2687612928.0,Industrials,103.22,37.34143042
78,78,MRK,206957000000.0,Health Care,77.9984268,13.79316174
79,79,DY,2410083584.0,Industrials,75.52,41.38655842
80,80,MDP,874881408.0,Communication Services,19.2,0.0
81,81,VMC,19652759552.0,Materials,148.31,32.32343398
82,82,TCBK,1050264064.0,Financials,35.28,16.6514534
83,83,IDXX,42638856192.0,Health Care,499.87,83.5903024
84,84,KO,235671000000.0,Consumer Staples,54.84,28.35207449
85,85,OXM,1106042368.0,Consumer Discretionary,65.51,0.0
86,86,PCG,24727689216.0,Utilities,12.46,4.382088631
87,87,BANF,1918449152.0,Financials,58.7,19.51602206
88,88,PTEN,986217280.0,Energy,5.26,0.0
89,89,REGN,51550863360.0,Health Care,483.11,18.17357655
90,90,TELL,422994400.0,Energy,1.28,0.0
91,91,MTW,459975072.0,Industrials,13.31,0.0
92,92,IVC,308041504.0,Health Care,8.95,0.0
93,93,NVEC,271530976.0,Information Technology,56.18,23.16783219
94,94,LCI,271885952.0,Health Care,6.52,0.0
95,95,HST,10318984192.0,Real Estate,14.63,0.0
96,96,STRL,522965504.0,Industrials,18.61,7.832171806
97,97,MSEX,1266008192.0,Utilities,72.47,33.39631265
98,98,LANC,5059740672.0,Consumer Staples,183.73,38.97775721
99,99,ACTG,194161040.0,Industrials,3.94,0.0
100,100,LXP,2941235712.0,Real Estate,10.62,89.71488659
101,101,NNBR,280736544.0,Industrials,6.57,0.0
102,102,LYTS,225602800.0,Industrials,8.56,50.55247513
103,103,ALL,33426198528.0,Financials,109.93,9.376630356
104,104,SRDX,595439872.0,Health Care,43.52,405.4406537
105,105,OMI,1988507136.0,Health Care,27.05,32.39986505
106,106,CNK,2057138304.0,Communication Services,17.41,0.0
107,107,ADC,3686569472.0,Real Estate,66.58,41.81173229
108,108,CME,65354240000.0,Financials,182.05,29.53942436
109,109,ALLY,13331749888.0,Financials,35.66,15.01147504
110,110,THG,4355554816.0,Financials,116.92,13.61122012
111,111,VBIV,665644992.0,Health Care,2.75,0.0
112,112,SRGA,178258224.0,Health Care,2.19,3.937191886
113,113,ZEUS,147628416.0,Materials,13.33,0.0
114,114,WKHS,2384066816.0,Consumer Discretionary,19.78,0.0
115,115,PLUS,1187959424.0,Information Technology,87.95,16.8205246
116,116,DISH,17009738752.0,Communication Services,32.34,10.97026099
117,117,AEO,3335314944.0,Consumer Discretionary,20.07,0.0
118,118,NVAX,7098721280.0,Health Care,111.51,0.0
119,119,MHO,1273144832.0,Consumer Discretionary,44.29,6.202660793
120,120,CLB,1179554432.0,Energy,26.51,68.70171627
121,121,HBNC,695945728.0,Financials,15.86,11.49412784
122,122,RYN,4010906112.0,Real Estate,29.38,114.1764587
123,123,UTI,210901952.0,Consumer Discretionary,6.46,49.20479907
124,124,LYV,15953786880.0,Communication Services,73.48,0.0
125,125,MBWM,441066816.0,Financials,27.17,10.16102806
126,126,URBN,2503331328.0,Consumer Discretionary,25.6,111.1868921
127,127,REG,7743276032.0,Real Estate,45.59,41.48007069
128,128,RWWI,401553536.0,Information Technology,13.49,149.8888829
129,129,YUM,32749092864.0,Consumer Discretionary,108.56,36.09892183
130,130,OBCI,126413720.0,Consumer Staples,13.36,13.63248588
131,131,INVA,1256242304.0,Health Care,12.39,7.345042683
132,132,TSCO,16377203712.0,Consumer Discretionary,140.58,21.84762038
133,133,CCBG,411996800.0,Financials,24.58,12.73575125
134,134,RICK,354956448.0,Consumer Discretionary,39.44,117.6775933
135,135,OXSQ,151248304.0,Financials,3.05,8.468834633
136,136,DAKT,210442656.0,Information Technology,4.68,0.0
137,137,AMRC,2500523776.0,Industrials,52.24,45.09625758
138,138,SIX,2897718272.0,Consumer Discretionary,34.1,0.0
139,139,IT,14302864384.0,Information Technology,160.19,47.13631821
140,140,NBIX,8955184128.0,Health Care,95.85,29.93226617
141,141,NBTB,1400371712.0,Financials,32.1,14.26666638
142,142,NBR,424730496.0,Energy,58.23,0.0
143,143,AMNB,287554976.0,Financials,26.21,9.843295986
144,144,MLP,223268688.0,Real Estate,11.53,0.0
