Source,Target
0,1157
0,956
0,520
0,796
0,1771
1,53
1,1987
1,1863
1,1482
1,258
2,992
2,1385
2,1482
2,1670
2,2408
3,2950
3,2382
3,893
3,1281
3,206
4,516
4,2018
4,1058
4,2654
4,1734
5,1136
5,2509
5,826
5,762
5,415
6,574
6,1340
6,1000
6,2913
6,2282
7,585
7,1324
7,960
7,2644
7,512
8,1344
8,77
8,1907
8,1449
8,1613
9,735
9,2072
9,790
9,629
9,1005
10,16
10,2271
10,854
10,197
10,1722
11,2023
11,17
11,2550
11,975
11,972
12,3025
12,1939
12,1359
12,2355
12,1994
13,2418
13,2636
13,659
13,1448
13,2056
14,304
14,158
14,664
14,885
14,420
15,521
15,1958
15,2073
15,2506
15,337
16,1859
16,854
16,2271
16,197
16,1471
17,11
17,2602
17,260
17,1772
17,769
18,2404
18,374
18,4
18,2654
18,1107
19,2574
19,900
19,1225
19,2500
19,975
20,1639
20,1272
20,261
20,2084
20,980
21,1542
21,2239
21,237
21,1837
21,1626
22,751
22,1271
22,1317
22,472
22,100
23,2982
23,940
23,2566
23,2967
23,2819
24,784
24,1965
24,1821
24,3007
24,1818
25,1536
25,1524
25,1613
25,385
25,2182
26,1512
26,1587
26,1152
26,156
26,1982
27,2656
27,1693
27,1684
27,1681
27,1030
28,694
28,960
28,256
28,1966
28,1004
29,1593
29,2375
29,1921
29,482
29,814
30,1399
30,1175
30,1708
30,1628
30,2303
31,1877
31,2727
31,2176
31,1211
31,1540
32,2937
32,442
32,226
32,2341
32,2934
33,592
33,2027
33,1357
33,164
33,1394
34,2865
34,1337
34,425
34,951
34,2849
35,2881
35,2873
35,2512
35,2597
35,2823
36,514
36,234
36,2303
36,117
36,2103
37,989
37,2189
37,1790
37,2469
37,2090
38,2671
38,685
38,2957
38,1830
38,439
39,834
39,1803
39,1432
39,2253
39,1458
40,2852
40,2615
40,2850
40,2708
40,2714
41,637
41,2787
41,2660
41,2579
41,460
42,1907
42,2329
42,2630
42,1849
42,2057
43,1679
43,1653
43,52
43,2211
43,91
44,2487
44,1223
44,2091
44,1303
44,2050
45,1660
45,2006
45,1668
45,1918
45,807
46,352
46,72
46,309
46,1322
46,278
47,2466
47,139
47,1201
47,130
47,94
48,1123
48,670
48,1352
48,2249
48,1766
49,1090
49,2028
49,2987
49,629
49,2523
50,2805
50,1896
50,1271
50,22
50,462
51,2055
51,1736
51,853
51,1626
51,2021
52,1653
52,451
52,2370
52,1005
52,1183
53,1
53,779
53,258
53,1482
53,1987
54,687
54,55
54,323
54,708
54,1888
55,968
55,54
55,1407
55,687
55,573
56,1850
56,200
56,1298
56,1994
56,1939
57,1541
57,1723
57,1496
57,602
57,2051
58,878
58,1127
58,1006
58,432
58,88
59,2017
59,181
59,1879
59,726
59,1612
60,680
60,118
60,505
60,1616
60,598
61,1008
61,2157
61,2030
61,2182
61,628
62,2380
62,1662
62,1793
62,1272
62,1351
63,742
63,1521
63,529
63,907
63,495
64,1353
64,1646
64,1093
64,72
64,1025
65,723
65,2140
65,2384
65,2501
65,1194
66,1852
66,780
66,2361
66,1952
66,1710
67,2821
67,2633
67,2017
67,2173
67,336
68,1280
68,1448
68,91
68,1809
68,1855
69,1087
69,570
69,457
69,1110
69,2756
70,1266
70,1250
70,1953
70,2641
70,124
71,1352
71,749
71,565
71,1022
71,357
72,655
72,278
72,352
72,702
72,309
73,1412
73,562
73,278
73,1026
73,309
74,29
74,625
74,1021
74,1664
74,1825
75,2441
75,2705
75,1602
75,2879
75,1579
76,957
76,1323
76,1878
76,2698
76,2779
77,1741
77,1354
77,1078
77,1077
77,2300
78,1022
78,1352
78,670
78,582
78,1826
79,2315
79,2316
79,2289
79,2254
79,1285
80,1773
