,index,Ticker,Mkt Cap,Sector,Price,P/E,Returns
0,0,ESTE,422178176.0,Energy,6.59,3.123942251,-41.58
1,1,OSK,5450331648.0,Industrials,77.81,10.88993785,-7.27
2,2,MTZ,3397348864.0,Industrials,43.18,11.57363698,13.66
3,3,HLI,3007673088.0,Financials,45.98,19.55114009,11.4
4,4,UTMD,316958912.0,Health Care,84.88,17.14747541,2.97
5,5,ICAD,88482240.0,Health Care,5.13,0.0,159.65
6,6,UFCS,1223973888.0,Financials,48.74,65.54423148,-21.34
7,7,UTL,816955072.0,Utilities,54.91,24.62331818,2.6
8,8,GIII,1757552512.0,Consumer Discretionary,35.61,13.67934922,-37.21
9,9,AMSC,317626304.0,Industrials,14.83,0.0,-53.81
10,10,AMSWA,358787360.0,Information Technology,11.59,61.00000077,41.93
11,11,VOC,87380000.0,Energy,5.14,8.786324661,0.0
12,12,HFC,8743194624.0,Energy,51.2,8.533327908,-34.22
13,13,QDEL,2586123520.0,Health Care,65.56,33.30892954,17.82
14,14,TESS,139215712.0,Information Technology,16.45,22.53424691,0.0
15,15,BKE,940654912.0,Consumer Discretionary,19.19,9.643216179,17.93
16,16,PMD,107722048.0,Health Care,19.56,22.34070254,0.0
17,17,NRT,68837520.0,Energy,7.49,10.01030437,0.0
18,18,XLNX,31721435136.0,Information Technology,125.3,39.43746427,-33.37
19,19,OLP,558750080.0,Real Estate,28.82,32.22812393,-16.38
20,20,CNBKA,430677760.0,Financials,77.35,11.9,-6.53
21,21,ONB,3114398208.0,Financials,17.78,13.5585368,-11.36
22,22,OTTR,1997609728.0,Utilities,50.28,24.40776767,-3.32
23,23,VMI,2997006080.0,Industrials,136.59,18.79311841,-14.91
24,24,ASRV,74705848.0,Financials,4.24,9.860464952,0.0
25,25,NTRS,20355977216.0,Financials,93.2,14.09727654,-5.84
26,26,ARKR,70437560.0,Consumer Discretionary,20.26,16.47751952,0.0
27,27,NATR,159390560.0,Consumer Staples,8.3,0.0,-1.2
28,28,MUX,624322816.0,Materials,1.81,0.0,-50.28
29,29,COHU,728131008.0,Information Technology,17.89,14.49672322,14.42
30,30,SANM,2185641472.0,Information Technology,31.94,15.38499288,-17.69
31,31,APEI,530665600.0,Consumer Discretionary,32.31,20.76749073,-31.1
32,32,STAA,1626860160.0,Health Care,36.8,334.0140726,-14.73
33,33,ODC,217454624.0,Consumer Staples,29.15,19.03099292,4.39
34,34,NAII,88096368.0,Consumer Staples,11.71,8.603139516,0.0
35,35,IONS,9766201344.0,Health Care,70.99,214.2117919,-28.47
36,36,BIG,1262731776.0,Consumer Discretionary,31.53,7.993444962,-49.86
37,37,IDRA,75836208.0,Health Care,2.79,0.0,0.0
38,38,RIG,4984202240.0,Energy,8.17,0.0,-59.0
39,39,UEIC,461324384.0,Consumer Discretionary,33.39,20.59970428,26.45
40,40,DX,431992992.0,Financials,18.3000183,15.95941107,-6.56
41,41,NKE,134922000000.0,Consumer Discretionary,85.73,33.6451251,4.26
42,42,KBH,1982763648.0,Consumer Discretionary,22.81,11.77805855,42.88
43,43,K,19347513344.0,Consumer Staples,56.26,12.99307182,7.48
44,44,MRTN,1015803776.0,Industrials,12.43333333,20.80936733,4.77
45,45,SDG,62150029.9,Consumer Discretionary,0.875556,4.332499662,0.0
46,46,FNLC,286230848.0,Financials,26.35,12.14285672,-3.23
47,47,J,10293553152.0,Industrials,73.78,15.89427502,25.16
48,48,KMT,3099384832.0,Industrials,37.69,12.61326071,-26.24
49,49,TKR,3287560192.0,Industrials,43.39,10.10093733,3.34
50,50,PHM,7482834432.0,Consumer Discretionary,27.0,7.312487687,48.89
51,51,JBSS,791152064.0,Consumer Staples,69.48,24.57748195,1.02
52,52,INTU,64024707072.0,Information Technology,247.13,42.42877309,7.57
53,53,ORLY,29152591872.0,Consumer Discretionary,371.96,23.12580061,-0.87
54,54,AFL,36871331840.0,Financials,49.14,11.89783495,-12.8
55,55,REFR,65836064.0,Information Technology,2.38,0.0,30.25
56,56,RELL,97516920.0,Information Technology,7.45,47.82845989,0.0
57,57,SNFCA,77723232.0,Financials,4.433383109,7.261997178,9.61
58,58,C,150450000000.0,Financials,63.98,9.733735378,-0.81
59,59,LMT,87427670016.0,Industrials,309.41,14.80116596,19.54
60,60,FUN,2998034176.0,Consumer Discretionary,53.0,21.23471427,-13.79
61,61,EZPW,541700032.0,Financials,9.77,13.16246814,-50.87
62,62,ROP,33532657664.0,Industrials,323.65,34.27508026,8.67
63,63,AMED,3978879232.0,Health Care,124.3,32.90301685,39.99
64,64,WDFC,2474141952.0,Consumer Staples,178.97,38.21480048,-3.62
65,65,NNN,8420318720.0,Real Estate,52.1,33.88939714,-2.4
66,66,ROST,35142938624.0,Consumer Discretionary,94.83,23.54042191,14.71
67,67,SBUX,87375339520.0,Consumer Discretionary,70.26,27.23308555,11.63
68,68,CL,56758632448.0,Consumer Staples,65.87,22.19608905,2.58
69,69,IIN,233234880.0,Health Care,26.92,42.06250094,-44.73
70,70,CLH,3798149632.0,Industrials,68.0,45.8020735,2.24
71,71,LCUT,217172080.0,Consumer Discretionary,10.46,25.73324985,-39.2
72,72,ECL,48793546752.0,Materials,168.91,32.19083794,6.83
73,73,GTN,2196127488.0,Communication Services,21.91,9.851538542,-13.65
74,74,VNO,12824944640.0,Real Estate,67.31,93.93084751,-20.4
75,75,DOV,13121474560.0,Industrials,90.53,20.96712878,13.49
76,76,CSX,59271860224.0,Industrials,24.22333333,19.5614546,-3.05
77,77,CTS,1051423360.0,Information Technology,32.12,21.70270242,-18.84
78,78,RRD,378990624.0,Industrials,5.38,7.688207312,-64.68
79,79,BIIB,64522448896.0,Health Care,328.01,13.70562229,-5.98
80,80,CCK,7347500032.0,Materials,54.29,12.36684103,29.86
81,81,EFX,13217844224.0,Industrials,109.51,22.97076527,29.71
82,82,PKI,10432929792.0,Health Care,94.16,37.73070853,-8.2
83,83,HRTX,2069468288.0,Health Care,26.47,0.0,-29.54
84,84,ESE,1793346560.0,Industrials,69.19,21.93752118,31.41
85,85,CDOR,95810288.0,Real Estate,8.06,0.0,23.82
86,86,MRK,209827000000.0,Health Care,77.51212854,17.60044472,-5.82
87,87,DY,1410856960.0,Industrials,45.08,23.92038536,-34.43
88,88,MDP,2581591296.0,Communication Services,57.27,14.7991567,-53.99
89,89,VMC,14693868544.0,Materials,111.46,28.44484036,7.9
90,90,TCBK,1223380736.0,Financials,40.22,14.90106453,-15.91
91,91,IDXX,18149957632.0,Health Care,211.03,49.26606478,20.6
92,92,KO,193844000000.0,Consumer Staples,45.34,21.38712553,17.98
93,93,OXM,1339889664.0,Consumer Discretionary,79.03,20.22260465,-23.59
94,94,PCG,8984371200.0,Utilities,17.03,4.251332265,-8.98
95,95,BANF,1838708992.0,Financials,56.38,15.04906546,-9.01
96,96,PTEN,2833035776.0,Energy,13.26,0.0,-56.79
97,97,REGN,47070056448.0,Health Care,430.74,20.30983451,3.21
98,98,TELL,2467125760.0,Energy,10.26,0.0,-82.46
99,99,MTW,640500928.0,Industrials,17.99,31.62782125,-30.68
100,100,IVC,323046080.0,Health Care,9.73,0.0,-22.1
101,101,NVEC,498266752.0,Information Technology,102.82,32.13125012,-38.47
102,102,LCI,369688256.0,Health Care,9.41,6.608299312,-7.55
103,103,HST,14520682496.0,Real Estate,19.61,33.12209158,-26.16
104,104,STRL,395468640.0,Industrials,14.61,17.60240904,-6.5
105,105,MSEX,965366720.0,Utilities,58.87,31.82162172,1.02
106,106,LANC,4312428544.0,Consumer Staples,156.77,29.14538598,-7.86
107,107,ACTG,151399920.0,Industrials,3.05,0.0,-24.59
108,108,LXP,2194988544.0,Real Estate,9.29,33.72540419,11.63
109,109,NNBR,417252704.0,Industrials,9.91,0.0,-21.8
110,110,LYTS,86986952.0,Industrials,3.36,21.48612411,97.62
111,111,ALL,31330676736.0,Financials,94.38,14.32136657,11.52
112,112,DAIO,51866268.0,Information Technology,6.22,33.04345115,0.0
113,113,SRDX,786690752.0,Health Care,58.35,142.9047289,-40.17
114,114,OMI,388557504.0,Health Care,6.24,9.006863505,9.46
115,115,CNK,4404604416.0,Communication Services,37.63,16.20102938,-31.01
116,116,ADC,2469917952.0,Real Estate,65.73,43.63029375,9.27
117,117,CME,65086672896.0,Financials,181.91,28.69371886,9.3
118,118,ALLY,10908224512.0,Financials,27.09,9.183050699,-7.46
119,119,THG,4816480256.0,Financials,118.71,16.94725561,-0.14
120,120,VBIV,187510816.0,Health Care,1.92,0.0,-37.5
121,121,SRGA,310118624.0,Health Care,4.98,328.9299911,-25.7
122,122,ZEUS,213783104.0,Materials,19.42,6.573201986,-37.95
123,123,WKHS,55940096.0,Consumer Discretionary,0.96,0.0,213.54
124,124,PLUS,1217387904.0,Information Technology,89.44,21.31173968,-15.3
125,125,DISH,15210913792.0,Communication Services,32.38057769,10.90167691,3.52
126,126,AEO,3599216640.0,Consumer Discretionary,20.4,13.73732756,-36.86
127,127,VTNR,51423772.0,Energy,1.28,0.0,0.0
128,128,NVAX,269947616.0,Health Care,14.102,0.0,13.46
129,129,SYNL,135459984.0,Materials,15.27,8.131609532,-25.02
