,index,Ticker,Mkt Cap,Sector,Price,P/E
0,0,ESTE,248581664.0,Energy,3.85,31.145844
1,1,OSK,4928549888.0,Industrials,72.15,9.366099878
2,2,MTZ,3758748416.0,Industrials,49.08,9.921924599
3,3,HLI,3358280704.0,Financials,51.22,18.238799
4,4,UTMD,325226336.0,Health Care,87.4,22.1883733
5,5,ICAD,258058016.0,Health Care,13.32,0.0
6,6,UFCS,960461888.0,Financials,38.34,0.0
7,7,UTL,841210688.0,Utilities,56.34,18.96969679
8,8,GIII,1069375872.0,Consumer Discretionary,22.36,7.381267508
9,9,AMSC,154512288.0,Industrials,6.85,0.0
10,10,AMSWA,525632320.0,Information Technology,16.45,65.8
11,11,HFC,5451764736.0,Energy,33.68,6.234399949
12,12,QDEL,3234810112.0,Health Care,77.24,38.83157462
13,13,BKE,1113951872.0,Consumer Discretionary,22.63,11.20297057
14,14,XLNX,20775364608.0,Information Technology,83.49,24.34226474
15,15,OLP,480196832.0,Real Estate,24.1,45.08861457
16,16,CNBKA,402559808.0,Financials,72.3,10.14025229
17,17,ONB,2663597824.0,Financials,15.76,11.19756376
18,18,OTTR,1954820736.0,Utilities,48.61,22.40092087
19,19,VMI,2503911424.0,Industrials,116.22,17.21136779
20,20,NTRS,18363574272.0,Financials,87.76,13.24924993
21,21,NATR,158517200.0,Consumer Staples,8.2,23.66884463
22,22,MUX,384882464.0,Materials,0.9,0.0
23,23,COHU,844723200.0,Information Technology,20.47,0.0
24,24,KEWL,89657088.0,Materials,69.5,43.22139246
25,25,SANM,1857245952.0,Information Technology,26.29,9.11189998
26,26,KRMD,319970720.0,Health Care,8.1,94.96787885
27,27,APEI,342764768.0,Consumer Discretionary,22.26,17.43461967
28,28,STAA,1410938368.0,Health Care,31.38,137.4838411
29,29,ODC,231620928.0,Consumer Staples,30.43,14.63528882
30,30,IONS,7142880256.0,Health Care,50.78,23.06569227
31,31,BIG,617266176.0,Consumer Discretionary,15.81,4.448486166
32,32,RIG,2052120064.0,Energy,3.35,0.0
