Source,Target
0,1091
0,1333
0,135
0,2275
0,133
1,1969
1,1845
1,255
1,1657
1,2024
2,969
2,1367
2,218
2,2789
2,980
3,1204
3,700
3,1762
3,986
3,2280
4,2255
4,2590
4,1476
4,256
4,1436
5,2453
5,1795
5,1120
5,966
5,1322
6,1248
6,599
6,1529
6,211
6,567
7,508
7,578
7,1310
7,941
7,686
8,958
8,1904
8,380
8,1958
8,1651
9,886
9,51
9,659
9,212
9,1641
10,16
10,837
10,1698
10,1521
10,2243
11,17
11,2004
11,952
11,1168
11,258
12,2326
12,120
12,595
12,1710
12,1873
13,2623
13,1975
13,2537
13,872
13,2390
14,1926
14,2357
14,1197
14,2518
14,1515
15,2086
15,2450
15,2505
15,2493
15,1729
16,10
16,1652
16,837
16,100
16,1698
17,11
17,952
17,1168
17,1979
17,1993
18,2148
18,2174
18,2274
18,863
18,69
19,577
19,885
19,1783
19,1330
19,2445
20,367
20,946
20,979
20,2066
20,1884
21,1746
21,1986
21,231
21,1964
21,1819
22,1836
22,100
22,2307
22,2256
22,1254
23,1942
23,136
23,2511
23,2019
23,1749
24,1918
24,2779
24,2339
24,392
24,1195
25,2024
25,422
25,1453
25,1338
25,2115
26,1292
26,1016
26,152
26,1150
26,614
27,2592
27,1010
27,1672
27,1680
27,866
28,941
28,312
28,686
28,1154
28,736
29,76
29,1652
29,616
29,1572
29,773
30,538
30,1512
30,1551
30,1073
30,1138
31,219
31,1089
31,1517
31,1490
31,85
32,2008
32,2744
32,585
32,2374
32,1340
33,2042
33,296
33,1875
33,1068
33,933
34,1547
34,2456
34,205
34,2356
34,1398
35,1315
35,2284
35,319
35,228
35,326
36,2619
36,1766
36,644
36,1802
36,1651
37,2386
37,1219
37,2407
37,2491
37,2685
38,1786
38,2796
38,2076
38,1440
38,815
39,2685
39,61
39,2491
39,2407
39,2386
40,392
40,2154
40,2448
40,1400
40,507
41,175
41,1598
41,482
41,650
41,959
42,1559
42,1502
42,1935
42,2659
42,1666
43,1287
43,2432
43,2433
43,2031
43,1183
44,1900
44,1070
44,1492
44,464
44,926
45,74
45,349
45,306
45,685
45,1012
46,1804
46,1148
46,136
46,291
46,712
47,663
47,1335
47,532
47,615
47,505
48,1072
48,620
48,426
48,212
48,936
49,1584
49,1877
49,1768
49,2207
49,473
50,1174
50,581
50,602
50,472
50,2036
51,844
51,886
51,450
51,9
51,812
52,255
52,1
52,297
52,785
52,32
53,303
53,319
53,681
53,228
53,513
54,1388
54,326
54,681
54,566
54,1786
55,2821
55,920
55,1486
55,2099
55,1765
56,1976
56,566
56,1959
56,846
56,1971
57,2493
57,2450
57,2086
57,806
57,1729
58,90
58,1112
58,985
58,2400
58,609
59,776
59,781
59,175
59,1894
59,1998
60,2551
60,1889
60,591
60,224
60,638
61,2407
61,2443
61,2715
61,2491
61,2664
62,1394
62,517
62,2157
62,987
62,1709
63,2762
63,1619
63,1854
63,2110
63,427
64,731
64,662
64,1506
64,1345
64,1312
65,2322
65,1134
65,2293
65,1507
65,1943
66,1336
66,2123
66,1075
66,74
66,685
67,2118
67,716
67,375
67,1740
67,1207
68,2295
68,1780
68,342
68,2197
68,1127
69,1838
69,1214
69,1593
69,1732
69,1500
70,1429
70,1793
70,2694
70,2575
70,1414
71,651
71,1295
71,296
71,757
71,916
72,2607
72,2579
72,382
72,328
72,1965
73,1335
73,558
73,2224
73,738
73,1798
74,45
74,349
74,685
74,1012
74,306
75,1005
75,306
75,349
75,2122
75,685
76,29
76,1572
76,616
76,773
76,1652
77,1942
77,2393
77,2019
77,1544
77,23
78,718
78,980
78,1225
78,1035
78,2329
79,2272
79,1453
79,468
79,1681
79,1422
80,351
80,2224
80,1810
80,1335
80,370
81,2018
81,861
81,914
81,742
81,1772
82,293
82,382
82,891
82,636
82,210
83,883
83,2035
83,1474
83,317
83,151
84,166
84,2229
84,670
84,1647
84,2821
85,228
85,1243
85,747
85,1484
85,1491
86,2703
86,2038
86,619
86,1225
86,300
87,1369
87,2394
87,1945
87,1783
87,955
88,2065
88,1308
88,2122
88,1173
88,555
89,2649
89,2691
89,2818
89,461
89,2113
90,609
90,372
90,2474
90,1781
90,433
91,907
91,1417
91,1229
91,226
91,2007
92,2013
92,2694
92,70
92,267
92,2384
93,99
93,169
93,1868
93,2169
93,492
94,1789
94,2759
94,161
94,1555
