,index,Ticker,Mkt Cap,Sector,Price,P/E,Returns
0,0,ESTE,634324672.0,Energy,9.98,10.06862347,-39.58
1,1,OSK,6771881472.0,Industrials,90.72,18.83404157,-17.27
2,2,MTZ,4419417088.0,Industrials,53.4,17.89720606,-16.89
3,3,HLI,3143015424.0,Financials,47.7,19.56677478,-7.25
4,4,UTMD,335226048.0,Health Care,90.1,22.74256644,4.26
5,5,ICAD,53662880.0,Health Care,3.25,0.0,66.15
6,6,UFCS,1079440896.0,Financials,43.39,105.3364944,19.84
7,7,UTL,654958784.0,Utilities,44.21,22.10499984,18.66
8,8,GIII,1833173632.0,Consumer Discretionary,37.35,31.40690204,-6.64
9,9,AMSC,109019992.0,Industrials,5.21,0.0,150.86
10,10,AMSWA,377815104.0,Information Technology,12.53,37.26859554,-11.73
11,11,VOC,98770000.0,Energy,5.81,11.62000017,-23.92
12,12,HFC,8502016000.0,Energy,47.96,23.75265149,17.47
13,13,QDEL,1556377728.0,Health Care,45.78,202.1129485,26.76
14,14,TESS,183900592.0,Information Technology,21.95,49.75564327,-27.06
15,15,BKE,979267648.0,Consumer Discretionary,20.05,11.58959535,-13.37
16,16,PMD,109895984.0,Health Care,20.01,18.02702679,-9.25
17,17,NRT,78671448.0,Energy,8.56,11.26315804,-25.58
18,18,XLNX,18606608384.0,Information Technology,73.02,28.01827682,53.3
19,19,OLP,459038240.0,Real Estate,24.44,65.13268917,11.29
20,20,CNBKA,446267904.0,Financials,80.15,14.5359411,-3.14
21,21,ONB,2630291968.0,Financials,17.3,15.1649567,-6.71
22,22,OTTR,1685149056.0,Utilities,42.6,23.6666669,13.73
23,23,ARCW,38375332.0,Industrials,2.1,0.0,0.0
24,24,BLGO,29173894.0,Materials,0.285,0.0,0.0
25,25,VMI,3698616320.0,Industrials,163.6,21.20886384,-21.15
26,26,ASRV,74922680.0,Financials,4.1,12.86981109,0.98
27,27,NTRS,23967911936.0,Financials,105.39,21.64854279,-16.06
28,28,ARKR,87447720.0,Consumer Discretionary,25.4454,30.34072432,-26.39
29,29,NATR,228712960.0,Consumer Staples,12.1,198.764715,-33.88
30,30,MUX,732549120.0,Materials,2.2,0.0,-17.73
31,31,COHU,644118144.0,Information Technology,22.77,20.37299478,-22.97
32,32,USAU,36695080.0,Materials,25.5,0.0,0.0
33,33,SANM,1862776320.0,Information Technology,26.15,11.70010834,19.39
34,34,APEI,413202464.0,Consumer Discretionary,25.4,17.68200085,16.5
35,35,STAA,646278400.0,Health Care,15.7,0.0,127.58
36,36,ODC,284635712.0,Consumer Staples,38.89,23.96873998,-31.76
37,37,NAII,82833576.0,Consumer Staples,11.15,14.48055697,0.45
38,38,IONS,6554259968.0,Health Care,52.52,263.3848853,10.43
39,39,BIG,2554751488.0,Consumer Discretionary,60.78,14.71364986,-48.11
40,40,IDRA,358012416.0,Health Care,14.64,0.0,-82.72
41,41,MBOT,40535600.0,Health Care,15.74992125,53.76868944,0.0
42,42,RIG,4221450496.0,Energy,10.79,13.50919955,-20.57
43,43,UEIC,659495040.0,Consumer Discretionary,46.1,32.52798908,-38.89
44,44,DX,361683072.0,Financials,19.5000195,9.352419755,-7.38
45,45,PTBS,48988072.0,Financials,14.45,12.14285717,0.0
46,46,NKE,110990000000.0,Consumer Discretionary,68.22,29.53246712,20.02
