,index,Ticker,Mkt Cap,Sector,Price,P/E
0,0,ESTE,322833344.0,Energy,5.0,40.44914805
1,1,OSK,5877372928.0,Industrials,86.04,11.16922015
2,2,MTZ,4408184320.0,Industrials,57.75,11.97966493
3,3,HLI,3403902208.0,Financials,51.85,19.52110255
4,4,UTMD,342603968.0,Health Care,92.07,23.37395343
5,5,ICAD,164289184.0,Health Care,8.48,0.0
6,6,UFCS,1107904256.0,Financials,44.26,41.00296979
7,7,UTL,921091328.0,Utilities,61.69,20.77104357
8,8,GIII,1301329024.0,Consumer Discretionary,27.21,8.982302723
9,9,AMSC,136687104.0,Industrials,6.28,0.0
10,10,AMSWA,477063264.0,Information Technology,14.93,67.86363673
11,11,HFC,7249626112.0,Energy,44.92,6.701208018
12,12,QDEL,3198884096.0,Health Care,76.8,41.75256465
13,13,BKE,1201571584.0,Consumer Discretionary,24.41,12.08415871
14,14,XLNX,21021712384.0,Information Technology,84.48,24.6309082
15,15,OLP,544754432.0,Real Estate,27.34,51.15032043
16,16,CNBKA,478840160.0,Financials,86.0,12.06171089
17,17,ONB,3037822464.0,Financials,17.91,12.74297724
18,18,OTTR,2129494912.0,Utilities,53.56,26.51485134
19,19,VMI,3057924608.0,Industrials,142.06,19.40471051
20,20,NTRS,20724140032.0,Financials,97.81,14.76651249
21,21,NATR,184807856.0,Consumer Staples,9.56,27.5944091
22,22,MUX,491794240.0,Materials,1.15,0.0
23,23,COHU,923129408.0,Information Technology,22.37,0.0
24,24,KEWL,89915088.0,Materials,69.7,43.34577057
25,25,SANM,2249323520.0,Information Technology,31.84,11.0354848
26,26,KRMD,234641104.0,Health Care,5.94,72.45316299
27,27,APEI,366940000.0,Consumer Discretionary,23.83,18.66428512
28,28,STAA,1500659840.0,Health Care,33.64,183.1306436
29,29,ODC,269450560.0,Consumer Staples,35.4,17.0256071
30,30,IONS,8203481088.0,Health Care,58.32,41.90175821
31,31,BIG,1056497280.0,Consumer Discretionary,27.06,7.021708204
32,32,RIG,2790088960.0,Energy,4.56,0.0
33,33,UEIC,689862976.0,Consumer Discretionary,49.53,19.67474133
34,34,DX,408897600.0,Financials,17.82,16.98968044
35,35,NKE,149975000000.0,Consumer Discretionary,96.3,33.6713285
36,36,KBH,3364726016.0,Consumer Discretionary,37.55,12.30011932
37,37,K,23266033664.0,Consumer Staples,68.21,19.13210204
38,38,MRTN,1135643904.0,Industrials,13.84,21.06376019
39,39,FNLC,308229664.0,Financials,28.28,12.08547053
40,40,PESI,89417736.0,Industrials,7.4,0.0
41,41,J,12329566208.0,Industrials,92.53,22.39254516
42,42,KMT,2592592640.0,Industrials,31.29,12.5873857
43,43,TKR,3956779776.0,Industrials,52.53,11.25425209
44,44,PHM,12054385664.0,Consumer Discretionary,44.65,12.3118751
45,45,JBSS,962614592.0,Consumer Staples,84.3,18.6893053
46,46,INTU,72984772608.0,Information Technology,280.38,45.6463836
47,47,ORLY,30725079040.0,Consumer Discretionary,406.1,23.41460161
48,48,AFL,37853306880.0,Financials,51.57,11.28793148
49,49,REFR,103530672.0,Information Technology,3.33,0.0
50,50,SNFCA,91386848.0,Financials,5.203252033,10.91932044
51,51,C,157310000000.0,Financials,74.41,9.252942508
52,52,LMT,120760000000.0,Industrials,428.12,20.03500026
53,53,FUN,3067779328.0,Consumer Discretionary,54.14,16.75167295
54,54,EZPW,345429152.0,Financials,6.22,7.02187745
55,55,ROP,39714754560.0,Industrials,381.66,37.01156637
56,56,AMED,5692730368.0,Health Care,176.49,40.71732038
57,57,WDFC,2560688384.0,Consumer Staples,186.82,47.46466103
58,58,NNN,9611703296.0,Real Estate,56.0,36.26928864
59,59,ROST,40263008256.0,Consumer Discretionary,112.19,24.82079656
60,60,SBUX,99564969984.0,Consumer Discretionary,84.83,29.18536288
61,61,CL,63232720896.0,Consumer Staples,73.78,26.02675724
62,62,IIN,149505744.0,Health Care,17.03,215.9851799
63,63,NOBH,86862144.0,Consumer Discretionary,23.8,13.07686531
64,64,CLH,4588619776.0,Industrials,82.22,44.34773983
65,65,LCUT,143908496.0,Consumer Discretionary,6.77,0.0
