Source,Target
0,1723
0,635
0,1817
0,1682
0,133
1,1812
1,1927
1,1624
1,251
1,291
2,2291
2,2042
2,958
2,860
2,2621
3,890
3,2239
3,1461
3,2538
3,1760
4,1687
4,1117
4,2248
4,322
4,1600
5,2201
5,399
5,500
5,1525
5,350
6,893
6,446
6,555
6,1441
6,1394
7,496
7,670
7,918
7,1663
7,1284
8,831
8,213
8,1400
8,2136
8,774
9,1662
9,579
9,1320
9,48
9,1606
10,816
10,16
10,1808
10,1473
10,374
11,1963
11,1360
11,737
11,253
11,863
12,1404
12,2283
12,120
12,1192
12,109
13,1933
13,850
13,1585
13,1546
13,723
14,1763
14,112
14,294
14,1277
14,1310
15,2041
15,2404
15,1319
15,1718
15,1230
16,10
16,1230
16,2111
16,1803
16,2215
17,1403
17,1054
17,1747
17,383
17,218
18,1866
18,863
18,562
18,1907
18,2568
19,1885
19,358
19,752
19,2142
19,1997
20,227
20,2171
20,605
20,1497
20,2178
21,2265
21,100
21,2365
21,1230
21,310
22,928
22,1127
22,812
22,1158
22,1678
23,2607
23,1175
23,1883
23,1349
23,2077
24,352
24,1693
24,1566
24,1311
24,1422
25,792
25,150
25,237
25,1862
25,2260
26,1292
26,2539
26,462
26,542
26,695
27,28
27,305
27,2680
27,517
27,249
28,27
28,603
28,1538
28,1618
28,10
29,514
29,2333
29,1367
29,1878
29,620
30,1458
30,224
30,756
30,1402
30,1219
31,2050
31,1153
31,2403
31,353
31,1687
32,645
32,2457
32,1401
32,999
32,1888
33,1744
33,572
33,1967
33,1313
33,1816
34,1673
34,2685
34,2316
34,289
34,2482
35,448
35,1086
35,1370
35,2685
35,2336
36,829
36,498
36,224
36,1452
36,1219
37,1976
37,1420
37,362
37,2605
37,1629
38,2342
38,134
38,2396
38,850
38,2440
39,1385
39,1754
39,2692
39,280
39,1972
40,1273
40,2588
40,61
40,1837
40,250
41,1826
41,173
41,1581
41,1992
41,428
42,1633
42,1897
42,92
42,2164
42,51
43,954
43,354
43,2146
43,1585
43,1887
44,2386
44,1988
44,1184
44,1335
44,2270
45,73
45,1282
45,2616
45,538
45,299
46,2370
46,693
46,136
46,1799
46,284
47,343
47,521
47,648
47,1308
47,274
48,765
48,235
48,1048
48,413
48,579
49,100
49,1549
49,1844
49,1734
49,1332
50,2178
50,281
50,1037
50,1322
50,589
51,1633
51,1606
51,1320
51,413
51,280
52,290
52,251
52,214
52,1
52,1927
53,54
53,665
53,1796
53,829
53,1579
54,829
54,319
54,53
54,665
54,642
55,2715
55,1454
55,1731
55,124
55,2069
56,554
56,1257
56,825
56,1934
56,1815
57,1316
57,2287
57,740
57,1267
57,2381
58,1116
58,1088
58,1235
58,962
58,59
59,754
59,1861
59,1957
59,1434
59,1826
60,657
60,578
60,169
60,830
60,897
61,1837
61,2615
61,2657
61,2361
61,1251
62,1959
62,505
62,964
62,1676
62,1970
63,278
63,2067
63,2305
63,576
63,2578
64,671
64,1572
64,513
64,481
64,870
65,1051
65,1309
65,73
65,669
65,1876
66,154
66,2073
66,2226
66,588
66,965
67,837
67,2349
67,567
67,397
67,170
68,1190
68,1805
68,1955
68,1957
68,1634
69,1759
69,2637
69,42
69,92
69,1399
70,628
70,637
70,337
70,514
70,528
71,1304
71,373
71,553
71,356
71,810
72,1308
72,274
72,549
72,405
72,361
73,341
73,988
73,45
73,669
73,299
74,341
74,1717
74,1282
74,543
74,343
75,2490
75,795
75,1272
75,2326
75,2221
76,2347
76,845
76,2013
76,2294
76,684
77,954
77,1153
77,1600
77,1845
77,355
78,1566
78,917
78,1825
78,1342
78,574
79,2107
79,1751
79,2231
79,2219
79,1393
80,343
80,978
80,2182
80,648
80,361
81,1975
81,2696
81,917
81,2245
81,2480
82,373
82,622
82,71
82,553
82,356
83,861
83,1206
83,2242
83,1710
83,357
84,164
84,1612
84,2187
84,1423
84,55
85,215
85,1595
85,1219
85,318
85,684
86,1995
86,293
86,2649
86,702
86,2191
87,1749
87,1303
87,1907
87,863
87,858
88,1149
88,988
88,299
88,74
88,341
89,2712
89,2406
89,1939
89,1909
89,2068
90,363
90,2233
90,2427
90,1747
90,2289
91,1389
91,472
91,1036
91,222
91,316
92,1972
92,620
92,1049
92,1459
92,42
93,99
93,168
93,1833
93,328
93,2212
94,889
94,1343
94,1975
94,1757
94,284
95,450
95,758
95,2265
95,1896
95,21
96,1478
96,993
96,420
96,1785
96,2691
97,1880
97,1669
97,1246
97,255
97,1152
98,612
98,2640
98,1520
98,1925
98,2612
99,1833
99,2126
99,93
99,168
99,481
100,49
100,459
100,1276
100,559
100,21
101,545
101,1561
101,997
101,1095
101,901
102,592
102,1214
102,445
102,1679
102,155
103,1670
103,1671
103,1046
103,768
103,1832
104,862
104,1047
104,1263
104,1190
104,782
105,967
105,2028
105,2646
105,1007
105,2581
106,1607
106,42
106,1759
106,1540
106,92
107,1406
107,113
107,2540
107,4
107,1261
108,1070
108,1268
108,1661
108,1996
108,2466
109,841
109,1298
109,1905
109,806
109,2624
110,1819
110,945
110,946
110,2320
110,2280
111,1885
111,1032
111,925
111,569
111,188
112,14
112,1472
112,1277
112,1951
112,1310
113,4
113,1406
113,1519
113,107
113,1117
114,2267
114,1353
114,1155
114,738
114,2158
115,159
115,2064
115,790
115,1969
115,2357
116,36
116,498
116,1452
116,1376
116,37
117,490
117,297
117,830
117,233
117,1612
118,2054
118,629
118,334
118,1367
118,471
119,2248
119,2099
119,1331
119,1544
119,1700
120,672
120,1579
120,1978
120,1449
120,359
121,277
121,331
121,1249
121,284
121,501
122,918
122,249
122,566
122,573
122,1023
123,1941
123,2558
123,2527
123,71
123,980
124,486
124,55
124,1731
124,1905
124,2069
125,1856
125,84
125,2715
125,1454
125,1731
126,788
126,922
126,1100
126,1163
126,1278
127,2637
127,1240
127,1049
127,1399
127,1759
128,971
128,1384
128,2256
128,944
128,557
129,2573
129,268
129,2473
129,434
129,662
130,1350
130,1535
130,1732
130,1408
130,153
131,571
131,1777
131,1852
131,274
131,2274
132,2682
132,1325
132,1034
132,1989
132,1618
133,0
133,2310
133,1773
133,504
133,2228
134,1352
134,2418
134,2342
134,2173
134,850
135,1448
135,2538
135,714
135,1180
135,2239
136,2371
136,2370
136,1799
136,46
136,693
137,2200
137,2642
137,1005
137,615
137,797
138,2015
138,1307
138,1531
138,1467
138,2142
139,1230
139,505
139,714
139,1473
139,450
140,854
140,1336
140,1602
140,1027
140,949
141,1754
141,496
141,7
141,53
141,995
142,371
142,644
142,1812
142,861
142,1201
143,188
143,1708
143,1926
143,452
143,924
144,2389
144,1512
144,1052
144,783
144,2605
145,1492
145,1444
145,1072
145,1003
145,565
146,2699
146,911
146,1071
146,886
146,2362
147,1423
147,1777
147,2190
147,2083
147,1667
148,744
148,757
148,2493
148,867
148,1252
149,1443
149,1564
149,2691
149,1276
149,1108
150,992
150,25
150,792
150,237
150,2578
151,987
151,2014
151,1705
151,2218
151,559
152,1458
152,14
152,1840
152,1496
152,1911
153,945
153,130
153,1624
153,214
153,1324
154,66
154,2226
154,339
154,2073
154,1534
155,1214
155,102
155,1679
155,409
155,1610
156,1138
156,1564
156,559
156,2431
156,100
157,2130
157,2332
157,812
157,1122
157,163
158,2653
158,2311
158,867
158,1075
158,2493
159,2064
159,115
159,1969
159,790
159,2340
160,734
160,974
160,1961
160,1993
160,409
161,861
161,2111
161,83
161,310
161,2687
162,386
162,1727
162,1176
162,245
162,1374
163,2602
163,157
163,2725
163,2417
163,2518
164,84
164,1612
164,1423
164,1731
164,55
165,1786
165,1148
165,2549
165,1630
165,1660
166,2436
166,1941
166,980
166,1707
166,1942
167,761
167,1928
167,1086
167,760
167,2562
168,900
168,2212
168,2126
168,919
168,1203
169,1569
169,478
169,578
169,26
169,60
170,1810
170,456
170,1495
170,2129
170,1424
171,2214
171,1456
171,439
171,1243
171,2574
172,1396
172,710
172,2001
172,1573
172,941
173,470
173,1434
173,636
173,993
173,1826
174,740
174,1341
174,2224
174,223
174,1891
175,1698
175,391
175,809
175,1036
175,316
176,2431
176,2590
176,702
176,2545
176,692
177,2209
177,1188
177,1785
177,2555
177,1858
178,1265
178,1790
178,487
178,2025
178,1930
179,1764
179,1849
179,1628
179,571
179,1852
180,264
180,781
180,2090
180,1720
180,964
181,398
181,784
181,2213
181,605
181,2171
182,611
182,652
182,1947
182,1638
182,965
183,1034
183,1714
183,753
183,1574
183,2141
184,1344
184,1306
184,2666
184,2344
184,1659
185,951
185,1074
185,757
185,744
185,523
186,1588
186,1117
186,1764
186,1824
186,1469
187,775
187,459
187,1618
187,1480
187,1953
188,488
188,143
188,925
188,542
188,1292
189,380
189,1854
189,568
189,1774
189,1505
190,593
190,2292
190,1260
190,1130
190,1371
191,649
191,2040
191,867
191,515
191,1013
192,2679
192,727
192,1475
192,2191
192,899
193,1072
193,2198
193,491
193,1444
193,314
194,1669
194,457
194,1042
194,1880
194,1134
195,224
195,1490
195,1486
195,794
195,1424
196,1728
196,1773
196,2306
196,2223
196,890
197,1024
197,1962
197,1043
197,2613
197,2288
198,239
198,2203
198,1589
198,1097
198,2094
199,2192
199,1094
199,1970
199,799
199,1228
200,2046
200,365
200,98
200,612
200,2640
201,2108
201,2241
201,354
201,954
201,751
202,1121
202,404
202,349
202,766
202,418
203,404
203,98
203,1076
203,2046
203,1121
204,712
204,2357
204,1078
204,2417
204,1707
205,2301
205,1351
205,1305
205,1625
205,1724
206,770
206,625
206,1457
206,1255
206,2302
207,491
207,1444
207,356
207,1625
207,1417
208,422
208,446
208,893
208,6
208,555
209,497
209,1359
209,1514
209,1584
209,2513
210,2529
210,719
210,1743
210,2377
210,1290
211,2481
211,485
211,2453
211,2026
211,973
212,1968
212,765
212,932
212,855
212,1846
213,1511
213,1603
213,8
213,2084
213,831
214,946
214,251
214,1535
214,290
214,2320
215,1649
215,1602
215,1022
215,1447
215,224
216,2462
216,2484
216,1157
216,2237
216,1363
217,1081
217,2144
217,1823
217,1982
217,847
218,383
218,1559
218,470
218,801
218,17
219,1986
219,993
219,1436
219,470
219,2654
220,1286
220,2500
220,2079
220,1571
220,1856
221,414
221,778
221,1750
221,2043
221,457
222,1532
222,1871
222,936
222,1389
222,1205
223,2624
223,2397
223,1267
223,1210
223,806
224,318
224,1219
224,1452
224,36
224,1402
225,2632
225,431
225,2704
225,494
225,772
226,898
226,2196
226,531
226,1910
226,1462
227,1497
227,453
227,1853
227,1920
227,1610
228,1371
228,390
228,688
228,1836
228,1412
229,2173
229,954
229,2396
229,2241
229,2050
230,1685
230,646
230,2576
230,1645
230,1345
231,1576
231,1823
231,136
231,2249
231,1248
232,367
232,2667
232,1666
232,2545
232,1558
233,678
233,1667
233,2715
233,387
233,508
234,1899
234,1919
234,2321
234,1990
234,2501
235,48
235,1048
235,1968
235,765
235,1536
236,1146
236,2317
236,1938
236,1259
236,738
237,2260
237,1125
237,1862
237,25
237,1278
238,2198
238,1417
238,2513
238,314
238,491
239,760
239,1103
239,337
239,2535
239,35
240,1160
240,844
240,2318
240,2336
240,75
241,2556
241,926
241,583
241,1973
241,2045
242,767
242,2279
242,1733
242,2678
242,685
243,2155
243,2358
243,1632
243,2110
243,2018
244,361
244,1852
244,636
244,1308
244,549
245,1727
245,386
245,162
245,372
245,589
246,1778
246,291
246,1978
246,1048
246,1313
247,2145
247,1857
247,570
247,1046
247,617
248,1821
248,923
248,1098
248,1290
248,1713
249,918
249,1794
249,670
249,573
249,1023
250,2391
250,1273
250,2615
250,61
250,867
251,214
251,1535
251,946
251,1
251,1927
252,1445
252,2099
252,800
252,2541
252,780
253,2317
253,930
253,1146
253,1259
253,587
254,1231
254,923
254,2240
254,1750
254,1653
255,1152
255,1669
255,97
255,1501
255,2183
256,264
256,781
256,2050
256,379
256,1845
257,456
257,344
257,1043
257,1205
257,1532
258,2523
258,1122
258,1902
258,590
258,157
259,1238
259,2254
259,2667
259,1711
259,2489
260,770
260,2345
260,206
260,2693
260,625
261,666
261,1066
261,1523
261,1142
261,1540
262,2348
262,1001
262,2559
262,2385
262,2398
263,1594
263,222
263,1532
263,91
263,775
264,180
264,1720
264,781
264,256
264,1900
265,555
265,422
265,1609
265,446
265,208
266,1328
266,1259
266,587
266,1937
266,909
267,1895
267,1646
267,1161
267,2660
267,1387
268,2473
268,434
268,1795
268,2573
268,129
269,1136
269,1968
269,212
269,555
269,446
270,1051
270,2194
270,1429
270,1876
270,981
271,1788
271,2228
271,547
271,2569
271,368
272,1289
272,1225
272,2564
272,2244
272,1915
273,507
273,375
273,1774
273,682
273,879
274,1308
274,1188
274,1858
274,1213
274,718
275,1318
275,1792
275,64
275,647
275,839
276,2234
276,591
276,1807
276,1332
276,2583
277,2687
277,817
277,1185
277,1623
277,121
278,63
278,2067
278,2578
278,576
278,1586
279,1985
279,669
279,1599
279,1604
279,2258
280,1554
280,1633
280,2294
280,1897
280,2389
281,616
281,589
281,974
281,160
281,1322
282,576
282,63
282,278
282,1290
282,2067
283,934
283,2062
283,2273
283,389
283,1589
284,516
284,2709
284,22
284,1249
284,1158
285,511
285,451
285,2702
285,1504
285,846
286,1905
286,643
286,486
286,1446
286,373
287,409
287,1214
287,1961
287,601
287,1920
288,17
288,2157
288,122
288,1245
288,2354
289,541
289,2149
289,34
289,1673
289,2482
290,214
290,251
290,52
290,946
290,1535
291,420
291,1649
291,2211
291,1
291,1815
292,1622
292,1926
292,953
292,1246
292,1880
293,1324
293,2191
293,86
293,940
293,342
294,1021
294,14
294,552
294,577
294,1310
295,1622
295,292
295,768
295,1708
295,1832
296,2042
296,2291
296,418
296,766
296,202
297,1898
297,1612
297,922
297,1547
297,387
298,899
298,1012
298,2494
298,928
298,388
299,341
299,1282
299,669
299,988
299,73
300,1086
300,1256
300,761
300,167
300,448
301,1297
301,1135
301,1394
301,586
301,784
302,1558
302,1806
302,561
302,1333
302,2306
303,2583
303,1524
303,2127
303,1844
303,1108
304,975
304,2357
304,115
304,1903
304,1518
305,517
305,27
305,2680
305,995
305,28
306,1938
306,738
306,520
306,236
306,909
307,1027
307,1
307,852
307,228
307,1812
308,1220
308,116
308,1843
308,36
308,753
309,1849
309,1190
309,1263
309,384
309,962
310,1276
310,1704
310,2113
310,1165
310,459
311,1053
311,1933
311,119
311,2248
311,868
312,2106
312,1219
312,36
312,1972
312,1269
313,575
313,1272
313,717
313,448
313,1370
314,2513
314,2198
314,1417
314,2158
314,1444
315,2136
315,1400
315,1798
315,746
315,2253
316,1036
316,472
316,783
316,91
316,886
317,1314
317,2409
317,1069
317,1492
317,145
318,1219
318,224
318,1402
318,424
318,1452
319,642
319,54
319,1754
319,829
319,501
320,702
320,1138
320,1009
320,1998
320,1329
321,698
321,1298
321,2444
321,1923
321,1210
322,1544
322,836
322,2248
322,4
322,1664
323,1184
323,520
323,1865
323,1938
323,306
324,1872
324,1124
324,1483
324,1003
324,1568
325,1785
325,991
325,91
325,1805
325,979
326,2363
326,2299
326,1184
326,2386
326,1363
327,179
327,2182
327,978
327,1764
327,72
328,870
328,513
328,1572
328,1930
328,2037
329,1739
329,1096
329,693
329,353
329,2370
330,453
330,2179
330,1610
330,1853
330,1497
331,1715
331,1127
331,1274
331,928
331,1892
332,2268
332,2625
332,417
332,2089
332,732
333,57
333,1316
333,2556
333,2268
333,2287
334,629
334,118
334,378
334,2054
334,842
335,1203
335,2212
335,900
335,1051
335,45
336,2514
336,1944
336,1193
336,2597
336,1874
337,1103
337,528
337,637
337,407
337,842
338,1281
338,2402
338,853
338,232
338,502
339,249
339,1534
339,573
339,2009
339,1791
340,561
340,1646
340,1436
340,1986
340,1806
341,299
341,73
341,543
341,1282
341,1717
342,293
342,2191
342,1342
342,972
342,2259
343,80
343,648
343,47
343,2182
343,978
344,2123
344,2129
344,1532
344,2136
344,1495
345,774
345,1532
345,936
345,344
345,1311
346,72
346,1308
346,274
346,600
346,648
347,1042
347,255
347,1307
347,1669
347,592
348,962
348,543
348,2424
348,862
348,80
349,202
349,404
349,766
349,1121
349,1703
350,2188
350,2523
350,477
350,864
350,976
351,2335
351,1518
351,2086
351,1517
351,112
352,24
352,1107
352,1324
352,2070
352,429
353,1739
353,1039
353,1153
353,2002
353,1588
354,1367
354,471
354,751
354,628
354,392
355,379
355,1845
355,1600
355,1153
355,77
356,810
356,491
356,1625
356,1304
356,207
357,1675
357,1710
357,993
357,861
357,1812
358,2586
358,1997
358,2305
358,19
358,1231
359,1447
359,753
359,1449
359,631
359,1579
360,2693
360,619
360,2345
360,770
360,681
361,978
361,2182
361,546
361,80
361,1308
362,37
362,2177
362,2605
362,2288
362,1402
363,90
363,263
363,1594
363,1634
363,1601
364,1334
364,487
364,1790
364,2651
364,64
365,2640
365,2046
365,98
365,2122
365,1651
366,2073
366,965
366,667
366,122
366,588
367,1800
367,232
367,1666
367,2545
367,702
368,1828
368,2228
368,271
368,504
368,758
369,2562
369,1399
369,1395
369,2316
369,2314
370,535
370,812
370,2422
370,524
370,1122
371,936
371,2581
371,1617
371,1871
371,420
372,1591
372,245
372,1727
372,162
372,1501
373,71
373,356
373,82
373,207
373,1625
374,1989
374,1808
374,1325
374,816
374,2129
375,273
375,1568
375,943
375,1061
375,1124
376,2229
376,1665
376,2160
376,1176
376,162
377,1361
377,2399
377,927
377,1285
377,1129
378,334
378,1664
378,629
378,1338
378,456
379,1600
379,1687
379,1401
379,1845
379,2403
380,1505
380,189
380,1854
380,1774
380,568
381,1136
381,1945
381,2250
381,1823
381,1361
382,2573
382,1171
382,2418
382,876
382,2412
383,1577
383,1805
383,415
383,979
383,1726
384,309
384,862
384,962
384,104
384,1190
385,968
385,1514
385,871
385,1850
385,639
386,162
386,1727
386,245
386,1176
386,1322
387,1890
387,621
387,1488
387,718
387,1934
388,1855
388,298
388,1201
388,928
388,2581
389,1589
389,1263
389,934
389,1590
389,2717
390,1836
390,1785
390,688
390,1815
390,228
391,407
391,1698
391,175
391,842
391,2074
392,1481
392,786
392,1471
392,1367
392,403
393,1862
393,25
393,466
393,237
393,653
394,2570
394,2052
394,2092
394,1422
394,2519
395,1041
395,1470
395,1015
395,1636
395,2539
396,565
396,1866
396,562
396,1492
396,1072
397,2137
397,574
397,972
397,2695
397,1422
398,2213
398,181
398,784
398,301
398,1297
399,2201
399,350
399,477
399,258
399,2188
400,638
400,805
400,224
400,1630
400,2245
401,1931
401,1426
401,367
401,135
401,1180
402,187
402,1473
402,100
402,419
402,21
403,2316
403,1481
403,786
403,597
403,1459
404,202
404,1121
404,2435
404,766
404,349
405,636
405,991
405,1785
405,1932
405,1257
406,1196
406,2607
406,2251
406,2567
406,1453
407,391
407,842
407,1698
407,528
407,898
408,1809
408,2285
408,774
408,591
408,345
409,287
409,1920
409,1214
409,1853
409,1993
410,1422
410,2231
410,1617
410,1027
410,1384
411,198
411,1215
411,2143
411,1589
411,934
412,1595
412,886
412,666
412,1103
412,316
413,1081
413,437
413,1539
413,765
413,48
414,1750
414,1879
414,1586
414,2240
414,254
415,1918
415,383
415,1447
415,456
415,1052
416,2225
416,2151
416,1532
416,472
416,222
417,2089
417,332
417,2625
417,732
417,1707
418,1386
418,1631
418,1888
418,2042
418,296
419,1235
419,1403
419,1747
419,100
419,1443
420,291
420,1389
420,1815
420,371
420,222
421,1243
421,1456
421,467
421,1251
421,2657
422,446
422,555
422,208
422,893
422,1627
423,312
423,726
423,2340
423,790
423,1128
424,532
424,809
424,783
424,1836
424,1757
425,1411
425,443
425,1269
425,794
425,1103
426,2725
426,1168
426,2417
426,157
426,370
427,2586
427,1042
427,1997
427,2142
427,2377
428,173
428,2660
428,2016
428,1826
428,1793
429,352
429,1107
429,1266
429,606
429,793
430,1946
430,1683
430,1783
430,1671
430,2056
431,2704
431,2627
431,1948
431,866
431,1186
432,1748
432,2512
432,1213
432,261
432,1411
433,2648
433,2359
433,1619
433,2280
433,1743
434,268
434,159
434,1521
434,2120
434,2473
435,494
435,1667
435,1934
435,1914
435,2532
436,1264
436,2306
436,1760
436,1728
436,1302
437,1197
437,413
437,1414
437,579
437,765
438,354
438,882
438,627
438,400
438,392
439,1837
439,2361
439,2664
439,2657
439,1251
440,569
440,160
440,734
440,409
440,1307
441,571
441,483
441,1056
441,2122
441,1777
442,1543
442,2346
442,1736
442,899
442,1593
443,1972
443,822
443,2031
443,1269
443,1984
444,2232
444,76
444,2470
444,1343
444,564
445,592
445,102
445,2183
445,734
445,1214
446,422
446,555
446,893
446,1627
446,6
447,2598
447,848
447,250
447,40
447,61
448,1086
448,575
448,1256
448,1272
448,35
449,2330
449,2211
449,1355
449,1932
449,1257
450,758
450,49
450,604
450,1332
450,1844
451,285
451,511
451,2068
451,1939
451,1584
452,1857
452,879
452,143
452,1708
452,915
453,227
453,1497
453,1853
453,1610
453,1135
454,564
454,1595
454,551
454,1036
454,1962
455,1035
455,2286
455,1656
455,630
455,1815
456,257
456,2129
456,1205
456,1808
456,344
457,1880
457,194
457,1669
457,1152
457,1134
458,2070
458,1566
458,1998
458,574
