,index,Ticker,Mkt Cap,Sector,Price,P/E,Returns
0,0,ESTE,622232448.0,Energy,9.74,4.0183424,-55.03
1,1,OSK,5501015040.0,Industrials,75.25,12.62881809,11.06
2,2,MTZ,3745771008.0,Industrials,46.55,21.67250289,10.25
3,3,HLI,3253800704.0,Financials,49.16,21.09948229,-6.43
4,4,UTMD,361862176.0,Health Care,97.0,22.97285276,-6.2
5,5,ICAD,50655500.0,Health Care,3.04,0.0,109.54
6,6,UFCS,1502827648.0,Financials,60.29,62.05873415,-13.3
7,7,UTL,756871424.0,Utilities,50.91,22.62666712,15.05
8,8,GIII,2247025152.0,Consumer Discretionary,45.7,22.6715406,-37.29
9,9,AMSC,109961408.0,Industrials,5.18,0.0,71.62
10,10,AMSWA,462358720.0,Information Technology,14.96,37.39999944,-10.96
11,11,VOC,96900000.0,Energy,5.7,10.85714304,-3.51
12,12,HFC,13166522368.0,Energy,74.58,17.07025632,-33.27
13,13,QDEL,2541796864.0,Health Care,67.86,80.5004164,-13.01
14,14,TESS,156314448.0,Information Technology,18.55,27.68656771,-20.65
15,15,BKE,1179529728.0,Consumer Discretionary,24.05,12.6578948,-15.38
16,16,PMD,115074240.0,Health Care,20.895,23.33249964,0.0
17,17,NRT,73708528.0,Energy,8.02,10.28205127,-10.47
18,18,XLNX,18227480576.0,Information Technology,72.07,24.88742481,58.47
19,19,OLP,515830656.0,Real Estate,26.96,69.17290021,6.31
20,20,CNBKA,430677760.0,Financials,77.35,14.81040393,8.27
21,21,ONB,2963226880.0,Financials,19.45,15.96370322,-9.46
22,22,OTTR,1919119872.0,Utilities,48.4,26.89794436,10.29
23,23,ARCW,50108032.0,Industrials,2.15,0.0,0.0
24,24,BLGO,37623452.0,Materials,0.308,0.0,0.0
25,25,VMI,3149396992.0,Industrials,139.65,19.87183283,-1.47
26,26,ASRV,78494408.0,Financials,4.35,11.81869314,-5.75
27,27,NTRS,24386836480.0,Financials,109.22,18.51427767,-10.27
28,28,ARKR,77584072.0,Consumer Discretionary,22.5,32.52023155,-14.36
29,29,NATR,150577216.0,Consumer Staples,7.9,0.0,14.3
30,30,MUX,755481152.0,Materials,2.24,0.0,-22.77
31,31,COHU,727431680.0,Information Technology,25.18,20.67034975,-39.79
32,32,KEWL,132034568.0,Materials,102.35,600.1524525,-32.1
33,33,SANM,1996329088.0,Information Technology,29.1,18.00358162,9.11
34,34,APEI,723204672.0,Consumer Discretionary,44.1,32.52617702,-25.12
35,35,STAA,1283989888.0,Health Care,30.85,1226.737799,-4.99
36,36,ODC,309880128.0,Consumer Staples,42.36,25.94152852,-16.36
37,37,NAII,76717848.0,Consumer Staples,10.15,18.80663955,-0.59
38,38,IONS,5482729984.0,Health Care,43.68,0.0,50.78
39,39,BIG,1752021888.0,Consumer Discretionary,43.43,10.23732284,-41.05
40,40,IDRA,155105728.0,Health Care,5.71,0.0,-52.71
41,41,MBOT,27224710.0,Health Care,9.340453298,0.0,0.0
42,42,RIG,5944243712.0,Energy,12.87,0.0,-52.76
43,43,UEIC,493694528.0,Consumer Discretionary,34.95,37.03468141,22.52
44,44,DX,378426240.0,Financials,19.95001995,11.39804427,-18.3
45,45,NKE,123099000000.0,Consumer Discretionary,76.91,32.44378232,11.86
46,46,KBH,2082609024.0,Consumer Discretionary,23.75,9.38166328,10.61
47,47,K,24636637184.0,Consumer Staples,71.03,16.75377675,-18.03
48,48,MRTN,1194300800.0,Industrials,14.56666667,33.41453711,-8.15
49,49,SDG,72680436.01,Consumer Discretionary,1.023906,5.136140465,0.0
50,50,FNLC,330983456.0,Financials,30.5,15.38552351,-14.07
51,51,PESI,54179316.0,Industrials,4.55,0.0,0.0
52,52,J,9589385216.0,Industrials,67.63,19.1857502,0.0
53,53,KMT,3180237056.0,Industrials,38.96,16.66767183,-11.24
54,54,TKR,3797531904.0,Industrials,49.25,13.92152555,-7.19
55,55,PHM,8091688960.0,Consumer Discretionary,28.49,9.597006539,10.6
56,56,JBSS,872090240.0,Consumer Staples,76.87,25.92694685,13.06
57,57,INTU,52405592064.0,Information Technology,204.24,43.48404545,35.78
58,58,ORLY,24782264320.0,Consumer Discretionary,306.0,21.83744202,24.43
59,59,AFL,35801919488.0,Financials,46.54,12.31524793,13.11
60,60,RELL,118466400.0,Information Technology,9.16,55.54376651,-38.1
61,61,SNFCA,74063368.0,Financials,4.340257202,6.597707049,4.18
62,62,C,180919000000.0,Financials,71.89,12.24694785,-1.02
63,63,LMT,92867108864.0,Industrials,326.1,18.68767495,11.06
64,64,FUN,3223611136.0,Consumer Discretionary,57.14,19.9808731,-11.67
65,65,EZPW,623617600.0,Financials,11.45,13.1810241,-13.97
66,66,ROP,31144105984.0,Industrials,301.9,35.84253287,20.45
67,67,AMED,2977561088.0,Health Care,93.63,31.42134957,47.27
68,68,WDFC,2221586944.0,Consumer Staples,160.15,39.06614982,13.37
69,69,NNN,6863212544.0,Real Estate,44.61,30.98359896,17.1
70,70,ROST,32920942592.0,Consumer Discretionary,87.43,24.16267993,21.27
71,71,SBUX,70679347200.0,Consumer Discretionary,52.39,21.12783686,80.74
72,72,CL,58147168256.0,Consumer Staples,67.01,22.34000979,7.06
73,73,MTEX,53977528.0,Consumer Staples,19.85,14.99206212,0.0
74,74,IIN,415196704.0,Health Care,58.1,101.9298232,-69.05
75,75,CLH,3198891008.0,Industrials,56.93,109.9656761,36.68
76,76,LCUT,250354560.0,Consumer Discretionary,12.15,32.68184817,-27.33
77,77,ECL,40594829312.0,Materials,140.7,28.94769251,43.38
78,78,GTN,1363741952.0,Communication Services,15.45,15.63399645,14.89
79,79,VNO,13681913856.0,Real Estate,71.92,120.5168551,-10.57
80,80,DOV,12256446464.0,Industrials,82.98,19.05667783,16.71
81,81,CSX,60700729344.0,Industrials,23.56,25.0454628,-0.4
82,82,CTS,1154737792.0,Information Technology,34.9,23.69044151,-9.68
83,83,DXYN,32837754.0,Consumer Discretionary,2.0,0.0,0.0
84,84,RRD,414769984.0,Industrials,5.9,6.254478672,-65.76
85,85,BIIB,67356446720.0,Health Care,334.37,15.37357735,-28.88
86,86,CCK,6080107008.0,Materials,45.27,10.20646497,41.4
87,87,EFX,15111727104.0,Industrials,125.5,29.34050067,10.83
88,88,PKI,8760029184.0,Health Care,79.18,29.57964333,8.76
89,89,HRTX,2884185600.0,Health Care,37.45,0.0,-53.43
90,90,ESE,1612767104.0,Industrials,62.25,29.51763153,34.23
91,91,CDOR,125303480.0,Real Estate,10.55,452.3431817,4.45
