,index,Ticker,Mkt Cap,Sector,Price,P/E
0,0,ESTE,170722880.0,Energy,2.63,23.23753058
1,1,OSK,5361323520.0,Industrials,78.72,14.12377917
2,2,MTZ,2936487168.0,Industrials,39.78,10.03953751
3,3,HLI,3807435776.0,Financials,54.8,19.60247116
4,4,UTMD,296866272.0,Health Care,81.5,24.25595292
5,5,ICAD,210709680.0,Health Care,9.22,0.0
6,6,UFCS,634658304.0,Financials,25.37,0.0
7,7,UTL,647134720.0,Utilities,43.15,20.0697678
8,8,GIII,475242528.0,Consumer Discretionary,9.89,4.401720036
9,9,AMSC,214662416.0,Industrials,9.3,0.0
10,10,AMSWA,534321856.0,Information Technology,16.47,78.42857388
11,11,HFC,4451867648.0,Energy,27.5,13.82162342
12,12,QDEL,11849655296.0,Health Care,282.47,73.9556346
13,13,BKE,792013120.0,Consumer Discretionary,16.03,10.08176127
14,14,XLNX,26227107840.0,Information Technology,107.35,37.11339079
15,15,OLP,341980352.0,Real Estate,16.97,26.98692585
16,16,CNBKA,387749184.0,Financials,69.64,10.91740041
17,17,ONB,2309650944.0,Financials,13.99,10.60762998
18,18,SHYF,663884992.0,Industrials,18.88,15.95111932
19,19,OTTR,1545941760.0,Utilities,38.25,18.04245279
20,20,VMI,2589023744.0,Industrials,121.2,16.2807316
21,21,NTRS,16304057344.0,Financials,78.35,12.44522139
22,22,NATR,185184064.0,Consumer Staples,9.51,21.42886127
23,23,COHU,785272640.0,Information Technology,18.83,0.0
24,24,PRMW,2265089364.0,Consumer Staples,14.17070444,68.02928732
25,25,KEWL,90108592.0,Materials,69.85,83.27472016
26,26,SANM,2011229440.0,Information Technology,29.68,11.65198267
27,27,KRMD,453018080.0,Health Care,10.43,123.4860244
28,28,APEI,430281632.0,Consumer Discretionary,29.11,34.32030249
29,29,STAA,2648492800.0,Health Care,58.19,345.4007013
30,30,ODC,260202192.0,Consumer Staples,34.77,15.45824553
31,31,IONS,8019319296.0,Health Care,57.56,47.42933211
32,32,BIG,1543350528.0,Consumer Discretionary,39.34,9.632135272
33,33,RIG,1253809536.0,Energy,2.04,0.0
34,34,UEIC,640972800.0,Consumer Discretionary,46.07,18.61485627
35,35,DX,355071552.0,Financials,15.45,13.58025659
36,36,NKE,152261000000.0,Consumer Discretionary,97.61,54.2717372
37,37,KBH,3045330688.0,Consumer Discretionary,33.64,9.774585873
38,38,K,23658000384.0,Consumer Staples,68.99,16.88846395
39,39,MRTN,1466969728.0,Industrials,17.74666667,25.88192532
40,40,FNLC,220199232.0,Financials,20.14,8.426778083
41,41,PESI,85309960.0,Industrials,7.03,17.95272502
42,42,J,11104262144.0,Industrials,85.35,19.85926118
43,43,KMT,2235360256.0,Industrials,26.96,18.53888013
44,44,TKR,3427520256.0,Industrials,45.66,9.489329957
45,45,PHM,11692546048.0,Consumer Discretionary,43.6,10.5283441
46,46,JBSS,1017201088.0,Consumer Staples,88.17,18.65508224
47,47,INTU,79892512768.0,Information Technology,306.37,60.32284127
48,48,ORLY,35372761088.0,Consumer Discretionary,477.38,23.40098056
49,49,AFL,25358292992.0,Financials,35.57,7.625668545
50,50,REFR,106169544.0,Information Technology,3.38,0.0
51,51,SNFCA,103289232.0,Financials,5.857142857,0.0
52,52,C,104116000000.0,Financials,50.01,13.62603881
53,53,LMT,105938000000.0,Industrials,378.97,13.61343537
54,54,FUN,1351808000.0,Consumer Discretionary,23.84,9.224920584
55,55,EZPW,314987584.0,Financials,5.72,5.357029111
56,56,ROP,45146324992.0,Industrials,432.45,44.51144453
57,57,AMED,7602393088.0,Health Care,234.16,56.32932732
58,58,WDFC,2685813760.0,Consumer Staples,196.55,54.6989472
59,59,NNN,6096129024.0,Real Estate,35.45,22.65127929
60,60,ROST,31915491328.0,Consumer Discretionary,89.67,34.75581498
61,61,SBUX,89463570432.0,Consumer Discretionary,76.53,56.03535156
62,62,CL,66191294464.0,Consumer Staples,77.2,25.6204756
