Source,Target
0,2720
0,1069
0,1730
0,1820
0,1689
1,1935
1,1815
1,293
1,106
1,2165
2,2303
2,962
2,866
2,912
2,692
3,548
3,2235
3,1749
3,2246
3,305
4,1830
4,324
4,1669
4,1694
4,1590
5,375
5,870
5,401
5,2212
5,352
6,1191
6,461
6,1228
6,559
6,450
7,675
7,923
7,500
7,1953
7,252
8,839
8,1403
8,1534
8,317
8,1514
9,405
9,2044
9,2328
9,601
9,1667
10,1683
10,28
10,1644
10,1035
10,762
11,1971
11,256
11,745
11,1364
11,2329
12,2295
12,1407
12,2647
12,110
12,120
13,2638
13,2632
13,36
13,2353
13,2409
14,296
14,1280
14,1022
14,1769
14,1475
15,2050
15,979
15,2417
15,1321
15,556
16,140
16,1234
16,860
16,10
16,1339
17,1661
17,1925
17,1733
17,385
17,219
18,2411
18,1870
18,2481
18,1306
18,2583
19,360
19,2006
19,2154
19,2600
19,1891
20,66
20,2182
20,625
20,230
20,823
21,566
21,2277
21,689
21,1594
21,1179
22,1129
22,2433
22,2022
22,1898
22,820
23,2497
23,1887
23,503
23,2622
23,1411
24,1700
24,1313
24,2243
24,1569
24,578
25,1127
25,1555
25,1300
25,150
25,240
26,2558
26,1652
26,1572
26,648
26,850
27,2400
27,2189
27,1498
27,66
27,56
28,1683
28,10
28,132
28,762
28,2400
29,1474
29,1417
29,1215
29,686
29,1882
30,2082
30,226
30,2146
30,1541
30,1222
31,1975
31,739
31,1751
31,1315
31,1410
32,1699
32,978
32,2487
32,1480
32,1679
33,872
33,1517
33,2564
33,2663
33,1546
34,1138
34,502
34,837
34,226
34,1434
35,364
35,1985
35,2546
35,1695
35,1423
36,2563
36,1172
36,1386
36,13
36,1491
37,773
37,1389
37,282
37,2703
37,1645
38,451
38,2658
38,2645
38,2602
38,1276
39,1832
39,432
39,1193
39,1754
39,83
40,441
40,1637
40,69
40,2652
40,92
41,957
41,1586
41,1550
41,1893
41,1057
42,2398
42,1997
42,1184
42,695
42,2282
43,1884
43,713
43,1578
43,1249
43,294
44,542
44,1285
44,2631
44,674
44,301
45,136
45,2381
45,699
45,2382
45,897
46,345
46,525
46,653
46,497
46,1311
47,1579
47,1143
47,1050
47,238
47,1667
48,1849
48,1333
48,305
48,1553
48,2597
49,2189
49,66
49,283
49,1323
49,787
50,1637
50,371
50,2660
50,1200
50,2577
51,292
51,254
51,771
51,372
51,215
52,53
52,923
52,1452
52,234
52,837
53,52
53,837
53,802
53,321
53,669
54,2727
54,1457
54,1738
54,124
54,2079
55,428
55,833
55,558
55,802
55,1788
56,27
56,1498
56,2400
56,52
56,1125
57,58
57,1118
57,1584
57,1090
57,149
58,964
58,1965
58,1866
58,174
58,57
59,170
59,2514
59,1372
59,494
59,951
60,2630
60,1842
60,731
60,2672
60,1076
61,966
61,1967
61,1682
61,1192
61,1047
62,280
62,2317
62,2077
62,580
62,1422
63,676
63,366
63,1479
63,517
63,1575
64,1053
64,73
64,1880
64,1312
64,674
65,2446
65,2413
65,154
65,715
65,592
66,2189
66,823
66,49
66,20
66,2182
67,844
67,399
67,973
67,697
67,2359
68,993
68,327
68,1808
68,641
68,1788
69,1273
69,40
69,1766
69,2652
69,1903
70,1993
70,633
70,1145
70,1847
70,339
71,2573
71,500
71,358
71,1308
71,123
72,1311
72,653
72,276
72,1266
72,553
73,301
73,990
73,343
73,1149
73,2071
74,1285
74,1724
74,343
74,1149
74,301
75,2332
75,1008
75,1167
75,347
75,2037
76,1543
76,916
76,1624
76,417
76,2601
77,1604
77,2118
77,2253
77,2643
77,255
78,1569
78,706
78,463
78,1286
78,1831
79,2117
79,1620
79,1716
79,2243
79,1757
80,980
80,345
80,2193
80,363
80,653
81,1984
81,1684
81,2736
81,561
81,614
82,627
82,374
82,71
82,288
82,2573
83,867
83,1239
83,1754
83,1208
83,1193
84,165
84,2198
84,1426
84,1616
84,1943
85,2244
85,1598
85,1543
85,448
85,798
86,2664
86,295
86,2670
86,1029
86,709
87,1914
87,869
87,1306
87,1756
87,265
88,990
88,1149
88,301
88,343
88,674
89,2724
89,2649
89,1916
89,2512
89,1947
90,941
90,1995
90,867
90,1438
90,2254
91,1393
91,1818
91,424
91,890
91,1705
92,810
92,2176
92,1462
92,441
92,583
93,100
93,2137
93,169
93,906
93,1839
94,2472
94,568
94,1763
94,409
94,393
95,2361
95,1523
95,367
95,1758
95,2532
96,1003
96,767
96,2726
96,1902
96,454
97,1481
97,809
97,1207
97,995
97,1159
98,1884
98,1674
98,1249
98,1677
98,258
99,1522
99,585
99,2055
99,2264
99,1933
100,1839
100,93
100,2137
100,485
100,1612
101,1279
101,312
101,1849
101,48
101,305
102,549
102,1564
102,1097
102,999
102,907
103,1217
103,349
103,596
103,412
103,1617
104,1325
104,1030
104,1279
104,1373
104,944
105,1266
105,1190
105,1049
105,790
105,180
106,1
106,1623
106,1628
106,2037
106,1732
107,1402
107,1244
107,1766
107,1828
107,1807
108,2376
108,2668
108,1077
108,2518
108,1014
109,2131
109,2509
109,1244
109,1172
109,1807
110,848
110,1302
110,814
110,1702
110,2639
111,1008
111,420
111,1484
111,1823
111,153
112,1397
112,2234
112,1287
112,1536
112,1797
113,14
113,1959
113,1475
113,1280
113,1091
114,356
114,2011
114,2402
114,2021
114,1959
115,2616
115,1357
115,2279
115,746
115,1752
116,520
116,2721
116,1131
116,2430
116,2535
117,34
117,624
117,502
117,1380
117,1222
118,494
118,299
118,838
118,662
118,236
119,2260
119,2184
119,232
119,2060
119,2644
120,677
120,1582
120,1987
120,1375
120,2222
121,7
121,1385
121,1019
121,279
121,2304
122,570
122,2699
122,2119
122,923
122,1841
123,982
123,1949
123,1668
123,2573
123,7
124,1697
124,490
124,54
124,1911
124,2079
125,1861
125,903
125,1738
125,2727
125,84
126,796
126,927
126,1281
126,1102
126,1703
127,2652
127,1807
127,1244
127,1766
127,1402
128,1620
128,1626
128,806
128,1716
128,2230
129,1531
129,655
129,2588
129,2490
129,1549
130,1353
130,645
130,1739
130,949
130,75
131,1782
131,575
131,487
131,445
131,276
132,28
132,1623
132,1683
132,2695
132,1407
133,2322
133,2320
133,1164
133,2240
133,273
134,1055
134,874
134,2150
134,1495
134,1386
135,2553
135,1451
135,2124
135,509
135,722
136,2381
136,699
136,2539
136,45
136,897
137,1933
137,2655
137,585
137,1974
137,2005
138,1891
138,757
138,1310
138,929
138,1533
139,1234
139,509
139,722
139,1476
139,1781
140,16
140,1233
140,860
140,1629
140,358
141,1452
141,1790
141,1953
141,2053
141,997
142,372
142,2595
142,1815
142,649
142,1431
143,1496
143,574
143,1715
143,297
143,1709
144,1751
144,739
144,1538
144,2700
144,1050
145,1074
145,1494
145,902
145,1446
145,569
146,892
146,2474
146,953
146,2142
146,333
147,1392
147,2419
147,2068
147,2609
147,1878
148,753
148,527
148,108
148,2488
148,2619
149,1438
149,1567
149,1481
149,1866
149,867
150,2389
150,994
150,25
150,761
150,580
151,709
151,295
151,2346
151,1325
151,1039
152,2408
152,1845
152,639
152,1918
152,1498
153,353
153,420
153,111
153,1008
153,950
154,848
154,1931
154,570
154,1933
154,279
155,762
155,1434
155,1998
155,1744
155,997
156,989
156,921
156,1561
156,2584
156,1803
157,2617
157,164
157,2655
157,2141
157,2737
158,2323
158,2668
158,2465
158,873
158,2455
159,2521
159,631
159,820
159,2101
159,2721
160,1969
160,742
160,2002
160,444
160,1504
161,944
161,1028
161,974
161,858
161,1539
162,388
162,248
162,1734
162,1175
162,1378
163,1301
163,1821
163,590
163,1137
163,303
164,157
164,2617
164,1853
164,2737
164,2532
165,84
165,1426
165,1616
165,2198
165,1672
166,1814
166,1789
166,2387
166,2496
166,1283
167,1949
167,2449
167,1714
167,982
167,1668
168,1143
168,769
168,2306
168,417
168,1557
169,906
169,2223
169,93
169,337
169,1205
170,1372
170,582
170,838
170,662
170,482
171,1488
171,703
171,2146
171,460
171,1067
172,2589
172,471
172,808
172,443
172,2679
173,1576
173,718
173,1399
173,2010
173,497
174,1436
174,474
174,1773
174,641
174,2339
175,1344
175,2236
175,935
175,748
175,2410
176,1037
176,536
176,428
176,561
176,1763
177,709
177,1140
177,2604
177,1671
177,2503
178,2264
178,1863
178,2055
178,2708
178,2464
179,1268
179,2034
179,491
179,1793
179,366
180,1266
180,1632
180,1854
180,1770
180,1857
181,267
181,789
181,2694
181,1727
181,889
182,1319
182,400
182,625
182,1889
182,792
183,1178
183,987
183,2715
183,1367
183,2574
184,1656
184,1721
184,1223
184,1577
184,1035
185,1347
185,2681
185,1309
185,2355
185,2656
186,527
186,1076
186,954
186,766
186,873
187,1119
187,1590
187,2145
187,2143
187,2114
188,1109
188,2695
188,1441
188,1279
188,2037
189,492
189,929
189,546
189,1934
189,574
190,1609
190,572
190,1734
190,2014
190,1619
191,1413
191,931
191,833
191,1909
191,1056
192,1014
192,954
192,2386
192,1701
192,654
193,1203
193,1095
193,735
193,300
193,2379
194,2209
194,1074
194,495
194,145
194,316
195,1136
195,431
195,1822
195,1765
195,1044
196,1492
196,1488
196,1541
196,226
196,2146
197,1735
197,1778
197,2318
