,index,Ticker,Mkt Cap,Sector,Price,P/E,Returns
0,0,ESTE,589363264.0,Energy,10.01,0.0,-11.59
1,1,OSK,5151846912.0,Industrials,68.88,21.32164494,2.09
2,2,MTZ,3734294016.0,Industrials,45.15,19.39252276,12.4
3,3,HLI,2342786304.0,Financials,34.9,21.41104301,46.76
4,4,UTMD,269048096.0,Health Care,72.4,21.77476991,52.14
5,5,ICAD,68610960.0,Health Care,4.19,0.0,-27.21
6,6,UFCS,1110567808.0,Financials,44.06,27.05318061,23.72
7,7,UTL,681595392.0,Utilities,48.31,23.6813723,5.65
8,8,GIII,1214104832.0,Consumer Discretionary,24.95,20.77141461,77.96
9,9,AMSC,88665448.0,Industrials,4.62,0.0,51.52
10,10,AMSWA,303251232.0,Information Technology,10.29,48.81311539,41.59
11,11,VOC,72556000.0,Energy,4.268,13.33749983,24.41
12,12,HFC,4871923712.0,Energy,27.47,19.60398108,149.11
13,13,QDEL,901206528.0,Health Care,27.14,179.7672303,145.03
14,14,TESS,111215608.0,Information Technology,13.3,55.00754695,30.08
15,15,BKE,869504256.0,Consumer Discretionary,17.8,9.46808513,51.12
16,16,PMD,136232496.0,Health Care,24.95,16.744966,-22.89
17,17,NRT,62128388.0,Energy,6.76,11.08196709,19.67
18,18,XLNX,15956082688.0,Information Technology,64.32,27.82657975,1.46
19,19,DCTH,73756800.0,Health Care,16907209.59,0.0,0.0
20,20,OLP,432331712.0,Real Estate,23.43,29.53180113,12.72
21,21,CNBKA,354119008.0,Financials,63.6,17.33893225,20.13
22,22,ONB,2336253696.0,Financials,17.25,15.67819753,7.83
23,23,OTTR,1564340096.0,Utilities,39.6,23.15789462,20.2
24,24,ARCW,51225812.0,Industrials,2.819,0.0,-13.09
25,25,BLGO,42636860.0,Materials,0.4305,0.0,0.91
26,26,VMI,3378658048.0,Industrials,149.6,20.15950271,0.77
27,27,ASRV,77475456.0,Financials,4.15,16.55219735,-1.2
28,28,NTRS,22318049280.0,Financials,97.21,22.26004053,5.84
29,29,ARKR,83069056.0,Consumer Discretionary,24.25,17.49736478,2.85
30,30,NATR,249942720.0,Consumer Staples,13.25,42.93584017,-29.43
31,31,MUX,820221056.0,Materials,2.63,0.0,-21.29
32,32,COHU,430184352.0,Information Technology,15.74,30.21008869,55.72
33,33,KEWL,135453152.0,Materials,105.0,894.6068408,-3.33
34,34,SANM,2877874944.0,Information Technology,38.1,16.38086821,-23.1
35,35,APEI,383933216.0,Consumer Discretionary,23.65,13.14902107,78.01
36,36,STAA,442276384.0,Health Care,10.8,0.0,187.04
37,37,ODC,306528768.0,Consumer Staples,42.01,20.54828333,0.31
38,38,NAII,69036600.0,Consumer Staples,9.95,8.17994886,2.01
39,39,IONS,6306127872.0,Health Care,50.87,0.0,-18.09
40,40,BIG,2135463040.0,Consumer Discretionary,48.3,12.12652527,-13.5
41,41,IDRA,256535216.0,Health Care,13.76,0.0,-23.26
42,42,MBOT,45619392.0,Health Care,21.2998935,0.0,-47.89
43,43,RIG,3218303744.0,Energy,8.23,7.805453792,63.3
44,44,UEIC,964838208.0,Consumer Discretionary,66.85,37.00413272,-50.56
45,45,DX,349353888.0,Financials,21.3000213,8.927715884,-8.03
46,46,NKE,97395228672.0,Consumer Discretionary,59.0,23.50597618,35.05
47,47,KBH,2044004352.0,Consumer Discretionary,23.97,15.57477544,13.64
48,48,K,24330287104.0,Consumer Staples,69.46,17.5142434,0.59
49,49,MRTN,895649920.0,Industrials,10.95999781,33.53950082,42.64
50,50,SDG,206113669.4,Consumer Discretionary,2.907288,19.09179382,-49.4
51,51,FNLC,292713984.0,Financials,27.06,16.10714279,4.29
52,52,PESI,42698968.0,Industrials,3.65,0.0,23.29
53,53,J,6549908480.0,Industrials,54.39,17.71104527,16.73
54,54,KMT,3014338048.0,Industrials,37.42,26.16188571,-4.06
55,55,TKR,3607197696.0,Industrials,46.25,22.61691064,-5.84
56,56,PHM,7739310592.0,Consumer Discretionary,24.53,11.70797548,17.2
57,57,JBSS,711954432.0,Consumer Staples,63.11,19.63003088,17.97
58,58,INTU,34028169216.0,Information Technology,132.81,38.86573366,53.83
59,59,ORLY,19906439168.0,Consumer Discretionary,218.74,19.93983586,25.07
60,60,AFL,30827042816.0,Financials,38.84,11.47256771,10.76
61,61,REFR,31016562.0,Information Technology,1.29,0.0,0.0
