,index,Ticker,Mkt Cap,Sector,Price,P/E
0,0,ESTE,184354752.0,Energy,2.84,25.09299881
1,1,OSK,4875224064.0,Industrials,71.62,10.21415052
2,2,MTZ,3309266432.0,Industrials,44.87,9.152856082
3,3,HLI,3801082880.0,Financials,55.64,19.21780387
4,4,UTMD,322792224.0,Health Care,88.62,22.48667894
5,5,ICAD,228306912.0,Health Care,9.99,0.0
6,6,UFCS,693195968.0,Financials,27.71,0.0
7,7,UTL,670474112.0,Utilities,44.82,20.28054318
8,8,GIII,638622144.0,Consumer Discretionary,13.29,5.914950382
9,9,AMSC,187656496.0,Industrials,8.13,0.0
10,10,AMSWA,507315264.0,Information Technology,15.76,75.04762139
11,11,HFC,4727073792.0,Energy,29.2,14.67605105
12,12,QDEL,9396856832.0,Health Care,223.74,96.03889876
13,13,BKE,774720256.0,Consumer Discretionary,15.68,9.861635475
14,14,XLNX,23927894016.0,Information Technology,98.39,30.50054586
15,15,OLP,355079200.0,Real Estate,17.62,28.02060303
16,16,CNBKA,432737888.0,Financials,77.72,13.33479753
17,17,ONB,2271899904.0,Financials,13.76,10.15266644
18,18,SHYF,592151616.0,Industrials,16.84,14.22758736
19,19,OTTR,1567766912.0,Utilities,38.79,18.29716977
20,20,VMI,2426534400.0,Industrials,113.62,14.97351263
21,21,NTRS,16506848256.0,Financials,79.34,12.0475176
22,22,NATR,175447776.0,Consumer Staples,9.01,20.30221242
23,23,MUX,404402400.0,Materials,1.01,0.0
24,24,COHU,723134784.0,Information Technology,17.34,0.0
25,25,PRMW,2187042422.0,Consumer Staples,13.68243243,65.68524038
26,26,KEWL,78949840.0,Materials,61.2,72.96224587
27,27,SANM,1707920128.0,Information Technology,25.04,10.67870325
28,28,KRMD,390038560.0,Health Care,8.98,106.3187439
29,29,APEI,437524448.0,Consumer Discretionary,29.6,34.89800597
30,30,STAA,2800966656.0,Health Care,61.54,365.2854298
31,31,ODC,259678352.0,Consumer Staples,34.7,15.42712453
32,32,IONS,8214368768.0,Health Care,58.96,48.58292949
33,33,BIG,1647705216.0,Consumer Discretionary,42.0,10.28341844
34,34,RIG,1124676480.0,Energy,1.83,0.0
35,35,UEIC,651407552.0,Consumer Discretionary,46.82,18.91789821
36,36,DX,328642272.0,Financials,14.3,13.44688914
37,37,NKE,152471000000.0,Consumer Discretionary,98.05,54.5163798
38,38,KBH,2774951680.0,Consumer Discretionary,30.68,8.914515297
39,39,K,22636781568.0,Consumer Staples,66.06,17.21565115
40,40,MRTN,1380282496.0,Industrials,16.77333333,25.38678069
41,41,FNLC,237094368.0,Financials,21.7,9.117647077
42,42,PESI,77543472.0,Industrials,6.39,16.31833753
43,43,J,11032706048.0,Industrials,84.8,19.73128703
44,44,KMT,2380459776.0,Industrials,28.71,19.742257
45,45,TKR,3414759168.0,Industrials,45.49,9.453999556
46,46,PHM,9125093376.0,Consumer Discretionary,34.03,8.828495097
47,47,JBSS,984436480.0,Consumer Staples,85.33,18.05419267
48,48,INTU,77237862400.0,Information Technology,296.19,58.31844618
49,49,ORLY,31298727936.0,Consumer Discretionary,421.67,23.67602446
50,50,AFL,25851809792.0,Financials,36.03,7.965909388
51,51,REFR,127529096.0,Information Technology,4.06,0.0
52,52,SNFCA,110560224.0,Financials,6.267131243,0.0
