Source,Target
0,138
0,2864
0,2653
0,1092
0,2358
1,1972
1,2026
1,258
1,1466
1,301
2,971
2,1369
2,223
2,258
2,981
3,204
3,915
3,1205
3,2356
3,1266
4,1633
4,975
4,1722
4,2813
4,2608
5,1122
5,2422
5,757
5,2633
5,2690
6,609
6,1425
6,1326
6,474
6,2262
7,516
7,588
7,1014
7,943
7,694
8,2336
8,2848
8,356
8,960
8,382
9,1354
9,452
9,889
9,48
9,217
10,1699
10,2438
10,844
10,1519
10,1839
11,17
11,954
11,1997
11,260
11,888
12,2333
12,122
12,605
12,1526
12,135
13,2052
13,206
13,1578
13,1978
13,2553
14,2663
14,287
14,849
14,2691
14,2287
15,574
15,2087
15,2535
15,2465
15,142
16,143
16,1844
16,10
16,1651
16,2251
17,275
17,954
17,1997
17,1286
17,11
18,1435
18,395
18,1570
18,1784
18,2181
19,2534
19,888
19,260
19,2008
19,2459
20,1624
20,370
20,2656
20,2042
20,980
21,477
21,1891
21,1854
21,235
21,2221
22,1839
22,1257
22,2314
22,102
22,1473
23,2180
23,1654
23,139
23,1752
23,1134
24,1921
24,92
24,1057
24,519
24,674
25,2015
25,1657
25,2168
25,1187
25,1469
26,1571
26,1497
26,485
26,262
26,1137
27,2610
27,1680
27,1671
27,870
27,1011
28,315
28,1156
28,694
28,943
28,983
29,76
29,1156
29,627
29,28
29,1570
30,1396
30,2007
30,2364
30,2102
30,573
31,1182
31,1090
31,1515
31,662
31,1245
32,2523
32,1433
32,1847
32,2250
32,390
33,595
33,2382
33,1575
33,2045
33,1378
34,942
34,910
34,2398
34,2814
34,2468
35,755
35,2715
35,2559
35,2555
35,361
36,118
36,322
36,856
36,54
36,1755
37,969
37,1541
37,1650
37,1102
37,1769
38,2394
38,2666
38,2708
38,2506
38,454
39,1790
39,2839
39,1441
39,1415
39,643
40,2750
40,2751
40,2443
40,1100
40,2573
41,1803
41,179
41,1508
41,668
41,1033
42,2682
42,1936
42,1468
42,1557
42,1639
43,2033
43,2320
43,2074
43,2445
43,1361
44,1903
44,1655
44,1451
44,1491
44,467
45,1310
45,74
45,1013
45,279
45,309
46,139
46,1151
46,718
46,2425
46,2076
47,626
47,540
47,1337
47,672
47,1754
48,937
48,217
48,631
48,1073
48,889
49,2215
49,1882
49,1771
49,2078
49,478
50,1061
50,591
50,2228
50,1177
50,644
51,2469
51,361
51,2756
51,1283
51,433
52,258
52,1
52,223
52,146
52,2
53,322
53,54
53,520
53,688
53,232
54,951
54,53
54,1389
54,576
54,329
55,922
55,2872
55,505
55,1768
