,index,Ticker,Mkt Cap,Sector,Price,P/E,Returns
0,0,ESTE,454322016.0,Energy,7.08,39.13440055,-75.14
1,1,OSK,5262606848.0,Industrials,75.13,10.5148571,-14.38
2,2,MTZ,3656936192.0,Industrials,48.1,12.89235616,-31.95
3,3,HLI,2999169280.0,Financials,45.85,19.49586283,13.68
4,4,UTMD,328520320.0,Health Care,88.25,18.17657991,6.57
5,5,ICAD,89106328.0,Health Care,5.17,0.0,41.97
6,6,UFCS,1097659008.0,Financials,43.71,58.78002376,-25.39
7,7,UTL,807774208.0,Utilities,54.17,24.29147961,-3.42
8,8,GIII,1946388096.0,Consumer Discretionary,39.96,13.9001748,-80.73
9,9,AMSC,275433184.0,Industrials,12.86,0.0,-57.39
10,10,AMSWA,371941632.0,Information Technology,11.95,62.89473763,18.91
11,11,VOC,96857504.0,Energy,5.6975,8.02464813,0.0
12,12,HFC,8413610496.0,Energy,49.27,8.211661446,-50.25
13,13,QDEL,2582573312.0,Health Care,65.47,33.26320343,49.4
14,14,TESS,131006640.0,Information Technology,15.48,21.20547976,0.0
15,15,BKE,917605632.0,Consumer Discretionary,18.72,9.502537933,-26.76
16,16,PMD,77266888.0,Health Care,14.03,16.88621937,0.0
17,17,NRT,63231260.0,Energy,6.88,9.195045939,0.0
18,18,XLNX,32098650112.0,Information Technology,126.79,39.90643332,-38.53
19,19,OLP,568087360.0,Real Estate,29.0,37.85490596,-51.97
20,20,CNBKA,406457344.0,Financials,73.0,15.17459576,-14.74
21,21,ONB,2877881600.0,Financials,16.4,12.50618692,-19.57
22,22,OTTR,1979334016.0,Utilities,49.82,24.18446669,-10.76
23,23,VMI,2855949568.0,Industrials,130.1,17.90017355,-18.54
24,24,ASRV,70779488.0,Financials,4.02,9.348837054,0.0
25,25,NTRS,19754416128.0,Financials,90.41,13.67526579,-16.54
26,26,ARKR,67760512.0,Consumer Discretionary,19.49,15.85127619,0.0
27,27,NATR,179048720.0,Consumer Staples,9.29,0.0,-12.49
