,index,Ticker,Mkt Cap,Sector,Price,P/E
0,0,ESTE,113925008.0,Energy,1.76,0.902216658
1,1,OSK,4394367488.0,Industrials,64.33,8.350952254
2,2,MTZ,2506598144.0,Industrials,32.73,6.616637982
3,3,HLI,3417289984.0,Financials,52.12,18.5592777
4,4,UTMD,347743392.0,Health Care,94.05,23.82966756
5,5,ICAD,155368160.0,Health Care,7.34,0.0
6,6,UFCS,816918656.0,Financials,32.61,0.0
7,7,UTL,781188224.0,Utilities,52.32,17.61616145
8,8,GIII,369671968.0,Consumer Discretionary,7.7,2.381812636
9,9,AMSC,123609832.0,Industrials,5.48,0.0
10,10,AMSWA,457420672.0,Information Technology,14.21,56.84
11,11,HFC,3967766784.0,Energy,24.51,4.536969797
12,12,QDEL,4096281344.0,Health Care,97.81,49.17291965
13,13,BKE,674609856.0,Consumer Discretionary,13.71,6.406541742
14,14,XLNX,19394322432.0,Information Technology,77.94,22.72411204
15,15,OLP,279737824.0,Real Estate,13.93,21.34731824
16,16,CNBKA,346546656.0,Financials,62.24,8.729312623
17,17,ONB,2229242112.0,Financials,13.19,9.371565104
18,18,OTTR,1789400192.0,Utilities,44.46,20.48847854
19,19,VMI,2281104640.0,Industrials,105.98,15.69489553
20,20,NTRS,15791275008.0,Financials,75.46,11.39230173
21,21,NATR,158316304.0,Consumer Staples,8.13,19.0015866
22,22,MUX,264583280.0,Materials,0.6608,0.0
23,23,COHU,513291552.0,Information Technology,12.38,0.0
24,24,PRMW,1406719293.0,Consumer Staples,9.001832793,45.50103159
25,25,SANM,1927184128.0,Information Technology,27.28,9.455025921
26,26,KRMD,297650592.0,Health Care,7.5,87.93322116
27,27,APEI,357194752.0,Consumer Discretionary,23.93,21.7876439
28,28,STAA,1450505856.0,Health Care,32.26,141.3393472
29,29,ODC,254548496.0,Consumer Staples,33.44,14.01816647
30,30,IONS,6582311936.0,Health Care,47.28,21.48211088
31,31,BIG,555188160.0,Consumer Discretionary,14.22,268.854809
32,32,RIG,710589248.0,Energy,1.16,0.0
33,33,UEIC,537755200.0,Consumer Discretionary,38.37,15.24392721
34,34,DX,239556160.0,Financials,10.44,9.109788224
35,35,NKE,128857000000.0,Consumer Discretionary,82.74,28.44724286
36,36,KBH,1630822656.0,Consumer Discretionary,18.1,5.320928429
37,37,K,20546492416.0,Consumer Staples,59.99,15.70251092
38,38,MRTN,1125329408.0,Industrials,13.68,20.82024852
39,39,FNLC,240256944.0,Financials,22.0,9.290524519
40,40,J,10546884608.0,Industrials,79.27,14.01090973
41,41,KMT,1543562112.0,Industrials,18.62,9.582852534
42,42,TKR,2451805952.0,Industrials,32.34,6.484544439
43,43,PHM,6014794752.0,Consumer Discretionary,22.32,6.154558841
44,44,JBSS,1020851072.0,Consumer Staples,89.4,19.81997502
45,45,INTU,59912577024.0,Information Technology,230.0,37.16151788
46,46,ORLY,22353432576.0,Consumer Discretionary,301.05,16.83724911
47,47,AFL,24738793472.0,Financials,34.24,7.736137967
48,48,C,88376508416.0,Financials,42.12,4.917772833
49,49,LMT,95539290112.0,Industrials,338.95,13.35948116
50,50,FUN,1039317760.0,Consumer Discretionary,18.34,5.335319353
51,51,FKYS,93128488.0,Financials,16.01,9.045197838
52,52,EZPW,231941072.0,Financials,4.17,3.827819696
53,53,ROP,33086054400.0,Industrials,311.81,30.23784654
54,54,AMED,5930908672.0,Health Care,183.54,43.30236235
55,55,WDFC,2752993792.0,Consumer Staples,200.85,51.02921083
56,56,NNN,5535486976.0,Real Estate,32.19,20.67242172
57,57,ROST,30952345600.0,Consumer Discretionary,86.97,18.90652213
58,58,SBUX,77159038976.0,Consumer Discretionary,65.74,22.61753808
59,59,CL,56900198400.0,Consumer Staples,66.36,23.40926553
60,60,IIN,103730360.0,Health Care,11.77,113.1034719
61,61,NOBH,80244440.0,Consumer Discretionary,22.1,12.27661158
62,62,CLH,2866299904.0,Industrials,51.34,25.30862994
63,63,LCUT,120086480.0,Consumer Discretionary,5.65,45.33637217
64,64,ECL,45060775936.0,Materials,155.83,26.80680141
65,65,GTN,1079616256.0,Communication Services,10.74,7.490474946
66,66,VNO,6915591168.0,Real Estate,36.21,0.0
67,67,DOV,12094410752.0,Industrials,83.94,16.05901052
68,68,CSX,44161748992.0,Industrials,19.1,14.31266927
69,69,CTS,807822656.0,Information Technology,24.89,17.79767869
70,70,BIIB,55070371840.0,Health Care,316.38,10.03854501
71,71,CCK,7875846144.0,Materials,58.04,14.48110721
72,72,EFX,14481606656.0,Industrials,119.45,25.81559019
73,73,PKI,8378996224.0,Health Care,75.28,27.40256491
74,74,HRTX,1060994112.0,Health Care,11.74,0.0
75,75,ESE,1972827136.0,Industrials,75.91,27.10771263
76,76,MRK,195141000000.0,Health Care,73.36429044,14.15833022
77,77,DY,810165568.0,Industrials,25.65,21.43190276
78,78,MDP,554059584.0,Communication Services,12.22,3.61454403
79,79,VMC,14325250048.0,Materials,108.07,23.51452431
80,80,TCBK,907509952.0,Financials,29.82,9.947009517
81,81,IDXX,20644888576.0,Health Care,242.24,49.44950027
82,82,KO,189983000000.0,Consumer Staples,44.25,20.79238596
83,83,OXM,607369600.0,Consumer Discretionary,36.26,8.466141607
84,84,PCG,4757993984.0,Utilities,8.99,2.332540348
85,85,BANF,1091051392.0,Financials,33.37,8.09086981
86,86,PTEN,451556640.0,Energy,2.35,0.0
87,87,REGN,53721571328.0,Health Care,488.29,22.82105507
88,88,TELL,230912592.0,Energy,0.9039,0.0
