,index,Ticker,Mkt Cap,Sector,Price,P/E,Returns
0,0,ESTE,233220896.0,Energy,13.3,0.0,-21.43
1,1,OSK,3368265984.0,Industrials,45.91,16.9954578,37.49
2,2,MTZ,1891826560.0,Industrials,23.0,224.901457,84.35
3,3,HLI,1577573760.0,Financials,24.15,19.19863352,39.01
4,4,UTMD,245934640.0,Health Care,65.44,19.9053099,2.69
5,5,ICAD,96487088.0,Health Care,6.07,0.0,-23.72
6,6,UFCS,1043628672.0,Financials,41.17,12.27615498,5.05
7,7,UTL,556413696.0,Utilities,39.62,24.12272111,20.09
8,8,GIII,1782470272.0,Consumer Discretionary,39.12,16.02837303,-49.97
9,9,AMSC,137227824.0,Industrials,9.77,0.0,-57.83
10,10,AMSWA,278101600.0,Information Technology,9.64,29.76649943,11.41
11,11,VOC,55420000.0,Energy,3.26,7.855421704,33.44
12,12,HFC,4723656704.0,Energy,26.76,9.588658791,-10.69
13,13,QDEL,537047680.0,Health Care,16.61,0.0,49.43
14,14,TESS,107881432.0,Information Technology,13.04,18.45626945,6.6
15,15,BKE,1202451584.0,Consumer Discretionary,24.73,8.707746468,-31.26
16,16,PMD,75427544.0,Health Care,13.91,60.47825928,48.74
17,17,XLNX,12110036992.0,Information Technology,47.39,23.12717096,40.77
18,18,OLP,388589216.0,Real Estate,22.66,25.19846817,-1.59
19,19,CNBKA,237861072.0,Financials,42.72,12.64305173,39.86
20,20,ONB,1504872320.0,Financials,13.16,13.00743614,20.06
21,21,OTTR,1127481600.0,Utilities,29.58,18.75417273,35.06
22,22,ARCW,41913984.0,Industrials,2.23,0.0,56.95
23,23,BLGO,29417564.0,Materials,0.341,0.0,26.1
24,24,VMI,3137970688.0,Industrials,138.32,23.62357067,5.84
25,25,ASRV,60658968.0,Financials,3.21,18.89202065,30.84
26,26,NTRS,16906931200.0,Financials,74.1,18.35832026,18.0
27,27,ARKR,69012008.0,Consumer Discretionary,20.19,14.46275066,0.0
28,28,NATR,184194080.0,Consumer Staples,9.84,15.82919938,28.56
