Source,Target
0,2746
0,2629
0,2598
0,2666
0,1735
1,1294
1,244
1,31
1,1559
1,1382
2,2039
2,1486
2,1507
2,1368
2,1307
3,1201
3,1696
3,1571
3,2258
3,2270
4,393
4,2682
4,481
4,1086
4,1123
5,637
5,1928
5,359
5,2539
5,769
6,1271
6,2102
6,178
6,707
6,1819
7,254
7,649
7,449
7,292
7,896
8,913
8,2152
8,1744
8,1351
8,1006
9,1414
9,45
9,2866
9,1745
9,1330
10,855
10,1803
10,1373
10,1168
10,794
11,1797
11,17
11,1893
11,2462
11,181
12,375
12,1865
12,2614
12,1849
12,704
13,2875
13,1738
13,1695
13,881
13,1200
14,621
14,2107
14,1521
14,823
14,2155
15,2200
15,1737
15,1558
15,563
15,157
16,794
16,701
16,2225
16,1062
16,2408
17,1797
17,11
17,2462
17,1396
17,434
18,506
18,2021
18,1390
18,2833
18,2032
19,1799
19,2364
19,2433
19,246
19,2864
20,1192
20,2563
20,1834
20,630
20,206
21,936
21,951
21,426
21,442
21,238
22,1682
22,571
22,706
22,394
22,1010
23,2167
23,1264
23,1912
23,2661
23,925
24,580
24,1410
24,1576
24,437
24,221
25,2515
25,963
25,1583
25,819
25,1570
26,649
26,478
26,242
26,896
26,1766
27,694
27,1349
27,2260
27,2863
27,2472
28,47
28,2074
28,2895
28,748
28,1408
29,2803
29,309
29,538
29,2141
29,800
30,1534
30,228
30,1730
30,2824
30,2971
31,927
31,244
31,1559
31,209
31,1294
32,1522
32,868
32,2461
32,398
32,2717
33,2301
33,939
33,1700
33,1352
33,2387
34,1398
34,70
34,1940
34,1674
34,839
35,188
35,2053
35,1626
35,1016
35,1270
36,1081
36,55
36,2898
36,2354
36,2410
37,904
37,1361
37,1099
37,1835
37,1599
38,2448
38,2604
38,2915
38,2523
38,2271
39,2490
39,2182
39,1733
39,1287
39,2525
40,2837
40,1988
40,632
40,1113
40,912
41,1918
41,669
41,2347
41,1220
41,2159
42,338
42,1238
42,295
42,1911
42,265
43,130
43,2327
43,88
43,410
43,1075
44,1194
44,475
44,1785
44,2131
44,1930
45,1626
45,857
45,1481
45,738
45,1330
46,1786
46,442
46,2096
46,1850
46,1923
47,28
47,978
47,1408
47,1402
47,2603
48,777
48,1348
48,616
48,314
48,494
49,429
49,643
49,800
49,1960
49,1719
50,1734
50,2996
50,187
50,366
50,1490
51,1919
51,1845
51,997
51,2797
51,351
52,2098
52,941
52,1059
52,744
52,709
53,2366
53,2016
53,531
53,870
53,1959
54,472
54,636
54,112
54,560
54,293
55,2898
55,2870
55,2354
55,2593
55,2677
56,1889
56,1191
56,1017
56,2022
56,2125
57,2578
57,1754
57,206
57,2304
57,2501
58,697
58,1419
58,495
58,906
58,1747
59,1810
59,1023
59,1539
59,877
59,2686
60,150
60,2365
60,356
60,2148
60,1901
61,1736
61,2108
61,1072
61,1675
61,1044
62,2673
62,2038
62,322
62,2069
62,453
63,2558
63,3022
63,92
63,2613
63,640
64,887
64,1493
64,1546
64,2638
64,1200
65,1200
65,2581
65,1924
65,2040
65,2436
66,817
66,317
66,1456
66,790
66,534
67,955
67,2069
67,73
67,342
67,1711
68,2902
68,338
68,965
68,42
68,1119
69,1318
69,960
69,339
69,525
69,715
70,839
70,1398
70,34
70,1669
70,1353
71,1239
71,984
71,360
71,860
71,2550
72,1371
72,893
72,556
72,2737
72,1746
73,67
73,342
73,955
73,1711
73,627
74,2635
74,1371
74,2088
74,1642
74,2643
75,1304
75,1932
75,202
75,2029
75,2226
76,2164
76,834
76,1299
76,1388
76,2762
77,1119
77,160
77,2128
77,525
77,1512
78,314
78,455
78,217
78,1472
78,1677
79,1838
79,268
79,1670
79,977
79,2636
80,1950
80,965
80,877
80,338
80,265
81,3017
81,1866
81,2575
81,1785
81,2131
82,2254
82,2958
82,2999
82,2893
82,2867
83,667
83,2062
83,255
83,1658
83,663
84,2507
84,398
84,2461
84,2296
84,1937
85,837
85,1008
85,1482
85,1172
85,2107
86,230
86,109
86,1125
86,2484
86,886
87,463
87,93
87,1768
87,1547
87,843
88,1906
88,2803
88,2186
88,3014
88,783
89,2418
89,2830
89,1722
89,2692
89,950
90,968
90,407
90,1421
90,378
90,491
91,1752
91,2236
91,450
91,413
91,1327
92,2787
92,1296
92,2910
92,2060
92,1247
93,87
93,2056
93,2116
93,332
93,1768
94,184
94,258
94,982
94,2896
94,2694
95,2594
95,1385
95,3002
95,2977
95,417
96,277
96,1605
96,343
96,1327
96,573
97,1277
97,2267
97,2161
97,1464
97,1393
98,324
98,1563
98,1154
98,2601
98,1221
99,529
99,1577
99,2211
99,1657
99,2125
100,149
100,572
100,1277
100,1384
100,2267
101,237
101,2999
101,82
101,2958
101,2254
102,2903
102,597
102,1962
102,2922
102,2968
103,2960
103,642
103,2994
103,2678
103,1461
104,66
104,511
104,1885
104,817
104,1456
105,1848
105,927
105,1957
105,153
105,924
106,679
106,1260
106,189
106,2080
106,1003
107,2091
107,793
107,738
107,1968
107,2990
108,1323
108,393
108,4
108,2524
108,2171
109,1491
109,1190
109,2484
109,1425
109,1125
110,2925
110,957
110,2117
110,1265
110,1394
111,823
111,315
111,535
111,14
111,1105
112,472
112,293
112,54
112,636
112,560
113,839
113,2739
113,70
113,2889
113,34
114,563
114,323
114,1558
114,2119
114,944
115,2088
115,2034
115,2590
115,565
115,2372
116,2499
116,2626
116,2359
116,317
116,534
117,2000
117,468
117,3021
117,2098
117,1628
118,508
118,160
118,1689
118,2128
118,1550
119,1773
119,186
119,763
119,550
119,1447
120,2547
120,2760
120,753
120,2845
120,2459
121,1200
121,2293
121,65
121,2822
121,1452
122,925
122,129
122,1631
122,376
122,415
123,685
123,2616
123,2222
123,850
123,2092
124,1358
124,2393
124,2768
124,1303
124,2904
125,2162
125,1219
125,465
125,1791
125,170
126,1024
126,2694
126,1970
126,1166
126,341
127,528
127,2636
127,1283
127,2720
127,2049
128,2901
128,2988
128,1244
128,1703
128,2621
129,122
129,289
129,415
129,925
129,1366
130,43
130,2327
130,2328
130,88
130,674
131,2505
131,1826
131,903
131,292
131,1064
132,1275
132,1944
132,1834
132,191
132,1206
133,2167
133,23
133,415
133,363
133,1675
134,958
134,2646
134,641
134,2966
134,1115
135,1517
135,1232
135,1929
135,345
135,1892
136,1435
136,768
136,2047
136,2073
136,159
137,2555
137,316
137,1492
137,2573
137,1671
138,727
138,1913
138,900
138,961
138,1033
139,1658
139,172
139,1097
139,1044
139,2544
140,2924
140,190
140,1389
140,321
140,2193
141,888
141,1407
141,2849
141,734
141,2570
142,2599
142,1309
142,1706
142,128
142,2342
143,1637
143,781
143,2887
143,1246
143,1763
144,834
144,1388
144,668
144,76
144,2762
145,421
145,1795
145,1649
145,969
145,775
146,1943
146,706
146,2618
146,443
146,2573
147,1280
147,2326
147,2412
147,908
147,2757
148,1614
148,1588
148,1970
148,533
148,737
149,572
149,100
149,1384
149,1277
149,2267
150,60
150,356
150,2365
150,2148
150,197
151,2895
151,1626
151,1564
151,2760
151,45
152,1283
152,1671
152,2049
152,2636
152,576
153,608
153,924
153,1336
153,105
153,1980
154,195
154,2858
154,798
154,2257
154,2648
155,783
155,2678
155,2343
155,1581
155,1942
156,238
156,1252
156,1821
156,374
156,1617
157,1273
157,2556
157,3030
157,2200
157,2339
158,1379
158,1814
158,762
158,2105
158,711
159,2073
159,1435
159,2047
159,136
159,768
160,77
160,2128
160,2109
160,2000
160,1119
161,2760
161,958
161,1241
161,2715
161,2214
162,1871
162,2626
162,1843
162,2499
162,403
163,650
163,897
163,2056
163,877
163,332
164,1321
164,1510
164,460
164,54
164,1573
165,1233
165,540
165,1741
165,639
165,571
166,439
166,2005
166,1927
166,1662
166,1136
167,1169
167,2954
167,2170
167,1203
167,742
168,475
168,1347
168,1145
168,920
168,1514
169,3013
169,2250
169,2234
169,699
169,1664
170,322
170,1152
170,2762
170,453
170,213
171,647
171,119
171,1013
171,2510
171,1708
172,1044
172,139
172,449
172,2424
172,1859
173,71
173,2839
173,1433
173,1541
173,2458
174,864
174,401
174,2162
174,1672
174,1719
175,1223
175,1954
175,495
175,469
175,1904
176,1563
176,579
176,342
176,1698
176,1372
177,2825
177,2952
177,1331
177,2975
177,2693
178,767
178,1809
178,1627
178,2102
178,1979
179,2324
179,1634
179,656
179,1830
179,833
180,1273
180,390
180,2517
180,1732
180,1585
181,11
181,1797
181,1893
181,2462
181,434
182,735
182,1760
182,1179
182,2041
182,2583
183,1086
183,1526
183,2020
183,1423
183,496
184,94
184,258
184,2896
184,2694
184,2963
185,1806
185,1018
185,718
185,900
185,961
186,1773
186,550
186,763
186,1443
186,731
187,49
187,1801
187,1822
187,1734
187,574
188,35
188,2053
188,2352
188,1016
188,2838
189,1003
189,106
189,3024
189,2080
189,2728
190,1855
190,790
190,3024
190,321
190,311
191,1275
191,1951
191,247
191,725
191,1370
192,1432
192,1903
192,701
192,1136
192,1373
193,2233
193,2238
193,422
193,1089
193,1201
194,2884
194,2503
194,532
194,2817
194,1227
195,710
195,1700
195,30
195,2262
195,2844
196,1108
196,1058
196,1187
196,1876
196,319
197,1901
197,356
197,1046
197,355
197,2140
198,1290
198,1403
198,454
198,496
198,660
199,2079
199,696
199,1008
199,296
199,85
200,1857
200,1049
200,1703
200,1976
200,871
201,2381
201,795
201,1835
201,2173
201,1099
202,2226
202,1304
202,2029
202,2192
202,1560
203,473
203,2029
203,474
203,790
203,283
204,2409
204,935
204,2992
204,670
204,2603
205,562
205,1109
205,617
205,2651
205,1815
206,2578
206,2252
206,1192
206,2304
206,2231
207,2040
207,2822
207,276
207,2494
207,2107
208,1453
208,2097
208,2149
208,1900
208,1168
209,244
209,1475
209,2694
209,31
209,1294
210,2683
210,387
210,839
210,113
210,1680
211,2489
211,620
211,944
211,2313
211,323
212,1110
212,1597
212,1712
212,1113
212,370
213,453
213,1612
213,968
213,322
213,285
214,427
214,2488
214,1643
214,252
214,2613
215,1242
215,2471
215,1381
215,603
215,788
216,1170
216,2791
216,1186
216,2151
216,691
217,314
217,78
217,2165
217,2155
217,1565
218,1915
218,1544
218,1538
218,2549
218,1196
219,1090
219,1474
219,310
219,2749
219,296
220,2823
220,969
220,2227
220,145
220,736
221,1923
221,437
221,1439
221,1850
221,1095
222,304
222,491
222,2145
222,1002
222,1647
223,245
223,1704
223,2640
223,2852
223,2649
224,625
224,1525
224,1579
224,2183
224,2055
