,index,Ticker,Mkt Cap,Sector,Price,P/E
0,0,ESTE,193442656.0,Energy,2.98,26.32997762
1,1,OSK,4888838144.0,Industrials,71.82,10.2426737
2,2,MTZ,2887403264.0,Industrials,39.15,7.986055619
3,3,HLI,4131730688.0,Financials,60.48,20.88951793
4,4,UTMD,362349024.0,Health Care,99.48,25.24232476
5,5,ICAD,268300624.0,Health Care,11.74,0.0
6,6,UFCS,671181760.0,Financials,26.83,0.0
7,7,UTL,720587648.0,Utilities,48.17,21.7963803
8,8,GIII,496369376.0,Consumer Discretionary,10.33,3.195340848
9,9,AMSC,163534896.0,Industrials,7.25,0.0
10,10,AMSWA,626096576.0,Information Technology,19.45,77.8
11,11,HFC,5091317760.0,Energy,31.45,15.80691115
12,12,QDEL,7349825536.0,Health Care,175.0,75.1175797
13,13,BKE,695667200.0,Consumer Discretionary,14.08,8.855346141
14,14,XLNX,22358632448.0,Information Technology,91.95,28.50416904
15,15,OLP,319410048.0,Real Estate,15.85,25.20582055
16,16,CNBKA,419820352.0,Financials,75.4,12.93674387
17,17,ONB,2243831296.0,Financials,13.59,10.02723379
18,18,OTTR,1734284032.0,Utilities,42.91,20.24056599
19,19,VMI,2434649856.0,Industrials,114.0,15.02359126
20,20,NTRS,16438191104.0,Financials,79.01,11.99740819
21,21,NATR,188883856.0,Consumer Staples,9.7,21.85698784
22,22,MUX,361880096.0,Materials,0.9038,0.0
23,23,COHU,628051328.0,Information Technology,15.06,0.0
24,24,PRMW,1918302506.0,Consumer Staples,12.00115883,57.6139518
25,25,SANM,1815006208.0,Information Technology,26.61,11.34825453
26,26,KRMD,401710816.0,Health Care,10.12,119.8157782
27,27,APEI,464574080.0,Consumer Discretionary,31.43,37.05555161
28,28,STAA,1750229376.0,Health Care,38.8,230.3067058
29,29,ODC,269696576.0,Consumer Staples,35.43,14.85238152
30,30,IONS,7831236096.0,Health Care,56.21,46.31693464
31,31,BIG,1520116096.0,Consumer Discretionary,38.75,9.493714322
32,32,RIG,817387776.0,Energy,1.33,0.0
33,33,UEIC,629424960.0,Consumer Discretionary,45.24,18.27948985
34,34,DX,295548224.0,Financials,12.86,12.09279681
35,35,NKE,153295000000.0,Consumer Discretionary,98.58,33.8932705
36,36,KBH,2992027392.0,Consumer Discretionary,33.08,9.724658146
37,37,K,22379780096.0,Consumer Staples,65.31,17.02019644
38,38,MRTN,1403872384.0,Industrials,17.06,25.82065651
39,39,FNLC,225185024.0,Financials,20.61,8.659663883
40,40,J,10931225600.0,Industrials,84.02,19.54979642
41,41,KMT,2300033280.0,Industrials,27.74,19.07524239
42,42,TKR,3193314048.0,Industrials,42.54,8.840913192
