Source,Target
0,1151
0,955
0,798
0,1769
0,530
1,54
1,267
1,2
1,1578
1,1667
2,267
2,230
2,1
2,309
2,1476
3,2933
3,1865
3,2937
3,2533
3,1489
4,526
4,859
4,1448
4,1050
4,1100
5,2506
5,767
5,812
5,2866
5,569
6,320
6,655
6,2282
6,2848
6,1580
7,1319
7,522
7,157
7,2492
7,2296
8,2301
8,1348
8,1463
8,815
8,975
9,740
9,2066
9,1058
9,252
9,661
10,16
10,2271
10,2531
10,2909
10,1794
11,972
11,1820
11,2387
11,2383
11,2017
12,1936
12,2876
12,2990
12,1917
12,2280
13,2063
13,506
13,2649
13,1986
13,1627
14,313
14,164
14,831
14,671
14,887
15,1709
15,1220
15,335
15,2320
15,1875
16,10
16,1794
16,1350
16,1304
16,878
17,2547
17,1770
17,269
17,969
17,212
18,4
18,2648
18,2401
18,2658
18,526
19,972
19,1748
19,416
19,2570
19,902
20,1870
20,1473
20,2070
20,480
20,2052
21,2333
21,2246
21,1537
21,2238
21,482
22,1851
22,2847
22,756
22,340
22,1312
23,2807
23,2651
23,2949
23,2600
23,940
24,2709
24,2581
24,2189
24,374
24,696
25,1530
25,1338
25,2769
25,1201
25,1609
26,2048
26,1333
26,244
26,1759
26,1735
27,2650
27,1690
27,1681
27,1023
27,1678
28,1962
28,1842
28,865
28,700
28,1575
29,493
29,2091
29,77
29,2766
29,876
30,495
30,2165
30,657
30,763
30,1510
31,1204
31,1529
31,2253
31,2699
31,1573
32,1050
32,2723
32,194
32,79
32,1496
33,854
33,2908
33,2204
33,2409
33,903
34,2411
34,1980
34,125
34,663
34,702
35,432
35,1331
35,2837
35,2732
35,957
36,2609
36,2065
36,1594
36,1250
36,302
37,1116
37,240
37,2314
37,524
37,1493
38,1553
38,1354
38,381
38,792
38,2084
39,1145
39,2914
39,2558
39,2669
39,2944
40,1801
40,2897
40,1954
40,279
40,835
41,2840
41,2611
41,2836
41,2489
41,2706
42,645
42,2777
42,1424
42,2344
42,2906
43,2626
43,2765
43,2050
43,1967
43,2769
44,1676
44,1650
44,1175
44,95
44,228
45,2085
45,2483
45,1113
45,1531
45,2980
46,2311
46,2478
46,1462
46,1657
46,1665
47,361
47,75
47,1317
47,287
47,318
48,2460
48,143
48,1787
48,2461
48,1193
49,1345
49,677
49,74
49,547
49,1270
50,887
50,252
50,1083
50,1874
50,2603
51,1593
51,2232
51,1781
51,2904
51,1172
52,68
52,244
52,460
52,173
52,2048
53,233
53,457
53,299
53,1945
53,805
54,1
54,267
54,784
54,1476
54,1980
55,714
55,1804
55,694
55,338
55,56
56,1804
56,2088
56,714
56,98
56,55
57,1847
57,205
57,425
57,1936
57,1970
58,1965
58,1893
58,1059
58,1439
58,660
59,1122
59,1000
59,439
59,60
59,92
60,2011
60,2201
60,794
60,1877
60,799
61,515
61,122
61,607
61,181
61,687
62,1809
62,2494
62,2747
62,2792
62,2389
63,2152
63,1685
63,1002
63,1767
63,870
64,1869
64,791
64,1791
64,261
64,1268
65,539
65,701
65,511
65,505
65,1652
66,1346
66,1086
66,1643
66,75
66,1926
67,2117
67,2382
67,729
67,2135
67,2288
68,52
68,2048
68,173
68,1333
68,1975
69,2362
69,1849
69,2319
69,1708
69,1733
70,2168
70,2722
70,2011
70,2809
70,2629
71,2632
71,1807
71,95
71,1441
71,1275
72,933
72,1080
72,2054
72,1406
72,2424
73,1389
73,581
73,1771
73,2637
73,2391
74,1345
74,574
74,943
74,754
74,49
75,361
75,662
75,708
75,287
75,571
76,571
76,1404
76,318
76,287
76,361
77,2091
77,1588
77,493
77,29
77,2596
78,1706
78,1392
78,974
78,233
78,299
79,2110
79,1242
79,373
79,535
79,2283
80,1463
80,2154
80,1691
80,1609
80,603
81,1740
81,2289
81,2536
81,1338
81,1070
82,1015
82,1345
82,591
82,1764
82,677
83,1280
83,1885
83,1699
83,2161
83,659
84,772
84,113
84,305
84,881
84,908
85,673
85,900
85,2047
85,161
85,2468
86,177
86,2254
86,684
86,129
86,2248
87,240
87,524
87,338
87,1583
87,868
88,1302
88,2332
88,372
88,428
88,1932
89,1562
89,288
89,2824
89,1879
89,2352
90,1183
90,1025
90,76
90,2077
90,1237
91,2991
91,2550
91,469
91,2008
91,2172
92,439
92,1066
92,1271
92,1680
92,2047
93,1773
93,703
93,1239
93,1016
93,1885
94,2326
94,525
94,426
94,1205
94,2071
95,2632
95,2026
95,1750
95,1166
95,2988
96,1793
96,326
96,775
96,1401
96,253
97,103
97,2281
97,355
97,2190
97,941
98,56
98,1804
98,1399
98,1140
98,1320
99,1225
99,1362
99,2904
99,2182
99,1252
100,839
100,751
100,25
100,1647
100,1699
101,1713
101,1774
101,787
101,739
101,1931
102,281
102,424
102,2629
102,2164
102,2020
103,97
103,2281
103,2190
103,941
103,355
104,202
104,918
104,816
104,22
104,1312
105,1605
105,1968
105,573
105,76
105,318
106,1656
106,297
106,397
106,2469
106,622
107,2415
107,2929
107,2533
107,1431
107,1257
108,1299
108,1223
108,2736
108,1000
108,1671
109,806
109,500
109,967
109,1143
109,2247
110,2260
110,2170
110,1102
110,2832
110,1396
111,1524
111,2361
111,2739
111,2575
111,2557
112,1852
112,1807
112,1517
112,2167
112,1441
113,772
113,239
113,2534
113,84
113,305
114,248
114,2713
114,2243
114,2449
114,605
115,1976
115,1336
115,1904
115,845
115,730
116,2104
116,322
116,1953
116,2488
116,1287
117,1417
117,796
117,1739
117,442
117,861
118,1366
118,2546
118,2202
118,1986
118,1150
119,2685
119,1352
119,2223
119,253
119,1391
120,1558
120,861
120,442
120,1190
120,1739
121,1140
121,1116
121,2314
121,1247
121,671
122,515
122,61
122,316
122,687
122,607
123,2136
123,658
123,1406
123,331
123,1529
124,1366
124,648
124,2319
124,342
124,1394
125,702
125,2411
125,34
125,2280
125,1980
126,1285
126,641
126,1762
126,611
126,2087
127,602
127,958
127,2727
127,265
127,1060
128,2637
128,1262
128,2391
128,2761
128,1243
129,2130
129,510
129,684
129,2995
129,1778
130,2501
130,937
130,177
130,1778
130,2130
131,962
131,1134
131,1136
131,1313
131,829
132,2444
132,1251
132,2751
132,1238
132,135
133,2717
133,1550
133,2757
133,2414
133,412
134,1756
134,2267
134,1193
134,289
134,1617
135,1238
135,888
135,2372
135,2655
135,451
136,986
136,1667
136,1691
136,1044
136,2184
137,754
137,2749
137,578
137,623
137,2203
138,2175
138,392
138,2831
138,310
138,2044
139,2851
139,2855
139,575
139,1820
139,2677
140,2128
140,2173
140,170
140,2956
140,1695
141,2768
141,2951
141,491
141,871
141,2021
142,2645
142,2533
142,3
142,1489
142,312
143,2461
143,2460
143,724
143,48
143,1787
144,2573
144,2244
144,2767
144,1444
144,718
145,1358
145,977
145,2843
145,1268
145,1935
146,1073
146,483
146,1751
146,340
146,690
147,1479
147,893
147,975
147,996
147,2036
148,1283
148,2860
148,769
148,661
148,1292
149,1155
149,2321
149,2952
149,1178
149,402
150,2016
150,1504
150,747
150,475
150,2639
151,2591
151,925
151,1574
151,2894
151,2364
152,2360
152,710
152,80
152,2405
152,900
153,681
153,2338
153,1526
153,2715
153,587
154,983
154,2038
154,175
154,311
154,2101
155,714
155,338
155,1804
155,559
155,55
156,2107
156,208
156,1094
156,1041
156,337
157,2492
157,2296
157,7
157,717
157,1319
158,2185
158,190
158,461
158,1824
158,732
159,1510
159,1269
159,1557
159,442
159,1471
160,609
160,2981
160,2893
160,2953
160,2659
161,1483
161,85
161,673
161,1199
161,900
162,1582
162,1759
162,397
162,297
162,2388
163,681
163,1024
163,2091
163,1823
163,1540
164,313
164,1247
164,887
164,1140
164,315
165,2930
165,2111
165,986
165,893
165,989
166,2686
166,1107
166,2965
166,2185
166,1308
167,2924
167,1577
167,2951
167,1135
167,2932
168,2324
168,1891
168,1362
168,1148
168,2795
169,1561
169,434
169,1155
169,2153
169,172
170,2173
170,1127
170,2863
170,1969
170,1351
171,1402
171,733
171,2775
171,266
171,268
172,831
172,434
172,776
172,887
172,315
173,1011
173,460
173,622
173,1506
173,2299
174,1967
174,603
174,975
174,1044
174,2050
175,1168
175,311
175,1639
175,154
175,2078
176,2587
176,2193
176,2564
176,2886
176,2948
177,86
177,2254
177,129
177,2248
177,684
178,2220
178,945
178,1673
178,2730
178,1067
179,1995
179,1754
179,437
179,2761
179,2750
180,2281
180,2190
180,701
180,103
180,505
181,1408
181,61
181,988
181,515
181,607
182,2221
182,2656
182,200
182,1079
182,2668
183,2195
183,1150
183,399
183,882
183,2660
184,1496
184,797
184,2758
184,2791
184,1278
185,746
185,1438
185,1763
185,1616
185,981
186,2203
186,1814
186,3003
186,665
186,234
187,672
187,504
187,2646
187,1007
187,27
188,1219
188,2142
188,538
188,704
188,1799
189,2532
189,735
189,567
189,481
189,690
190,1908
190,1028
190,1221
190,1832
190,345
191,1301
191,2081
191,511
191,539
191,1063
192,2055
192,2521
192,1351
192,1449
192,1815
193,366
193,666
193,2510
193,1297
193,2619
194,1512
194,2350
194,2723
194,1126
194,2160
195,1436
195,1335
195,1169
195,254
195,615
196,962
196,1134
196,131
196,1743
196,707
197,2046
197,2714
197,2138
197,2795
197,1227
198,1338
198,1709
198,1201
198,2239
198,81
199,1225
199,99
199,2904
199,715
199,1024
200,2931
200,2609
200,1654
200,1250
200,2668
201,507
201,1150
201,183
201,1520
201,2202
202,104
202,918
202,816
202,2375
202,1661
203,1158
203,1611
203,1749
203,1461
203,599
204,1244
204,1821
204,291
204,2588
204,203
205,966
205,1621
205,1970
205,2008
205,425
206,2511
206,2914
206,1182
206,609
206,2706
207,3000
207,948
207,1922
207,1611
207,1749
208,337
208,1793
208,253
208,334
208,590
209,820
209,1867
209,598
209,1806
209,1188
210,790
210,1450
210,2487
210,1525
210,1315
211,251
211,1331
211,2198
211,1909
211,629
212,456
212,596
212,2987
212,930
212,1728
213,2466
213,458
213,827
213,2165
213,423
214,2210
214,1986
214,2615
214,1625
214,2213
215,1263
215,1961
215,262
215,1174
215,2200
216,2025
216,2155
216,802
216,681
216,2715
217,376
217,2005
217,2312
217,2057
217,2027
218,2054
218,1137
218,1830
218,319
218,1533
219,1897
219,2106
219,2734
219,2629
219,242
220,1942
220,2516
220,452
220,2890
220,1178
221,2308
221,2075
221,2376
221,2300
221,581
222,517
222,1094
222,850
222,1457
222,2825
223,2848
223,466
223,1040
223,2544
223,1261
224,1020
224,516
224,111
224,2739
224,1524
225,1431
225,2419
225,2498
225,362
225,1772
226,2638
226,1506
226,2469
226,26
226,460
227,1698
227,259
227,2671
227,807
227,509
228,457
228,2630
228,1896
228,2059
228,2231
229,1647
229,2024
229,1241
229,1709
229,2146
230,2
230,267
230,1141
230,987
230,309
231,1070
231,1425
231,659
231,1507
231,408
232,2566
232,2712
232,343
232,546
232,1133
233,527
233,1952
233,1762
233,885
233,974
234,494
234,1908
234,345
234,186
234,1028
235,2995
235,518
235,1800
235,484
235,1956
236,1321
236,2606
236,1288
236,1018
236,1906
237,1703
237,820
237,1618
237,1931
237,1713
238,924
238,1239
238,686
238,2301
238,603
239,2534
239,113
239,2741
239,1760
239,698
240,1493
240,524
240,37
240,87
240,1573
241,1642
241,1648
241,2040
241,382
241,1181
242,557
242,1812
242,1575
242,2205
242,2734
243,2999
243,2388
243,1871
243,271
243,367
244,397
244,1735
244,1759
244,52
244,1582
245,440
245,862
245,1412
245,327
245,1742
246,2551
246,797
246,2514
246,626
246,783
247,1731
247,2331
247,1629
247,1687
247,675
248,2243
248,114
248,1914
248,2033
248,2713
249,2720
249,1208
249,2304
249,2963
249,758
250,2145
250,1711
250,553
250,534
250,759
251,211
251,2198
251,629
251,1331
251,1559
252,887
252,50
252,1874
252,1785
252,1477
