,index,Ticker,Mkt Cap,Sector,Price,P/E,Returns
0,0,ESTE,593010944.0,Energy,9.33,9.412851396,-26.37
1,1,OSK,6768324608.0,Industrials,90.04,21.1976788,-20.78
2,2,MTZ,3711813888.0,Industrials,44.85,15.03164217,0.54
3,3,HLI,2939973120.0,Financials,44.64,19.99094543,-5.24
4,4,UTMD,303786976.0,Health Care,81.65,22.10287844,16.22
5,5,ICAD,59276840.0,Health Care,3.59,0.0,20.89
6,6,UFCS,1195619584.0,Financials,48.06,116.6737018,12.09
7,7,UTL,737673856.0,Utilities,52.24,26.11999981,-2.95
8,8,GIII,1501752064.0,Consumer Discretionary,30.8,30.33427801,30.13
9,9,AMSC,69680720.0,Industrials,3.33,0.0,200.3
10,10,AMSWA,383784928.0,Information Technology,12.91,38.39884824,-19.44
11,11,VOC,83130000.0,Energy,4.89,9.780000146,-14.93
12,12,HFC,7885105664.0,Energy,44.48,22.02914801,40.45
13,13,QDEL,1291541888.0,Health Care,37.99,167.7210771,60.09
14,14,TESS,142428704.0,Information Technology,17.0,42.37752925,-28.59
15,15,BKE,1086718464.0,Consumer Discretionary,22.25,12.86127165,-14.16
16,16,PMD,101218536.0,Health Care,18.43,16.60360339,-5.15
17,17,NRT,63597964.0,Energy,6.9199,9.105131693,-6.36
18,18,XLNX,17443735552.0,Information Technology,69.51,29.43253782,33.05
19,19,OLP,501861760.0,Real Estate,26.72,71.20889749,-1.12
20,20,CNBKA,477726592.0,Financials,85.8,20.78763393,-4.72
21,21,ONB,2473294848.0,Financials,18.25,15.08308066,2.63
22,22,OTTR,1910626816.0,Utilities,48.3,26.8333336,1.28
23,23,ARCW,41116428.0,Industrials,2.25,0.0,-40.0
24,24,BLGO,40945816.0,Materials,0.4,0.0,-44.5
25,25,VMI,3906607104.0,Industrials,172.8,22.40153834,-24.46
26,26,ASRV,78577440.0,Financials,4.3,15.357143,-0.23
27,27,NTRS,22237237248.0,Financials,97.78,21.25029428,1.48
28,28,ARKR,85642024.0,Consumer Discretionary,25.0,30.75235097,-11.88
