,index,Ticker,Mkt Cap,Sector,Price,P/E
0,0,ESTE,246532048.0,Energy,3.78,2.732351009
1,1,OSK,5489276928.0,Industrials,80.5,17.32845281
2,2,MTZ,4188994560.0,Industrials,56.71,14.47787647
3,3,HLI,4491261440.0,Financials,64.78,21.80448857
4,4,UTMD,314276000.0,Health Care,86.33,27.23343885
5,5,ICAD,230390880.0,Health Care,10.02,0.0
6,6,UFCS,547433088.0,Financials,21.87,0.0
7,7,UTL,613489728.0,Utilities,40.88,20.23762421
8,8,GIII,985066496.0,Consumer Discretionary,20.37,10.38839995
9,9,AMSC,548749696.0,Industrials,19.88,0.0
10,10,AMSWA,533327360.0,Information Technology,16.42,82.10000031
11,11,HFC,3789583616.0,Energy,23.39,0.0
12,12,QDEL,8205294592.0,Health Care,195.05,21.96227564
13,13,BKE,1325115392.0,Consumer Discretionary,26.82,11.76315797
14,14,XLNX,35677466624.0,Information Technology,145.55,52.29244287
15,15,OLP,365930176.0,Real Estate,17.78,28.91357792
16,16,CNBKA,411468480.0,Financials,73.9,11.39190973
17,17,ONB,2617221376.0,Financials,15.83,11.40800594
18,18,SHYF,921823360.0,Industrials,25.93,19.81157193
19,19,OTTR,1635170560.0,Utilities,39.82,16.59166663
20,20,VMI,3463782912.0,Industrials,162.98,21.21918248
21,21,NTRS,19380248576.0,Financials,93.12,15.71489327
22,22,NATR,244349600.0,Consumer Staples,12.43,14.61323141
23,23,COHU,1191409152.0,Information Technology,28.39,0.0
24,24,PRMW,2402276791.0,Consumer Staples,14.99576173,73.8336501
25,25,SANM,2070062720.0,Information Technology,31.815,11.76126586
26,26,KRMD,197742992.0,Health Care,4.5,90.35055897
27,27,APEI,459676704.0,Consumer Discretionary,31.04,25.87712534
28,28,STAA,3286243072.0,Health Care,71.27,788.8125651
29,29,ODC,256922128.0,Consumer Staples,34.43,13.23278511
30,30,IONS,7065263104.0,Health Care,50.53,94.83538654
31,31,BIG,2028411264.0,Consumer Discretionary,51.67,8.193712376
32,32,RIG,1137954048.0,Energy,1.85,0.0
33,33,UEIC,724057920.0,Consumer Discretionary,52.66,17.66152197
34,34,DX,407576512.0,Financials,17.61,7.119567269
35,35,NKE,211456000000.0,Consumer Discretionary,134.7,72.088293
36,36,KBH,3187160576.0,Consumer Discretionary,35.2,9.902324101
37,37,K,21966696448.0,Consumer Staples,63.91,16.1111056
