,index,Ticker,Mkt Cap,Sector,Price,P/E,Returns
0,0,ESTE,250058048.0,Energy,3.88,4.875474184,-30.67
1,1,OSK,5839585792.0,Industrials,85.38,10.27534647,-21.11
2,2,MTZ,4802985984.0,Industrials,62.94,13.05627897,-21.13
3,3,HLI,3114277632.0,Financials,47.26,17.79300495,32.67
4,4,UTMD,381223648.0,Health Care,102.47,28.56011302,-19.0
5,5,ICAD,132136856.0,Health Care,6.86,0.0,42.27
6,6,UFCS,1149716096.0,Financials,45.52,26.38976775,-54.88
7,7,UTL,929454784.0,Utilities,62.27,21.18027213,-44.52
8,8,GIII,1198878080.0,Consumer Discretionary,25.11,8.600460706,-46.32
9,9,AMSC,168866560.0,Industrials,7.83,0.0,77.65
10,10,AMSWA,508452480.0,Information Technology,16.21,77.19047723,-9.44
11,11,VOC,83130000.0,Energy,4.89,6.744827642,0.0
12,12,HFC,9041924096.0,Energy,54.94,8.19600108,-66.31
13,13,QDEL,2370006528.0,Health Care,56.9,30.93386626,371.51
14,14,TESS,113245128.0,Information Technology,13.29,99.77104002,0.0
15,15,BKE,1029762112.0,Consumer Discretionary,20.92,10.95287977,14.53
16,16,XLNX,22818150400.0,Information Technology,90.74,24.48108555,30.8
17,17,OLP,564891072.0,Real Estate,28.41,41.07794557,-45.69
18,18,CNBKA,484463776.0,Financials,87.01,14.26152189,-17.75
19,19,ONB,3059707904.0,Financials,17.995,12.57518389,-22.31
20,20,OTTR,2253329152.0,Utilities,56.68,28.62626278,-32.34
21,21,VMI,2967795968.0,Industrials,137.19,18.73949201,3.47
22,22,ASRV,72969216.0,Financials,4.16,9.904761863,0.0
23,23,NTRS,21120360448.0,Financials,99.68,14.99126567,-21.48
24,24,NATR,182213536.0,Consumer Staples,9.44,36.99886131,10.38
25,25,MUX,605355648.0,Materials,1.67,0.0,0.0
26,26,COHU,683009152.0,Information Technology,16.62,0.0,30.75
27,27,KEWL,87722040.0,Materials,68.0,42.97837533,0.0
28,28,SANM,2138754944.0,Information Technology,30.73,10.12533609,-20.47
29,29,KRMD,149313680.0,Health Care,3.89,67.45625722,41.9
30,30,APEI,348554560.0,Consumer Discretionary,21.72,13.66693547,30.16
31,31,STAA,1462295680.0,Health Care,32.78,178.4489446,121.17
32,32,ODC,266378480.0,Consumer Staples,35.01,20.12228596,-2.43
33,33,NAII,63688036.0,Consumer Staples,8.8859,9.602817788,0.0
34,34,IONS,7828676608.0,Health Care,55.72,47.14733928,-15.74
35,35,BIG,845469056.0,Consumer Discretionary,21.67,5.59946569,119.66
36,36,IDRA,76146912.0,Health Care,2.64,0.0,0.0
37,37,RIG,2906342656.0,Energy,4.75,0.0,-85.88
38,38,UEIC,723385600.0,Consumer Discretionary,52.12,25.78518145,-28.89
39,39,DX,398429056.0,Financials,16.16,15.40702783,1.36
40,40,NKE,139792000000.0,Consumer Discretionary,89.55,33.41417902,34.09
41,41,KBH,3154935808.0,Consumer Discretionary,35.69,13.44331585,-9.64
42,42,K,21669713920.0,Consumer Staples,63.53,17.81941713,-1.01
43,43,MRTN,1184521856.0,Industrials,14.44,21.47316209,6.27
44,44,FNLC,308039264.0,Financials,28.27,12.13342752,-18.18
45,45,KMT,2563534080.0,Industrials,30.95,10.24984791,0.16
46,46,TKR,3726034176.0,Industrials,49.0,10.49796978,21.84
47,47,PHM,10634036224.0,Consumer Discretionary,39.24,10.88828003,3.87
48,48,JBSS,1208593408.0,Consumer Staples,106.12,26.69549178,-31.44
49,49,INTU,66968961024.0,Information Technology,257.5,43.63088247,22.21
50,50,ORLY,32980205568.0,Consumer Discretionary,435.51,25.11030078,0.25
51,51,AFL,39020396544.0,Financials,53.16,11.63595961,-36.14
52,52,REFR,108617048.0,Information Technology,3.5,0.0,-26.0
