Source,Target
0,254
0,1674
0,462
0,2161
0,248
1,1024
1,1833
1,1119
1,467
1,954
2,1685
2,1443
2,25
2,1495
2,1997
3,1665
3,1404
3,1441
3,2704
3,2070
4,1296
4,2871
4,2421
4,277
4,2309
5,245
5,2090
5,2357
5,2284
5,2384
6,1806
6,303
6,362
6,1135
6,165
7,619
7,273
7,459
7,1926
7,889
8,1264
8,1443
8,2706
8,1965
8,352
9,3013
9,1991
9,2811
9,2948
9,562
10,1221
10,1317
10,1823
10,1415
10,2066
11,2199
11,2319
11,1330
11,621
11,1750
12,1252
12,1029
12,1921
12,2783
12,258
13,2319
13,2281
13,2199
13,2346
13,1779
14,725
14,1591
14,2001
14,1978
14,299
15,2344
15,1723
15,542
15,242
15,1793
16,2155
16,2469
16,1141
16,2098
16,2667
17,1544
17,1845
17,372
17,885
17,144
18,92
18,1667
18,371
18,2179
18,2020
19,546
19,558
19,666
19,1329
19,2747
20,1833
20,1207
20,390
20,1875
20,8
21,2418
21,777
21,961
21,913
21,437
22,1727
22,428
22,2310
22,2136
22,1770
23,613
23,2710
23,100
23,2693
23,1365
24,2059
24,275
24,1184
24,1655
24,208
25,1495
25,8
25,1833
25,196
25,1451
26,2212
26,991
26,983
26,27
26,356
27,1858
27,356
27,1393
27,2361
27,178
28,2441
28,2553
28,2624
28,1567
28,1927
29,1457
29,1604
29,1051
29,1821
29,1189
30,917
30,685
30,2814
30,1300
30,1428
31,745
31,1305
31,1095
31,1837
31,2047
32,1107
32,2604
32,870
32,547
32,2538
33,602
33,1657
33,261
33,1491
33,40
34,2253
34,998
34,1097
34,1866
34,1368
35,276
35,705
35,1118
35,793
35,308
36,2238
36,121
36,640
36,2237
36,363
37,452
37,834
37,920
37,1852
37,252
38,1420
38,552
38,695
38,1598
38,2021
39,1381
39,2012
39,207
39,1544
39,1204
40,33
40,1657
40,2188
40,2376
40,602
41,381
41,1719
41,1327
41,268
41,2
42,1292
42,1926
42,384
42,1494
42,1640
43,1622
43,1878
43,1292
43,757
43,405
44,1785
44,317
44,1205
44,1716
44,1166
45,2414
45,2199
45,2260
45,1380
45,1711
46,466
46,2027
46,267
46,890
46,697
47,201
47,319
47,2942
47,225
47,84
48,449
48,764
48,104
48,606
48,535
49,1262
49,2315
49,2385
49,1083
49,2350
50,193
50,2983
50,469
50,1677
50,947
51,658
51,800
51,1972
51,849
51,52
52,1734
52,972
52,832
52,151
52,908
53,1867
53,141
53,2222
53,2481
53,1015
54,2088
54,1377
54,355
54,2022
54,2426
55,2580
55,299
55,1819
55,157
55,2402
56,1148
56,984
56,1482
56,2528
56,2720
57,396
57,143
57,1837
57,498
57,2517
58,775
58,189
58,295
58,748
58,2514
59,73
59,1649
59,2499
59,1165
59,354
60,803
60,617
60,1748
60,890
60,65
61,909
61,161
61,1118
61,501
61,328
62,374
62,1500
62,552
62,1598
62,1555
63,2472
63,815
63,2305
63,1911
63,66
64,119
64,358
64,2153
64,646
64,628
65,905
65,1985
65,1639
65,317
65,55
66,815
66,63
66,2472
66,322
66,2305
67,2506
67,2035
67,2515
67,1866
67,2658
68,792
68,1333
68,74
68,788
68,1241
69,148
69,1065
69,1343
69,1437
69,1913
70,204
70,1476
70,417
70,1607
70,2933
71,1585
71,926
71,2134
71,1106
71,2498
72,832
72,626
72,972
72,915
72,1475
73,1649
73,342
73,59
73,641
73,1819
74,495
74,1333
74,1973
74,68
74,1862
75,1565
75,1587
75,1647
75,2901
75,461
76,1270
76,379
76,2827
76,2784
76,2905
77,33
77,1185
77,1861
77,602
77,2778
78,1786
78,301
78,2050
78,800
78,1449
79,757
79,818
79,1828
79,613
79,2487
80,2138
80,2101
80,1596
80,1884
80,236
81,624
81,1200
81,2824
81,71
81,2134
82,918
82,381
82,1997
82,1577
82,269
83,2229
83,2148
83,1068
83,1676
83,1540
84,1506
84,225
84,200
84,1465
84,1983
85,151
85,908
85,1972
85,314
85,1734
86,1667
86,1571
86,1332
86,2747
86,530
87,1090
87,1885
87,2335
87,2929
87,1815
88,548
88,3090
88,610
88,1068
88,1536
89,2646
89,2711
89,1338
89,530
89,1590
90,262
90,300
90,1104
90,1499
90,163
91,1312
91,2657
91,2652
91,1229
91,1245
92,140
92,18
92,2020
92,2179
92,1264
93,3089
93,2383
93,1308
93,781
93,2880
94,2937
94,1351
94,3040
94,2836
94,1687
95,2944
95,2815
95,3059
95,3083
95,2943
96,2120
96,2137
96,189
96,58
96,744
97,1910
97,2467
97,1940
97,1842
97,830
98,1202
98,2269
98,1655
98,1677
98,783
99,1399
99,2008
99,786
99,246
99,696
100,1232
100,2933
100,898
100,2632
100,1617
101,1249
101,175
101,2002
101,645
101,2036
102,3122
102,1809
102,831
102,1294
102,1047
103,1189
103,1457
103,1695
103,780
103,1604
104,48
104,449
104,606
104,274
104,583
105,1265
105,2332
105,1335
105,1379
105,1253
106,2197
106,2848
106,129
106,635
106,287
107,561
107,716
107,2711
107,2041
107,170
108,2275
108,653
108,1866
108,538
108,478
109,2694
109,1800
109,848
109,509
109,2271
110,1913
110,1557
110,445
110,3034
110,148
111,827
111,1557
111,1534
111,604
111,1434
112,569
112,1697
112,1077
112,901
112,524
113,2581
113,2830
113,2165
113,2621
113,2800
114,3081
114,2638
114,2520
114,3093
114,1644
115,2022
115,1672
115,352
115,1847
115,1669
116,1890
116,2582
116,113
116,2428
116,454
117,1246
117,1770
117,22
117,1673
117,2518
118,1819
118,2580
118,485
118,2577
118,55
119,64
119,628
119,1888
119,1613
119,1956
120,2468
120,2986
120,3074
120,1736
120,898
121,2238
121,36
121,2237
121,2404
121,640
122,2270
122,2228
122,2835
122,779
122,2411
123,854
123,963
123,1153
123,1869
123,1410
124,19
124,558
124,530
124,1956
124,785
125,572
125,2849
125,2554
125,1083
125,2484
126,842
126,635
126,1044
126,375
126,992
127,2547
127,2840
127,1359
127,2270
127,1652
128,873
128,1891
128,1153
128,911
128,1592
129,2839
129,635
129,2755
129,375
129,842
130,2597
130,1154
