,index,Ticker,Mkt Cap,Sector,Price,P/E
0,0,ESTE,175077424.0,Energy,2.69,2.682633416
1,1,OSK,4587636736.0,Industrials,67.36,14.49993269
2,2,MTZ,3666755328.0,Industrials,49.64,12.67292873
3,3,HLI,4376617472.0,Financials,62.7,21.10437532
4,4,UTMD,302150784.0,Health Care,83.0,26.15821057
5,5,ICAD,223509776.0,Health Care,9.76,0.0
6,6,UFCS,514141536.0,Financials,20.54,0.0
7,7,UTL,518494880.0,Utilities,34.55,17.10396078
8,8,GIII,651875136.0,Consumer Discretionary,13.48,6.874601438
9,9,AMSC,383974688.0,Industrials,13.91,0.0
10,10,AMSWA,476811552.0,Information Technology,14.68,63.82608683
11,11,HFC,2998906112.0,Energy,18.51,0.0
12,12,QDEL,11286328320.0,Health Care,268.29,30.20896658
13,13,BKE,1183809280.0,Consumer Discretionary,23.96,12.22449021
14,14,XLNX,29093496832.0,Information Technology,118.69,42.64232253
15,15,OLP,315383424.0,Real Estate,15.43,26.29820736
16,16,CNBKA,398495232.0,Financials,71.57,10.23650095
17,17,ONB,2311355392.0,Financials,13.98,10.07478983
18,18,SHYF,686762304.0,Industrials,19.31,17.83275259
19,19,OTTR,1567443712.0,Utilities,38.35,17.83720925
20,20,VMI,3016836352.0,Industrials,141.95,18.48118145
21,21,NTRS,16289648640.0,Financials,78.27,13.20881331
22,22,NATR,203302160.0,Consumer Staples,10.42,17.29279778
23,23,COHU,909681280.0,Information Technology,21.73,0.0
24,24,PRMW,2004970426.0,Consumer Staples,12.51967914,101.0384898
25,25,SANM,1656147200.0,Information Technology,24.44,9.594826703
26,26,KRMD,242380832.0,Health Care,5.52,70.1281882
27,27,APEI,418311488.0,Consumer Discretionary,28.27,28.03701239
28,28,STAA,3320964352.0,Health Care,72.5,1196.626374
29,29,ODC,254907344.0,Consumer Staples,34.16,13.12901363
30,30,IONS,6558775808.0,Health Care,46.95,49.99840305
31,31,BIG,1868635008.0,Consumer Discretionary,47.6,7.548300931
32,32,RIG,412097696.0,Energy,0.6705,0.0
33,33,UEIC,516303328.0,Consumer Discretionary,37.06,12.0556121
34,34,DX,379043296.0,Financials,16.38,6.622289146
35,35,NKE,188505000000.0,Consumer Discretionary,120.08,64.26401057
36,36,KBH,2920054784.0,Consumer Discretionary,32.25,9.072441826
37,37,K,21616109568.0,Consumer Staples,62.89,15.85397327
38,38,MRTN,1268737664.0,Industrials,15.345,22.18669679
39,39,FNLC,253110640.0,Financials,23.13,9.402438879
40,40,PESI,83191336.0,Industrials,6.85,17.87914194
41,41,J,12369764352.0,Industrials,95.0,19.7974288
42,42,KMT,2580654336.0,Industrials,31.0,32.38852856
43,43,TKR,4498764288.0,Industrials,59.7,12.95168989
44,44,PHM,10927501312.0,Consumer Discretionary,40.76,8.694361121
45,45,JBSS,830892800.0,Consumer Staples,72.76,15.7634771
46,46,INTU,82385494016.0,Information Technology,314.68,45.41171706
47,47,ORLY,31990720512.0,Consumer Discretionary,436.6,19.49977659
48,48,AFL,23848015872.0,Financials,33.95,6.967993241
49,49,REFR,81781288.0,Information Technology,2.59,0.0
50,50,SNFCA,110798128.0,Financials,6.276190476,10.5050783
51,51,C,86236438528.0,Financials,41.42,8.56048843
52,52,LMT,97960681472.0,Industrials,350.13,12.03412714
53,53,FUN,1474947712.0,Consumer Discretionary,26.01,0.0
54,54,EZPW,245602208.0,Financials,4.46,4.983568737
55,55,ROP,38883311616.0,Industrials,371.34,39.39337105
56,56,AMED,8497929728.0,Health Care,259.0,50.01851069
57,57,WDFC,3325748224.0,Consumer Staples,243.38,55.40354201
58,58,NNN,5555017728.0,Real Estate,32.01,20.87198035
59,59,ROST,30321002496.0,Consumer Discretionary,85.17,56.7800024
60,60,SBUX,102030000000.0,Consumer Discretionary,86.96,74.48215163
61,61,CL,67622047744.0,Consumer Staples,78.89,25.4785672
62,62,IIN,111672304.0,Health Care,12.5,0.0
63,63,CLH,2947153152.0,Industrials,52.97,25.41657565
64,64,LCUT,218775840.0,Consumer Discretionary,10.05,22.08009851
65,65,ECL,52404879360.0,Materials,183.59,41.24893992
66,66,GTN,1223191936.0,Communication Services,12.68,9.839189732
67,67,VNO,5874074624.0,Real Estate,30.73,0.0
68,68,DOV,15953676288.0,Industrials,110.71,22.01889631
69,69,CSX,60371337216.0,Industrials,26.31333333,22.54555703
70,70,CTS,891886144.0,Information Technology,27.64,25.0229959
71,71,RRD,83538000.0,Industrials,1.17,1.171580473
72,72,BIIB,38788935680.0,Health Care,252.07,7.973491826
73,73,CCK,11562630144.0,Materials,85.8,19.04989438
74,74,EFX,16616427520.0,Industrials,136.6,25.30455725
75,75,PKI,14485570560.0,Health Care,129.55,30.31285803
76,76,HRTX,1481849216.0,Health Care,16.31,0.0
77,77,ESE,2179096320.0,Industrials,83.69,28.85862004
78,78,MRK,190224000000.0,Health Care,71.71469046,12.68467549
79,79,DY,2067640704.0,Industrials,64.94,41.18990154
80,80,LSCG,76226496.0,Industrials,0.35,0.0
81,81,MDP,500219392.0,Communication Services,11.0,0.0
82,82,VMC,19183785984.0,Materials,144.84,30.46152875
83,83,TCBK,861228416.0,Financials,28.93,13.65438058
84,84,IDXX,36237099008.0,Health Care,424.82,71.04013497
85,85,KO,206535000000.0,Consumer Staples,48.06,24.8468399
86,86,OXM,694778176.0,Consumer Discretionary,41.17,177.0691449
87,87,PCG,18972448768.0,Utilities,9.56,3.362180362
88,88,BANF,1452590080.0,Financials,44.45,14.78007096
89,89,PTEN,479984064.0,Energy,2.56,0.0
90,90,REGN,57830649856.0,Health Care,543.56,21.94467358
91,91,TELL,309590368.0,Energy,0.96,0.0
92,92,MTW,259943600.0,Industrials,7.53,44.77745514
93,93,IVC,279130336.0,Health Care,8.11,0.0
94,94,NVEC,222956992.0,Information Technology,46.13,19.02335527
95,95,LCI,258618832.0,Health Care,6.43,49.13422665
96,96,HST,7391158272.0,Real Estate,10.48,0.0
97,97,STRL,412604512.0,Industrials,14.7,6.700347756
98,98,MSEX,1120487936.0,Utilities,64.14,29.55760305
99,99,LANC,4575043072.0,Consumer Staples,166.14,33.20913693
100,100,ACTG,155230272.0,Industrials,3.15,0.0
101,101,LXP,2748427008.0,Real Estate,9.93,86.06045664
102,102,NNBR,229124544.0,Industrials,5.36,0.0
103,103,LYTS,180169104.0,Industrials,6.84,40.3947348
104,104,ALL,27718060032.0,Financials,88.75,8.06198296
105,105,SRDX,501646144.0,Health Care,36.75,55.49733218
106,106,OMI,1846607488.0,Health Care,25.12,228.9777184
107,107,TEN,5598402284.0,Energy,4.7422512,34.66000588
108,108,CNK,964487168.0,Communication Services,8.19,0.0
109,109,ADC,3436848384.0,Real Estate,62.07,38.97948668
110,110,CME,54052245504.0,Financials,150.72,24.48041573
111,111,ALLY,9973974016.0,Financials,26.68,11.57649959
112,112,THG,3563568128.0,Financials,95.66,11.13624116
113,113,VBIV,525722592.0,Health Care,2.35,0.0
114,114,SRGA,141631216.0,Health Care,1.74,2.443981545
115,115,ZEUS,126364608.0,Materials,11.41,0.0
116,116,WKHS,1914998528.0,Consumer Discretionary,15.38,0.0
117,117,PLUS,914991680.0,Information Technology,67.51,12.66318305
118,118,DISH,13390028800.0,Communication Services,25.49,9.290888545
119,119,AEO,2277422592.0,Consumer Discretionary,13.71,0.0
120,120,NVAX,4945759232.0,Health Care,80.71,0.0
121,121,MHO,1176272000.0,Consumer Discretionary,40.92,5.730703989
122,122,CLB,642948352.0,Energy,14.45,37.44774802
123,123,HBNC,544041984.0,Financials,12.4,8.815520929
124,124,RYN,3464677376.0,Real Estate,25.38,95.28028626
125,125,PTN,89574656.0,Health Care,0.3897,0.0
126,126,UTI,149683072.0,Consumer Discretionary,4.59,0.0
127,127,LYV,10602033152.0,Communication Services,48.8,0.0
128,128,MBWM,354810720.0,Financials,21.86,8.175195931
129,129,URBN,2184547840.0,Consumer Discretionary,22.34,0.0
130,130,REG,6044365312.0,Real Estate,35.59,27.86717075
131,131,RWWI,410781248.0,Information Technology,13.8,153.3333272
132,132,YUM,28185659392.0,Consumer Discretionary,93.33,31.03456498
