Source,Target
0,2254
0,2994
0,2208
0,949
0,1369
1,307
1,1586
1,1873
1,2002
1,1037
2,1588
2,1890
2,991
2,2194
2,1676
3,929
3,454
3,1163
3,208
3,1739
4,113
4,1830
4,2706
4,1570
4,1744
5,2929
5,2721
5,2284
5,2549
5,2545
6,1361
6,1589
6,413
6,317
6,1940
7,1324
7,519
7,2218
7,2311
7,591
8,1935
8,978
8,2319
8,386
8,1342
9,1399
9,946
9,762
9,671
9,1175
10,16
10,1934
10,1539
10,2291
10,1669
11,17
11,2038
11,1782
11,2641
11,2586
12,2800
12,753
12,1991
12,620
12,401
13,1661
13,1436
13,2192
13,1152
13,1865
14,668
14,36
14,886
14,1733
14,1166
15,2542
15,2670
15,1675
15,577
15,10
16,10
16,1539
16,857
16,389
16,1476
17,11
17,3025
17,1782
17,1227
17,2586
18,305
18,180
18,843
18,2246
18,2263
19,2609
19,411
19,975
19,264
19,900
20,1882
20,2745
20,777
20,2075
20,475
21,2071
21,1993
21,477
21,2126
21,1847
22,478
22,2304
22,1732
22,1762
22,2112
23,940
23,2645
23,2198
23,2643
23,1467
24,565
24,811
24,1144
24,689
24,1210
25,1540
25,368
25,1701
25,2669
25,446
26,1693
26,2126
26,1516
26,239
26,627
27,1687
27,1030
27,882
27,1700
27,2102
28,1982
28,2985
28,260
28,697
28,1896
29,2442
29,2819
29,488
29,2425
29,2856
30,1184
30,2293
30,1685
30,1399
30,603
31,2196
31,2770
31,1214
31,788
31,1889
32,1199
32,3145
32,853
32,2091
32,1123
33,1806
33,2042
33,598
33,2485
33,994
34,1635
34,952
34,2086
34,932
34,2912
35,1842
35,2225
35,2976
35,2430
35,764
36,2322
36,668
36,2273
36,886
36,2333
37,1565
37,377
37,725
37,1107
37,1745
38,2728
38,2616
38,1155
38,3090
38,1117
39,1815
39,2961
39,52
39,837
39,335
40,2898
40,2619
40,2651
40,2654
40,2607
41,1711
41,2669
41,2818
41,749
41,2279
42,1965
42,2630
42,559
42,820
42,2673
43,2108
43,1301
43,2066
43,2517
43,1201
44,358
44,1322
44,315
44,1094
44,2058
45,2496
45,138
45,2074
45,243
45,129
46,2269
46,2079
46,1349
46,1021
46,1125
47,2043
47,1091
47,1681
47,1798
47,1801
48,2994
48,277
48,22
48,2254
48,467
49,1552
49,2266
49,458
49,1735
49,169
50,2392
50,1065
50,1685
50,455
50,229
51,781
51,1
51,802
51,3148
51,2937
52,53
52,691
52,711
52,1818
52,1815
53,2111
53,1818
53,52
53,691
53,711
54,1991
54,1955
54,2009
54,620
54,201
55,657
55,1449
55,790
55,1587
55,2581
56,1005
56,879
56,1129
56,437
56,2193
57,1438
57,2228
57,2561
57,2538
57,525
58,685
58,117
58,313
58,511
58,604
59,2729
59,1098
59,2835
59,2520
59,2755
60,1271
60,2379
60,528
60,836
60,1945
61,2764
61,1667
61,2402
61,1442
61,1272
62,536
62,746
62,1707
62,1524
62,1874
63,1941
63,72
63,231
63,1650
63,1350
64,162
64,2537
64,2530
64,2178
64,3151
65,2266
65,856
65,49
65,2031
65,1993
66,2922
66,1147
66,405
66,327
66,2185
67,2672
67,2867
67,879
67,1911
67,2367
68,1822
68,1451
68,1436
68,91
68,1683
69,2072
69,354
69,1112
69,663
69,551
70,1567
70,337
70,123
70,578
70,847
71,1475
71,1349
71,363
71,753
71,571
72,284
72,705
72,696
72,568
72,659
73,568
73,1412
73,2162
73,284
73,315
74,2442
74,29
74,629
74,1164
74,1585
75,2473
75,953
75,1315
75,2931
75,977
76,1616
76,2177
76,1474
76,3045
76,728
77,1808
77,600
77,2894
77,1751
77,1799
78,1021
78,1838
78,46
78,363
78,2269
79,2335
79,2336
79,2308
79,930
79,2052
80,2081
80,1249
80,2990
80,2529
80,2398
81,670
81,2332
81,898
81,1828
81,156
82,174
82,2275
82,651
82,124
82,682
83,334
83,1259
83,235
83,2422
83,640
84,618
84,2752
84,2818
84,733
84,2832
85,2395
85,1790
85,1573
85,1811
85,900
86,1032
86,315
86,73
86,358
86,1412
87,3149
87,2342
87,1849
87,2589
87,2029
88,622
88,2565
88,563
88,1340
88,1390
89,1439
89,240
89,1899
89,2041
89,233
90,2640
90,2327
90,1104
90,2696
90,2787
91,2233
91,1593
91,2047
91,2768
91,2195
92,2507
92,1270
92,2398
92,1398
92,2286
93,98
93,2301
93,352
93,1898
93,942
94,2823
94,1369
94,3023
94,164
94,1234
95,1527
95,438
95,1932
95,323
95,2059
96,1197
96,1724
96,821
96,205
96,1730
97,2672
97,420
97,2720
97,89
97,2189
98,93
98,352
98,942
98,2282
98,961
99,918
99,1580
99,2819
99,1529
99,816
100,1989
100,1755
100,570
100,1041
100,1741
101,1591
101,157
101,391
101,835
101,789
102,2451
102,1784
102,2328
102,3063
102,1469
103,1302
103,1232
103,1680
103,1049
103,325
104,1268
104,606
104,688
104,2633
104,2334
105,161
105,3095
105,1386
105,990
105,110
106,436
106,2209
106,1593
106,2630
106,2195
107,850
107,2440
107,995
107,842
107,2829
108,1279
108,2513
108,414
108,1488
108,2209
109,1567
109,303
109,70
109,2952
109,234
110,1395
110,3095
110,105
110,1378
110,991
111,1346
111,2093
111,987
111,1970
111,1089
112,1425
112,832
112,1273
112,440
112,3138
113,4
113,1830
113,2706
113,1570
113,2259
114,770
114,1023
114,342
114,2792
114,2753
115,539
115,3145
115,844
115,1750
115,2062
116,425
116,1824
116,2333
116,668
116,310
117,685
117,58
117,511
117,313
117,604
118,2135
118,839
118,268
118,2158
118,655
119,2439
119,2165
119,2860
119,2420
119,3036
120,699
120,608
120,2170
120,2002
120,324
121,2219
121,2806
121,320
121,1263
121,2110
122,1067
122,697
122,260
122,599
122,960
123,2680
123,2814
123,70
123,1266
123,337
124,2152
124,506
124,174
124,1748
124,3154
125,937
125,2540
125,174
125,1748
125,3154
126,897
126,1142
126,481
126,193
126,964
127,2803
127,2051
127,1244
127,130
127,2705
128,1562
128,2460
128,2675
128,1865
128,1087
129,286
129,2288
129,1323
129,402
129,1434
130,1244
130,1771
130,253
130,914
130,2394
131,1211
131,2966
131,2210
131,1792
131,656
132,2329
132,620
132,1991
132,1922
132,188
133,1095
133,1245
133,2067
133,2890
133,307
134,2915
134,2859
134,2911
134,798
134,527
135,2924
135,166
135,2198
135,1806
135,1990
136,2428
136,1291
136,1703
136,3122
136,3118
137,2349
137,309
137,1150
137,2669
137,666
138,2496
138,45
138,720
138,1831
138,2074
139,2040
139,2353
139,1900
139,348
139,293
140,1640
140,1954
140,595
140,1365
140,475
141,3018
141,870
141,2088
141,824
141,1779
142,25
142,1540
142,1701
142,600
142,1076
143,1189
143,2182
143,2604
143,2958
143,3059
144,431
144,371
144,1813
144,1514
144,745
145,2441
145,1001
145,51
145,898
145,1056
146,820
146,406
146,455
146,42
146,2673
147,2737
147,2758
147,584
147,2968
147,1391
148,308
148,2124
148,987
148,2093
148,1646
149,462
149,490
149,2212
149,1503
149,83
150,1102
150,340
150,1047
150,2527
150,2247
151,2528
151,3043
151,484
151,1113
151,2575
152,3089
152,215
152,2211
152,2766
152,3074
153,1087
153,654
153,1619
153,2460
153,509
154,2492
154,2789
154,742
154,3108
154,1433
155,285
155,429
155,1388
155,2372
155,383
156,1493
156,326
156,670
156,81
156,1614
157,1591
157,1997
157,835
157,427
157,101
158,2737
158,584
158,1551
158,679
158,2092
159,2631
159,2495
159,973
159,2106
159,1298
160,2326
160,2866
160,2753
160,2821
160,2298
161,105
161,3095
161,1211
161,1386
161,1076
162,64
162,237
162,2128
162,2537
162,2530
163,2910
163,1260
163,3119
163,3012
163,2958
164,2968
164,88
164,1180
164,1369
164,2254
165,884
165,432
165,1171
165,168
165,2608
166,2924
166,1990
166,1877
166,1119
166,2305
167,494
167,730
167,1034
167,2591
167,1843
168,2091
168,1171
168,1574
168,2017
168,844
169,2317
169,1017
169,256
169,297
169,1693
170,600
170,77
170,76
170,1808
170,1474
171,2001
171,1422
171,485
171,709
171,1665
172,413
172,1589
172,1338
172,827
172,1233
173,1992
173,3011
173,3055
173,2115
173,2908
174,82
174,2275
174,124
174,2152
174,2168
175,946
175,3017
175,1745
175,974
175,1528
176,2016
176,435
176,1765
176,2174
176,2814
177,698
177,2301
177,2215
177,961
177,98
178,1415
178,1620
178,58
178,992
178,685
179,1861
179,2725
179,1161
179,1868
179,798
180,2158
180,351
180,2025
180,118
180,424
181,2913
181,1248
181,1282
181,1132
181,1633
182,744
182,1448
182,1810
182,1775
182,549
183,3144
183,1109
183,1347
183,593
183,1163
184,489
184,2503
184,1891
184,1722
184,2851
185,669
185,1975
185,2692
185,234
185,2085
186,1113
186,332
186,1078
186,3043
186,714
187,2752
187,326
187,1053
187,3047
187,2832
188,1922
188,289
188,2329
188,1845
188,1035
189,1304
189,507
189,2104
189,536
189,1070
190,3139
190,363
190,1475
190,1097
190,449
191,1779
191,1521
191,141
191,2370
191,3018
192,1177
192,249
192,1446
192,408
192,612
193,1142
193,1754
193,126
193,481
193,2306
194,1864
194,2775
194,1180
194,2852
194,22
195,94
195,1858
195,1234
195,819
195,2957
196,490
196,788
196,2770
196,708
196,31
197,1160
197,1600
197,2025
197,1535
197,1530
198,496
198,1355
198,99
198,2819
198,1529
199,1897
199,1167
199,1618
199,709
199,1760
200,2361
200,1958
200,2191
200,92
200,2385
201,968
201,2009
201,1630
201,2029
201,392
202,2427
202,2855
202,3034
202,2334
202,606
203,2357
203,2400
203,3161
203,950
203,2665
204,3111
204,1221
204,1807
204,893
204,710
205,364
205,1879
205,96
205,1197
205,444
206,1198
206,1719
206,1535
206,2338
206,369
207,764
207,909
207,2628
207,419
207,246
208,929
208,454
208,2236
208,3001
208,3
209,332
209,431
209,151
209,1543
209,316
210,1843
210,676
210,2759
210,2896
210,2652
211,512
211,2113
211,2615
211,1027
211,1892
212,2046
212,785
212,679
212,3064
212,2498
213,788
213,708
213,490
213,1509
213,1482
214,299
214,3044
214,3053
214,316
214,371
215,2128
215,3089
215,2000
215,2766
215,935
216,2341
216,2554
216,1703
216,3102
216,2953
217,2098
217,1886
217,2778
217,2529
217,2326
218,1863
218,2556
218,2729
218,2015
218,59
219,513
219,852
219,303
219,514
219,1567
220,1265
220,999
220,1548
220,2908
220,2582
221,2331
221,2130
221,1520
221,832
221,1528
222,1440
222,3128
222,3110
222,359
222,3024
223,2682
223,1976
223,1306
223,1069
223,1330
224,605
224,804
224,42
224,1578
224,2673
225,2045
225,1247
225,933
225,2169
225,267
226,262
226,991
226,306
226,2434
226,105
227,846
227,1077
227,1799
227,725
227,2132
228,1418
228,2027
228,717
228,1974
228,2206
229,2392
229,2140
229,1685
229,2608
229,977
230,489
230,1230
230,1922
230,1035
230,452
231,2984
231,57
231,2538
231,2981
231,1331
232,1326
232,2649
232,1025
232,1920
232,3093
233,1899
233,700
233,1871
233,495
233,491
234,2952
234,2791
234,109
234,1885
234,695
235,1503
235,83
235,1508
235,1259
235,1777
236,1649
236,1655
236,2063
236,376
236,255
237,1826
237,162
237,1432
237,2813
237,548
238,3016
238,3160
238,2399
238,2940
238,602
239,1997
239,391
239,1591
239,2071
239,1693
240,715
240,89
240,1439
240,837
240,1845
241,3081
241,2871
241,1901
241,2506
241,2552
242,1742
242,672
242,2350
242,1636
242,1696
243,2348
243,1066
243,2874
243,1767
243,1672
244,3163
244,719
244,979
244,417
244,1369
245,2168
245,2969
245,753
245,705
245,401
246,909
246,764
246,207
246,3091
246,3167
247,1798
247,1714
247,1325
247,2043
247,1670
248,2489
248,773
248,2106
248,2767
248,3005
249,2267
249,2352
249,1177
249,192
249,1926
250,2663
250,1602
250,852
250,1339
250,513
251,2072
251,299
251,2289
251,2283
251,1146
252,1020
252,2090
252,2708
252,1590
252,15
253,914
253,1771
253,2914
253,2879
253,2970
254,505
254,1016
254,1388
254,2372
254,429
255,376
255,1021
255,628
255,1274
255,1349
256,1954
256,1365
256,1552
256,1693
256,784
257,1980
257,139
257,2142
257,1797
257,1454
258,1903
258,1296
258,1706
258,298
258,2021
259,1743
259,1196
259,1321
259,1621
259,2540
260,697
260,2985
260,1855
260,1982
260,28
261,2683
261,1116
261,263
261,1423
261,1577
262,226
262,306
262,991
262,1784
262,1150
263,2187
263,1116
263,261
263,2683
263,823
264,1114
264,613
264,1930
264,975
264,1188
265,997
265,1882
265,1642
265,777
265,1473
266,364
266,96
266,205
266,821
266,1724
267,2045
267,225
267,2169
267,824
267,933
268,118
268,655
268,839
268,2635
268,2135
269,473
269,2196
269,655
269,1889
269,351
270,1004
270,2932
270,3169
270,2272
270,1833
271,1522
271,1277
271,2909
271,2160
271,2964
272,2223
272,2920
272,3117
272,2356
272,2908
273,1411
273,1051
273,6
273,2174
273,2901
274,1174
274,2233
274,91
274,2047
274,2961
275,2700
275,2569
275,1180
275,2255
275,1721
276,1480
276,3164
276,2905
276,2189
276,420
277,2783
277,2944
277,3088
277,2994
277,734
278,1660
278,2666
278,439
278,2742
278,464
279,613
279,2429
279,1188
279,3003
279,1298
280,1205
280,1697
280,1389
280,2054
280,1437
281,2134
281,245
281,1854
281,2024
281,1437
282,329
282,3041
282,1606
282,644
282,2916
283,1187
283,1979
283,1178
283,3011
283,1311
284,72
284,315
284,696
284,705
284,358
285,155
285,429
285,3023
285,1893
285,2372
286,129
286,1434
286,2288
286,402
286,1323
287,1947
287,2351
287,1236
287,1912
287,1169
288,917
288,867
288,1618
288,1028
288,493
289,1922
289,2329
289,188
289,1845
289,1252
290,1853
290,1362
290,2118
290,501
290,1659
291,1945
291,319
291,2939
291,2202
291,1305
292,2941
292,2105
292,2626
292,2850
292,2592
293,2581
293,334
293,718
293,657
293,535
294,344
294,391
294,2131
294,1746
294,1997
295,1941
295,1650
295,2018
295,1044
295,696
296,1184
296,2925
296,603
296,2273
296,1584
297,760
297,769
297,169
297,2317
297,619
298,2844
298,2399
298,238
298,3016
298,3160
299,214
299,2718
299,2276
299,3044
299,667
300,976
300,1302
300,585
300,2366
300,2145
301,1753
301,1018
301,2453
301,1569
301,608
302,534
302,1541
302,2801
302,486
302,3102
303,109
303,219
303,1567
303,513
303,1396
304,1179
304,1904
304,1969
304,2679
304,847
305,843
305,18
305,1455
305,1809
305,437
306,262
306,226
306,775
306,1235
306,991
307,438
307,386
307,1
307,2059
307,2890
308,2124
308,148
308,485
308,1646
308,311
309,993
309,1492
309,137
309,1784
309,2279
310,425
310,668
310,1824
310,1560
310,30
311,308
311,1766
311,987
311,1646
311,1665
