,index,Ticker,Mkt Cap,Sector,Price,P/E,Returns
0,0,ESTE,209455840.0,Energy,3.25,4.083837912,-20.31
1,1,OSK,5184359424.0,Industrials,75.8,9.531228239,-3.03
2,2,MTZ,4954844160.0,Industrials,64.93,14.69892437,-35.01
3,3,HLI,2982888448.0,Financials,45.1,16.53946685,30.93
4,4,UTMD,356486464.0,Health Care,95.84,27.08782441,-16.66
5,5,ICAD,131944232.0,Health Care,6.85,0.0,28.61
6,6,UFCS,1186591872.0,Financials,46.98,27.23618824,-56.75
7,7,UTL,946618752.0,Utilities,63.44,21.28859068,-39.09
8,8,GIII,1230389760.0,Consumer Discretionary,25.77,8.826518216,-49.13
9,9,AMSC,169082224.0,Industrials,7.84,0.0,84.69
10,10,AMSWA,471126240.0,Information Technology,15.02,71.52381049,-6.52
11,11,VOC,89930000.0,Energy,5.29,7.296551784,0.0
12,12,HFC,8827972608.0,Energy,53.64,7.535957031,-63.26
13,13,QDEL,2542434048.0,Health Care,61.35,35.30988131,257.59
14,14,TESS,122447888.0,Information Technology,14.37,52.84759411,0.0
15,15,BKE,1014010496.0,Consumer Discretionary,20.6,10.7853405,-1.02
16,16,PMD,50259240.0,Health Care,9.11,14.23437499,0.0
17,17,NRT,55970692.0,Energy,6.09,7.534993182,0.0
18,18,XLNX,24224794624.0,Information Technology,95.9,26.15675465,8.7
19,19,OLP,547393536.0,Real Estate,27.53,39.80555584,-40.57
20,20,CNBKA,487748832.0,Financials,87.6,15.74453888,-24.95
21,21,ONB,2963234304.0,Financials,17.205,12.6291637,-27.0
22,22,OTTR,2136846080.0,Utilities,53.75,27.14646479,-32.71
23,23,VMI,2994836992.0,Industrials,138.44,18.94793551,-10.3
24,24,ASRV,71971232.0,Financials,4.14,9.200000091,0.0
25,25,NTRS,20053604352.0,Financials,93.32,14.24135114,-16.45
26,26,ARKR,73127160.0,Consumer Discretionary,20.9,13.01449278,0.0
27,27,NATR,160015904.0,Consumer Staples,8.29,32.49158478,39.57
28,28,MUX,564737024.0,Materials,1.56,0.0,0.0
29,29,COHU,554996352.0,Information Technology,13.505,0.0,27.21
30,30,KEWL,90302096.0,Materials,70.0,44.2424452,0.0
31,31,SANM,2234800640.0,Information Technology,32.11,11.53523933,-15.76
32,32,APEI,358504096.0,Consumer Discretionary,22.34,14.05705978,26.19
33,33,STAA,1148317696.0,Health Care,25.78,157.6835602,119.39
34,34,ODC,258934784.0,Consumer Staples,34.06,20.9981585,5.02
35,35,NAII,60329352.0,Consumer Staples,8.35,9.023681172,0.0
36,36,IONS,8417372672.0,Health Care,59.91,50.69269734,-20.8
37,37,BIG,955883328.0,Consumer Discretionary,24.5,6.330729553,82.04
38,38,IDRA,83357792.0,Health Care,2.89,0.0,0.0
39,39,RIG,2734761472.0,Energy,4.47,0.0,-81.95
40,40,UEIC,706452928.0,Consumer Discretionary,50.9,25.18161427,-25.85
41,41,DX,364404800.0,Financials,14.78,14.20533728,2.91
42,42,NKE,147162000000.0,Consumer Discretionary,93.92,35.04477603,33.67
43,43,KBH,2999688704.0,Consumer Discretionary,34.0,12.80674528,12.91
44,44,K,21919664128.0,Consumer Staples,64.35,17.9060822,0.37
45,45,MRTN,1135312256.0,Industrials,13.85333333,20.82231056,17.81
46,46,FNLC,299470272.0,Financials,27.49,11.9525533,-23.32
47,47,PESI,54796784.0,Industrials,4.54,0.0,55.29
48,48,KMT,2546140160.0,Industrials,30.74,10.18030129,-5.86
49,49,TKR,3308566272.0,Industrials,43.51,9.288632749,24.62
50,50,PHM,10022692864.0,Consumer Discretionary,36.55,10.09389125,26.65
51,51,JBSS,1100170880.0,Consumer Staples,96.6,28.25606525,-21.97
52,52,INTU,69163982848.0,Information Technology,265.94,45.06095878,22.66
53,53,ORLY,30491119616.0,Consumer Discretionary,398.51,23.77194536,15.7
54,54,AFL,38736855040.0,Financials,52.32,11.93368028,-30.52
55,55,REFR,99307016.0,Information Technology,3.2,0.0,-15.62
56,56,RELL,88294968.0,Information Technology,5.8,0.0,0.0
