,index,Ticker,Mkt Cap,Sector,Price,P/E
0,0,ESTE,168568976.0,Energy,2.59,2.582907267
1,1,OSK,5005809152.0,Industrials,73.5,13.18721759
2,2,MTZ,3115127296.0,Industrials,42.2,10.65028866
3,3,HLI,4120152576.0,Financials,59.05,21.12273581
4,4,UTMD,290978080.0,Health Care,79.87,23.7637612
5,5,ICAD,201754208.0,Health Care,8.81,0.0
6,6,UFCS,508634688.0,Financials,20.32,0.0
7,7,UTL,579496768.0,Utilities,38.64,17.97209335
8,8,GIII,633982400.0,Consumer Discretionary,13.11,6.685906888
9,9,AMSC,333547040.0,Industrials,14.48,0.0
10,10,AMSWA,456024128.0,Information Technology,14.04,61.04347814
11,11,HFC,3193324544.0,Energy,19.71,0.0
12,12,QDEL,9203020800.0,Health Care,219.38,57.43755839
13,13,BKE,1007423616.0,Consumer Discretionary,20.39,10.40306158
14,14,XLNX,25467291648.0,Information Technology,104.24,36.03819149
15,15,OLP,334392288.0,Real Estate,16.36,27.8832581
16,16,CNBKA,366034336.0,Financials,65.74,10.3060009
17,17,ONB,2073568128.0,Financials,12.56,9.523361871
18,18,SHYF,671469312.0,Industrials,18.88,17.43564831
19,19,OTTR,1478342528.0,Utilities,36.17,16.82325577
20,20,VMI,2652681216.0,Industrials,124.18,16.68103341
21,21,NTRS,16224982016.0,Financials,77.97,12.38486167
22,22,NATR,225739536.0,Consumer Staples,11.57,19.20131193
23,23,COHU,719204992.0,Information Technology,17.18,0.0
24,24,PRMW,2275074413.0,Consumer Staples,14.20629555,114.6501146
25,25,SANM,1833010688.0,Information Technology,27.05,10.61947882
26,26,KRMD,317027104.0,Health Care,7.22,91.72563747
27,27,APEI,417127744.0,Consumer Discretionary,28.19,27.95767171
28,28,STAA,2590810368.0,Health Care,56.56,933.5336234
29,29,ODC,267685728.0,Consumer Staples,35.77,15.90283126
30,30,IONS,6628623872.0,Health Care,47.45,50.53086741
31,31,BIG,1750864000.0,Consumer Discretionary,44.6,7.072567679
32,32,RIG,495930848.0,Energy,0.8069,0.0
33,33,UEIC,525776768.0,Consumer Discretionary,37.74,12.27681599
34,34,DX,351968800.0,Financials,15.21,6.460469839
35,35,NKE,195828000000.0,Consumer Discretionary,125.54,67.186075
36,36,KBH,3475334400.0,Consumer Discretionary,38.39,10.79972222
37,37,K,22149154816.0,Consumer Staples,64.59,15.81136232
38,38,MRTN,1349058688.0,Industrials,16.32,23.80125965
39,39,FNLC,230613280.0,Financials,21.08,8.820083515
40,40,PESI,85620280.0,Industrials,7.05,18.40116068
41,41,J,12079399936.0,Industrials,92.77,19.3327102
42,42,KMT,2409165824.0,Industrials,28.94,30.23625859
43,43,TKR,4071827968.0,Industrials,54.22,11.89721216
44,44,PHM,12413943808.0,Consumer Discretionary,46.29,11.17791396
45,45,JBSS,860812224.0,Consumer Staples,75.38,16.27302426
46,46,INTU,85404131328.0,Information Technology,326.21,47.07562038
47,47,ORLY,34149787648.0,Consumer Discretionary,461.08,22.60196094
48,48,AFL,25914365952.0,Financials,36.35,7.792888715
49,49,REFR,85254624.0,Information Technology,2.7,0.0
50,50,SNFCA,107603648.0,Financials,6.095238095,10.20220047
51,51,C,89749192704.0,Financials,43.11,7.962717326
52,52,LMT,107143000000.0,Industrials,383.28,13.76826004
53,53,FUN,1591763968.0,Consumer Discretionary,28.07,0.0
54,54,FKYS,110239360.0,Financials,18.85,10.10139457
55,55,EZPW,276990848.0,Financials,5.03,5.620482231
56,56,ROP,41372291072.0,Industrials,395.11,40.62845334
57,57,AMED,7676092416.0,Health Care,236.43,56.87539656
58,58,WDFC,2586880512.0,Consumer Staples,189.31,52.684089
59,59,NNN,5988868096.0,Real Estate,34.51,22.5020944
60,60,ROST,33222449152.0,Consumer Discretionary,93.32,62.21333596
61,61,SBUX,100440000000.0,Consumer Discretionary,85.92,62.91072006
62,62,CL,66148425728.0,Consumer Staples,77.15,25.60388203
63,63,IIN,108813488.0,Health Care,12.18,0.0
64,64,NOBH,83517504.0,Consumer Discretionary,23.0,14.16886086
65,65,CLH,3117405952.0,Industrials,56.03,26.88485433
66,66,LCUT,205714592.0,Consumer Discretionary,9.45,20.76188368
67,67,ECL,57031294976.0,Materials,199.84,37.8506061
68,68,GTN,1322066432.0,Communication Services,13.77,10.68498759
69,69,VNO,6443704832.0,Real Estate,33.71,0.0
70,70,DOV,15597727744.0,Industrials,108.34,21.51972884
71,71,CSX,59421630464.0,Industrials,25.89,21.67988195
72,72,CTS,710853568.0,Information Technology,22.03,23.82015679
73,73,RRD,104244000.0,Industrials,1.46,1.490007235
74,74,BIIB,44910366720.0,Health Care,283.68,8.02340732
75,75,CCK,10358082560.0,Materials,76.86,18.64846418
76,76,EFX,19056674816.0,Industrials,156.9,31.2319783
77,77,PKI,14033840128.0,Health Care,125.51,38.76820266
78,78,HRTX,1346474880.0,Health Care,14.82,0.0
79,79,ESE,2097598208.0,Industrials,80.56,27.77930972
80,80,MRK,209801000000.0,Health Care,79.0949817,14.2868619
81,81,DY,1681748992.0,Industrials,52.82,33.50247304
82,82,LSCG,98005504.0,Industrials,0.45,0.0
83,83,MDP,596625280.0,Communication Services,13.12,0.0
84,84,VMC,17952018432.0,Materials,135.54,28.50563109
85,85,TCBK,728803008.0,Financials,24.49,10.69776141
86,86,IDXX,33435844608.0,Health Care,393.11,74.3119098
87,87,KO,212066000000.0,Consumer Staples,49.37,25.34157503
88,88,OXM,681108736.0,Consumer Discretionary,40.36,173.5853944
89,89,PCG,18230435840.0,Utilities,9.39,2.474989218
90,90,BANF,1333944320.0,Financials,40.84,12.09195565
91,91,PTEN,534107392.0,Energy,2.85,0.0
92,92,REGN,59556335616.0,Health Care,559.78,22.59950949
93,93,TELL,256960000.0,Energy,0.7968,0.0
94,94,MTW,290322144.0,Industrials,8.41,50.01041139
95,95,IVC,258834480.0,Health Care,7.52,0.0
96,96,NVEC,237303664.0,Information Technology,49.08,17.81543825
97,97,LCI,245748224.0,Health Care,6.11,46.68897742
98,98,HST,7609789952.0,Real Estate,10.79,0.0
99,99,STRL,397447616.0,Industrials,14.16,6.454212532
100,100,MSEX,1085437056.0,Utilities,62.15,29.45497569
101,101,LANC,4921291264.0,Consumer Staples,178.8,35.73969955
102,102,ACTG,170999696.0,Industrials,3.47,0.0
103,103,LXP,2892352768.0,Real Estate,10.45,90.56714722
104,104,NNBR,220575120.0,Industrials,5.16,0.0
105,105,LYTS,177798464.0,Industrials,6.75,0.0
106,106,ALL,29401442304.0,Financials,94.14,8.551606489
107,107,SRDX,531130656.0,Health Care,38.91,58.75921619
108,108,OMI,1601143936.0,Health Care,25.11,228.8865649
109,109,TEN,5896479258.0,Energy,4.9947442,36.50541821
110,110,CNK,1177639936.0,Communication Services,10.0,0.0
111,111,ADC,3427079680.0,Real Estate,63.64,38.83360067
112,112,CME,60001865728.0,Financials,167.31,24.97231209
113,113,ALLY,9372096512.0,Financials,25.07,12.33456932
114,114,THG,3514681088.0,Financials,93.18,10.85245819
115,115,VBIV,639815616.0,Health Care,2.86,0.0
116,116,SRGA,137477408.0,Health Care,1.81,2.542302641
117,117,ZEUS,125810864.0,Materials,11.36,0.0
118,118,WKHS,2657810944.0,Consumer Discretionary,25.28,0.0
119,119,PLUS,992110656.0,Information Technology,73.2,13.73048436
120,120,DISH,15249609728.0,Communication Services,29.03,10.58118848
121,121,AEO,2460147968.0,Consumer Discretionary,14.81,0.0
122,122,NVAX,6639487488.0,Health Care,108.35,0.0
123,123,MHO,1314434176.0,Consumer Discretionary,46.05,7.736093308
124,124,CLB,678829696.0,Energy,15.26,21.13942305
125,125,HBNC,442692224.0,Financials,10.09,7.173274691
126,126,RYN,3609380352.0,Real Estate,26.44,97.95422537
127,127,PTN,108675640.0,Health Care,0.4728,0.0
128,128,UTI,165662304.0,Consumer Discretionary,5.08,0.0
129,129,LYV,11705687040.0,Communication Services,53.88,0.0
130,130,MBWM,292483488.0,Financials,18.02,6.47517813
131,131,URBN,2034934528.0,Consumer Discretionary,20.81,0.0
132,132,REG,6457060352.0,Real Estate,38.02,29.76987446
133,133,RWWI,405125536.0,Information Technology,13.61,151.2222162
134,134,YUM,27517786112.0,Consumer Discretionary,91.3,31.43810487
135,135,OBCI,135591968.0,Consumer Staples,14.33,23.704561
136,136,INVA,1059550912.0,Health Care,10.45,6.603166698
137,137,TSCO,16659506176.0,Consumer Discretionary,143.34,24.55387544
138,138,CCBG,315301376.0,Financials,18.79,10.38121546
139,139,RICK,186155728.0,Consumer Discretionary,20.4,9.526188678
140,140,OXSQ,122486328.0,Financials,2.47,5.371316601
141,141,DAKT,176675456.0,Information Technology,3.96,196.2922352
142,142,AMRC,1594071808.0,Industrials,33.4,36.01567474
143,143,SIX,1720667520.0,Consumer Discretionary,20.3,0.0
144,144,IT,11149613056.0,Information Technology,124.95,39.25367991
145,145,NBIX,8967388160.0,Health Care,96.16,29.12306771
146,146,NBTB,1169656064.0,Financials,26.82,12.302752
147,147,NBR,178309152.0,Energy,24.44,0.0
148,148,AMNB,229373568.0,Financials,20.92,7.517637902
149,149,MLP,209564768.0,Real Estate,10.82,1180.964795
