ctype,ctype_error,rel_corr_error
brightness,1.0254110612855007,0.8852459016393447
contrast,0.7886488775942396,0.7190082644628099
defocus_blur,1.063235294117647,1.052012383900929
elastic_transform,0.9099678456591641,0.8083028083028085
fog,0.5866121614716402,0.4425587467362924
frost,0.8320185614849189,0.7647398843930638
gaussian_noise,0.9351661879359868,0.8991053677932406
glass_blur,0.9028654686741134,0.8500611995104038
impulse_noise,0.8735800659582267,0.830729166666667
jpeg_compression,0.9300864100549883,0.8419811320754721
motion_blur,0.7932530120481928,0.7127272727272729
pixelate,0.7606892150606254,0.6322241681260947
shot_noise,0.9368337939202525,0.9027514231499051
snow,0.8256648374841705,0.7644032921810701
zoom_blur,0.7722994173016585,0.6937984496124033
speckle_noise,0.8662142510906446,0.8040293040293041
gaussian_blur,1.0778666666666668,1.0696551724137933
spatter,0.8906752411575561,0.8097345132743363
saturate,1.0229226361031518,0.9662379421221867
Clean,0.09399999999999997,0.0
MCE,0.8838953160562812,0.8131213891114422
