ctype,ctype_error,rel_corr_error
brightness,1.1375186846038865,1.1516393442622956
contrast,0.6755612028801354,0.5759297520661156
defocus_blur,0.9269607843137255,0.873684210526316
elastic_transform,0.9131832797427653,0.800976800976801
fog,0.6320899335717935,0.4941253263707573
frost,0.8245939675174014,0.7497109826589596
gaussian_noise,0.5945835043085761,0.48161033797216707
glass_blur,0.8698397280233122,0.8023255813953488
impulse_noise,0.5423231953096372,0.43402777777777785
jpeg_compression,0.8091123330714846,0.6485849056603774
motion_blur,0.8033734939759036,0.7193939393939395
pixelate,0.7415443522654754,0.597197898423818
shot_noise,0.6166600868535334,0.5132827324478179
snow,0.9434360489658083,0.9027777777777779
zoom_blur,0.797400268937696,0.7192691029900332
speckle_noise,0.6262724188075617,0.4957264957264957
gaussian_blur,0.9455999999999999,0.8917241379310346
spatter,0.8019292604501606,0.6787610619469026
saturate,1.1595033428844317,1.1800643086816722
Clean,0.09599999999999997,0.0
MCE,0.808499257183331,0.7216217092098108
