ctype,ctype_error,rel_corr_error
brightness,3.671150971599402,2.299180327868853
contrast,1.5188479457856838,0.8734504132231404
defocus_blur,1.5401960784313729,0.772136222910217
elastic_transform,1.8094855305466235,0.43467643467643424
fog,1.5365355135411345,0.7258485639686685
frost,1.4269141531322507,0.6820809248554913
gaussian_noise,1.1206401313089864,0.41550695825049705
glass_blur,1.3278290432248663,0.5134638922888616
impulse_noise,1.016123122022719,0.3810763888888889
jpeg_compression,1.7643362136684997,0.4139150943396226
motion_blur,1.3108433734939757,0.49999999999999983
pixelate,1.3848117421825146,0.24080560420315258
shot_noise,1.0904066324516384,0.41129032258064513
snow,1.3938370620514982,0.7237654320987651
zoom_blur,1.2061855670103094,0.44075304540420823
speckle_noise,1.2278235579253511,0.3894993894993893
gaussian_blur,1.6229333333333333,0.7917241379310346
spatter,1.7157556270096466,0.6840707964601773
saturate,2.9665711556829035,1.9469453376205785
Clean,0.379,0.0
MCE,1.6132224607580374,0.7179046993194014
