Corruptions,Severity,FT-O-AugMix,Baseline (fc-O),FT-O,FT-F20,FT-F20C,FT-F20C-AugMix,FT-F5C,FT-F100C,FT-FALLC,FT-FALLC-AugMix
brightness,1,0.889,0.926,0.926,0.859,0.914,0.894,0.92,0.874,0.906,0.89
brightness,2,0.881,0.908,0.915,0.858,0.902,0.883,0.918,0.86,0.892,0.885
brightness,3,0.859,0.882,0.905,0.826,0.895,0.863,0.899,0.834,0.874,0.859
brightness,4,0.821,0.835,0.871,0.783,0.87,0.856,0.883,0.778,0.822,0.82
brightness,5,0.76,0.78,0.828,0.73,0.829,0.818,0.843,0.705,0.76,0.785
contrast,1,0.833,0.822,0.835,0.804,0.88,0.853,0.875,0.851,0.881,0.855
contrast,2,0.77,0.752,0.775,0.747,0.848,0.815,0.813,0.826,0.841,0.822
contrast,3,0.635,0.61,0.62,0.623,0.766,0.746,0.687,0.775,0.799,0.779
contrast,4,0.342,0.301,0.31,0.335,0.457,0.499,0.358,0.56,0.607,0.6
contrast,5,0.13,0.154,0.124,0.127,0.215,0.225,0.177,0.309,0.345,0.349
defocus_blur,1,0.746,0.806,0.773,0.651,0.813,0.787,0.824,0.785,0.809,0.807
defocus_blur,2,0.66,0.742,0.683,0.554,0.741,0.715,0.766,0.705,0.731,0.737
defocus_blur,3,0.542,0.584,0.505,0.37,0.589,0.565,0.621,0.493,0.597,0.622
defocus_blur,4,0.43,0.47,0.358,0.26,0.453,0.428,0.514,0.359,0.418,0.517
defocus_blur,5,0.352,0.358,0.277,0.2,0.348,0.336,0.419,0.29,0.307,0.426
elastic_transform,1,0.86,0.884,0.88,0.806,0.89,0.857,0.896,0.853,0.878,0.849
elastic_transform,2,0.738,0.747,0.787,0.702,0.792,0.729,0.797,0.723,0.768,0.739
elastic_transform,3,0.855,0.857,0.885,0.821,0.888,0.843,0.892,0.853,0.869,0.856
elastic_transform,4,0.797,0.786,0.851,0.787,0.851,0.802,0.853,0.811,0.844,0.807
elastic_transform,5,0.62,0.482,0.676,0.657,0.682,0.637,0.596,0.615,0.696,0.613
fog,1,0.82,0.783,0.824,0.817,0.871,0.851,0.849,0.851,0.873,0.835
