Corruptions,Severity,FT-O-AugMix,Baseline (fc-O),FT-O,FT-F20,FT-F20C,FT-F20C-AugMix,FT-F5C,FT-F100C,FT-FALLC,FT-FALLC-AugMix
brightness,1,0.111,0.074,0.074,0.141,0.086,0.106,0.08,0.126,0.094,0.11
brightness,2,0.119,0.092,0.085,0.142,0.098,0.117,0.082,0.14,0.108,0.115
brightness,3,0.141,0.118,0.095,0.174,0.105,0.137,0.101,0.166,0.126,0.141
brightness,4,0.179,0.165,0.129,0.217,0.13,0.144,0.117,0.222,0.178,0.18
brightness,5,0.24,0.22,0.172,0.27,0.171,0.182,0.157,0.295,0.24,0.215
contrast,1,0.167,0.178,0.165,0.196,0.12,0.147,0.125,0.149,0.119,0.145
contrast,2,0.23,0.248,0.225,0.253,0.152,0.185,0.187,0.174,0.159,0.178
contrast,3,0.365,0.39,0.38,0.377,0.234,0.254,0.313,0.225,0.201,0.221
contrast,4,0.658,0.699,0.69,0.665,0.543,0.501,0.642,0.44,0.393,0.4
contrast,5,0.87,0.846,0.876,0.873,0.785,0.775,0.823,0.691,0.655,0.651
defocus_blur,1,0.254,0.194,0.227,0.349,0.187,0.213,0.176,0.215,0.191,0.193
defocus_blur,2,0.34,0.258,0.317,0.446,0.259,0.285,0.234,0.295,0.269,0.263
defocus_blur,3,0.458,0.416,0.495,0.63,0.411,0.435,0.379,0.507,0.403,0.378
defocus_blur,4,0.57,0.53,0.642,0.74,0.547,0.572,0.486,0.641,0.582,0.483
defocus_blur,5,0.648,0.642,0.723,0.8,0.652,0.664,0.581,0.71,0.693,0.574
elastic_transform,1,0.14,0.116,0.12,0.194,0.11,0.143,0.104,0.147,0.122,0.151
elastic_transform,2,0.262,0.253,0.213,0.298,0.208,0.271,0.203,0.277,0.232,0.261
elastic_transform,3,0.145,0.143,0.115,0.179,0.112,0.157,0.108,0.147,0.131,0.144
elastic_transform,4,0.203,0.214,0.149,0.213,0.149,0.198,0.147,0.189,0.156,0.193
elastic_transform,5,0.38,0.518,0.324,0.343,0.318,0.363,0.404,0.385,0.304,0.387
fog,1,0.18,0.217,0.176,0.183,0.129,0.149,0.151,0.149,0.127,0.165
fog,2,0.213,0.289,0.208,0.216,0.147,0.17,0.196,0.173,0.154,0.188
fog,3,0.263,0.391,0.283,0.28,0.217,0.225,0.265,0.216,0.202,0.242
fog,4,0.296,0.449,0.319,0.307,0.247,0.249,0.321,0.281,0.254,0.274
fog,5,0.38,0.611,0.445,0.42,0.384,0.355,0.458,0.442,0.384,0.368
frost,1,0.235,0.204,0.192,0.226,0.136,0.176,0.14,0.19,0.133,0.185
frost,2,0.408,0.362,0.341,0.35,0.213,0.293,0.278,0.267,0.219,0.3
