ctype,sev_level,Acc,Error_rate
brightness,1,0.926,0.07399999999999995
brightness,2,0.915,0.08499999999999996
brightness,3,0.905,0.09499999999999997
brightness,4,0.871,0.129
brightness,5,0.8280000000000001,0.17199999999999993
contrast,1,0.835,0.16500000000000004
contrast,2,0.775,0.22499999999999998
contrast,3,0.62,0.38
contrast,4,0.31,0.69
contrast,5,0.124,0.876
defocus_blur,1,0.773,0.22699999999999998
defocus_blur,2,0.683,0.31699999999999995
defocus_blur,3,0.505,0.495
defocus_blur,4,0.358,0.642
defocus_blur,5,0.277,0.723
elastic_transform,1,0.88,0.12
elastic_transform,2,0.787,0.21299999999999997
elastic_transform,3,0.885,0.11499999999999999
elastic_transform,4,0.851,0.14900000000000002
elastic_transform,5,0.676,0.32399999999999995
fog,1,0.8240000000000001,0.17599999999999993
fog,2,0.792,0.20799999999999996
fog,3,0.717,0.28300000000000003
fog,4,0.681,0.31899999999999995
fog,5,0.555,0.44499999999999995
frost,1,0.808,0.19199999999999995
frost,2,0.659,0.34099999999999997
frost,3,0.518,0.482
frost,4,0.515,0.485
frost,5,0.445,0.5549999999999999
gaussian_noise,1,0.768,0.23199999999999998
gaussian_noise,2,0.5650000000000001,0.43499999999999994
gaussian_noise,3,0.325,0.675
gaussian_noise,4,0.197,0.8029999999999999
gaussian_noise,5,0.127,0.873
glass_blur,1,0.796,0.20399999999999996
glass_blur,2,0.715,0.28500000000000003
glass_blur,3,0.526,0.474
glass_blur,4,0.461,0.5389999999999999
glass_blur,5,0.368,0.632
impulse_noise,1,0.624,0.376
impulse_noise,2,0.42,0.5800000000000001
impulse_noise,3,0.298,0.702
impulse_noise,4,0.185,0.815
impulse_noise,5,0.126,0.874
jpeg_compression,1,0.888,0.11199999999999999
jpeg_compression,2,0.86,0.14
jpeg_compression,3,0.843,0.15700000000000003
jpeg_compression,4,0.752,0.248
jpeg_compression,5,0.649,0.351
motion_blur,1,0.858,0.14200000000000002
motion_blur,2,0.755,0.245
motion_blur,3,0.583,0.41700000000000004
motion_blur,4,0.436,0.5640000000000001
motion_blur,5,0.376,0.624
pixelate,1,0.897,0.10299999999999998
pixelate,2,0.881,0.119
pixelate,3,0.8220000000000001,0.17799999999999994
pixelate,4,0.722,0.278
pixelate,5,0.652,0.348
shot_noise,1,0.742,0.258
shot_noise,2,0.499,0.501
shot_noise,3,0.308,0.692
shot_noise,4,0.186,0.8140000000000001
shot_noise,5,0.126,0.874
snow,1,0.748,0.252
snow,2,0.588,0.41200000000000003
snow,3,0.596,0.404
snow,4,0.537,0.46299999999999997
snow,5,0.419,0.581
zoom_blur,1,0.707,0.29300000000000004
zoom_blur,2,0.603,0.397
zoom_blur,3,0.56,0.43999999999999995
zoom_blur,4,0.496,0.504
zoom_blur,5,0.455,0.5449999999999999
speckle_noise,1,0.796,0.20399999999999996
speckle_noise,2,0.676,0.32399999999999995
speckle_noise,3,0.385,0.615
speckle_noise,4,0.28200000000000003,0.718
speckle_noise,5,0.222,0.778
gaussian_blur,1,0.869,0.131
gaussian_blur,2,0.749,0.251
gaussian_blur,3,0.5680000000000001,0.43199999999999994
gaussian_blur,4,0.40900000000000003,0.591
gaussian_blur,5,0.241,0.759
spatter,1,0.907,0.09299999999999997
spatter,2,0.8130000000000001,0.18699999999999994
spatter,3,0.728,0.272
spatter,4,0.633,0.367
spatter,5,0.506,0.494
saturate,1,0.797,0.20299999999999996
saturate,2,0.735,0.265
saturate,3,0.902,0.09799999999999998
saturate,4,0.781,0.21899999999999997
saturate,5,0.641,0.359
