ctype,sev_level,Acc,Error_rate
brightness,1,0.894,0.10599999999999998
brightness,2,0.883,0.11699999999999999
brightness,3,0.863,0.137
brightness,4,0.856,0.14400000000000002
brightness,5,0.8180000000000001,0.18199999999999994
contrast,1,0.853,0.14700000000000002
contrast,2,0.8150000000000001,0.18499999999999994
contrast,3,0.746,0.254
contrast,4,0.499,0.501
contrast,5,0.225,0.775
defocus_blur,1,0.787,0.21299999999999997
defocus_blur,2,0.715,0.28500000000000003
defocus_blur,3,0.5650000000000001,0.43499999999999994
defocus_blur,4,0.428,0.5720000000000001
defocus_blur,5,0.336,0.6639999999999999
elastic_transform,1,0.857,0.14300000000000002
elastic_transform,2,0.729,0.271
elastic_transform,3,0.843,0.15700000000000003
elastic_transform,4,0.802,0.19799999999999995
elastic_transform,5,0.637,0.363
fog,1,0.851,0.14900000000000002
fog,2,0.8300000000000001,0.16999999999999993
fog,3,0.775,0.22499999999999998
fog,4,0.751,0.249
fog,5,0.645,0.355
frost,1,0.8240000000000001,0.17599999999999993
frost,2,0.707,0.29300000000000004
frost,3,0.597,0.403
frost,4,0.5720000000000001,0.42799999999999994
frost,5,0.507,0.493
gaussian_noise,1,0.796,0.20399999999999996
gaussian_noise,2,0.716,0.28400000000000003
gaussian_noise,3,0.593,0.40700000000000003
gaussian_noise,4,0.40700000000000003,0.593
gaussian_noise,5,0.209,0.791
glass_blur,1,0.811,0.18899999999999995
glass_blur,2,0.737,0.263
glass_blur,3,0.589,0.41100000000000003
glass_blur,4,0.545,0.45499999999999996
glass_blur,5,0.459,0.5409999999999999
impulse_noise,1,0.753,0.247
impulse_noise,2,0.671,0.32899999999999996
impulse_noise,3,0.579,0.42100000000000004
impulse_noise,4,0.386,0.614
impulse_noise,5,0.227,0.773
jpeg_compression,1,0.845,0.15500000000000003
jpeg_compression,2,0.8220000000000001,0.17799999999999994
jpeg_compression,3,0.797,0.20299999999999996
jpeg_compression,4,0.733,0.267
jpeg_compression,5,0.619,0.381
motion_blur,1,0.847,0.15300000000000002
motion_blur,2,0.779,0.22099999999999997
motion_blur,3,0.686,0.31399999999999995
motion_blur,4,0.553,0.44699999999999995
motion_blur,5,0.489,0.511
pixelate,1,0.86,0.14
pixelate,2,0.862,0.138
pixelate,3,0.782,0.21799999999999997
pixelate,4,0.677,0.32299999999999995
pixelate,5,0.627,0.373
shot_noise,1,0.797,0.20299999999999996
shot_noise,2,0.7010000000000001,0.29899999999999993
shot_noise,3,0.5640000000000001,0.43599999999999994
shot_noise,4,0.353,0.647
shot_noise,5,0.212,0.788
snow,1,0.766,0.23399999999999999
snow,2,0.64,0.36
snow,3,0.645,0.355
snow,4,0.529,0.471
snow,5,0.464,0.536
zoom_blur,1,0.773,0.22699999999999998
zoom_blur,2,0.6990000000000001,0.30099999999999993
zoom_blur,3,0.656,0.344
zoom_blur,4,0.602,0.398
zoom_blur,5,0.547,0.45299999999999996
speckle_noise,1,0.8210000000000001,0.17899999999999994
speckle_noise,2,0.789,0.21099999999999997
speckle_noise,3,0.645,0.355
speckle_noise,4,0.53,0.47
speckle_noise,5,0.428,0.5720000000000001
gaussian_blur,1,0.851,0.14900000000000002
gaussian_blur,2,0.739,0.261
gaussian_blur,3,0.608,0.392
gaussian_blur,4,0.47100000000000003,0.5289999999999999
gaussian_blur,5,0.31,0.69
spatter,1,0.882,0.118
spatter,2,0.803,0.19699999999999995
spatter,3,0.733,0.267
spatter,4,0.659,0.34099999999999997
spatter,5,0.538,0.46199999999999997
saturate,1,0.795,0.20499999999999996
saturate,2,0.741,0.259
saturate,3,0.87,0.13
saturate,4,0.793,0.20699999999999996
saturate,5,0.73,0.27
