ctype,sev_level,Acc,Error_rate
brightness,1,0.92,0.07999999999999996
brightness,2,0.918,0.08199999999999996
brightness,3,0.899,0.10099999999999998
brightness,4,0.883,0.11699999999999999
brightness,5,0.843,0.15700000000000003
contrast,1,0.875,0.125
contrast,2,0.8130000000000001,0.18699999999999994
contrast,3,0.687,0.31299999999999994
contrast,4,0.358,0.642
contrast,5,0.177,0.823
defocus_blur,1,0.8240000000000001,0.17599999999999993
defocus_blur,2,0.766,0.23399999999999999
defocus_blur,3,0.621,0.379
defocus_blur,4,0.514,0.486
defocus_blur,5,0.419,0.581
elastic_transform,1,0.896,0.10399999999999998
elastic_transform,2,0.797,0.20299999999999996
elastic_transform,3,0.892,0.10799999999999998
elastic_transform,4,0.853,0.14700000000000002
elastic_transform,5,0.596,0.404
fog,1,0.849,0.15100000000000002
fog,2,0.804,0.19599999999999995
fog,3,0.735,0.265
fog,4,0.679,0.32099999999999995
fog,5,0.542,0.45799999999999996
frost,1,0.86,0.14
frost,2,0.722,0.278
frost,3,0.6,0.4
frost,4,0.589,0.41100000000000003
frost,5,0.53,0.47
gaussian_noise,1,0.76,0.24
gaussian_noise,2,0.581,0.41900000000000004
gaussian_noise,3,0.337,0.663
gaussian_noise,4,0.191,0.8089999999999999
gaussian_noise,5,0.095,0.905
glass_blur,1,0.845,0.15500000000000003
glass_blur,2,0.773,0.22699999999999998
glass_blur,3,0.619,0.381
glass_blur,4,0.549,0.45099999999999996
glass_blur,5,0.452,0.548
impulse_noise,1,0.642,0.358
impulse_noise,2,0.45,0.55
impulse_noise,3,0.34,0.6599999999999999
impulse_noise,4,0.168,0.832
impulse_noise,5,0.095,0.905
jpeg_compression,1,0.876,0.124
jpeg_compression,2,0.858,0.14200000000000002
jpeg_compression,3,0.84,0.16000000000000003
jpeg_compression,4,0.782,0.21799999999999997
jpeg_compression,5,0.685,0.31499999999999995
motion_blur,1,0.88,0.12
motion_blur,2,0.8130000000000001,0.18699999999999994
motion_blur,3,0.675,0.32499999999999996
motion_blur,4,0.518,0.482
motion_blur,5,0.43,0.5700000000000001
pixelate,1,0.901,0.09899999999999998
pixelate,2,0.895,0.10499999999999998
pixelate,3,0.811,0.18899999999999995
pixelate,4,0.6960000000000001,0.30399999999999994
pixelate,5,0.665,0.33499999999999996
shot_noise,1,0.718,0.28200000000000003
shot_noise,2,0.509,0.491
shot_noise,3,0.312,0.688
shot_noise,4,0.16,0.84
shot_noise,5,0.093,0.907
snow,1,0.778,0.22199999999999998
snow,2,0.606,0.394
snow,3,0.621,0.379
snow,4,0.505,0.495
snow,5,0.42,0.5800000000000001
zoom_blur,1,0.764,0.236
zoom_blur,2,0.6890000000000001,0.31099999999999994
zoom_blur,3,0.63,0.37
zoom_blur,4,0.5710000000000001,0.42899999999999994
zoom_blur,5,0.523,0.477
speckle_noise,1,0.761,0.239
speckle_noise,2,0.662,0.33799999999999997
speckle_noise,3,0.394,0.606
speckle_noise,4,0.267,0.733
speckle_noise,5,0.18,0.8200000000000001
gaussian_blur,1,0.891,0.10899999999999999
gaussian_blur,2,0.798,0.20199999999999996
gaussian_blur,3,0.676,0.32399999999999995
gaussian_blur,4,0.544,0.45599999999999996
gaussian_blur,5,0.377,0.623
spatter,1,0.907,0.09299999999999997
spatter,2,0.857,0.14300000000000002
spatter,3,0.786,0.21399999999999997
spatter,4,0.645,0.355
spatter,5,0.545,0.45499999999999996
saturate,1,0.8260000000000001,0.17399999999999993
saturate,2,0.791,0.20899999999999996
saturate,3,0.904,0.09599999999999997
saturate,4,0.788,0.21199999999999997
saturate,5,0.648,0.352
