ctype,sev_level,Acc,Error_rate
brightness,1,0.906,0.09399999999999997
brightness,2,0.892,0.10799999999999998
brightness,3,0.874,0.126
brightness,4,0.8220000000000001,0.17799999999999994
brightness,5,0.76,0.24
contrast,1,0.881,0.119
contrast,2,0.841,0.15900000000000003
contrast,3,0.799,0.20099999999999996
contrast,4,0.607,0.393
contrast,5,0.34500000000000003,0.655
defocus_blur,1,0.809,0.19099999999999995
defocus_blur,2,0.731,0.269
defocus_blur,3,0.597,0.403
defocus_blur,4,0.418,0.5820000000000001
defocus_blur,5,0.307,0.6930000000000001
elastic_transform,1,0.878,0.122
elastic_transform,2,0.768,0.23199999999999998
elastic_transform,3,0.869,0.131
elastic_transform,4,0.844,0.15600000000000003
elastic_transform,5,0.6960000000000001,0.30399999999999994
fog,1,0.873,0.127
fog,2,0.846,0.15400000000000003
fog,3,0.798,0.20199999999999996
fog,4,0.746,0.254
fog,5,0.616,0.384
frost,1,0.867,0.133
frost,2,0.781,0.21899999999999997
frost,3,0.716,0.28400000000000003
frost,4,0.6880000000000001,0.31199999999999994
frost,5,0.642,0.358
gaussian_noise,1,0.879,0.121
gaussian_noise,2,0.84,0.16000000000000003
gaussian_noise,3,0.756,0.244
gaussian_noise,4,0.648,0.352
gaussian_noise,5,0.497,0.503
glass_blur,1,0.846,0.15400000000000003
glass_blur,2,0.774,0.22599999999999998
glass_blur,3,0.627,0.373
glass_blur,4,0.5650000000000001,0.43499999999999994
glass_blur,5,0.467,0.5329999999999999
impulse_noise,1,0.8280000000000001,0.17199999999999993
impulse_noise,2,0.778,0.22199999999999998
impulse_noise,3,0.734,0.266
impulse_noise,4,0.632,0.368
impulse_noise,5,0.49,0.51
jpeg_compression,1,0.877,0.123
jpeg_compression,2,0.859,0.14100000000000001
jpeg_compression,3,0.834,0.16600000000000004
jpeg_compression,4,0.778,0.22199999999999998
jpeg_compression,5,0.685,0.31499999999999995
motion_blur,1,0.87,0.13
motion_blur,2,0.792,0.20799999999999996
motion_blur,3,0.674,0.32599999999999996
motion_blur,4,0.51,0.49
motion_blur,5,0.43,0.5700000000000001
pixelate,1,0.881,0.119
pixelate,2,0.883,0.11699999999999999
pixelate,3,0.8290000000000001,0.17099999999999993
pixelate,4,0.733,0.267
pixelate,5,0.6950000000000001,0.30499999999999994
shot_noise,1,0.863,0.137
shot_noise,2,0.797,0.20299999999999996
shot_noise,3,0.722,0.278
shot_noise,4,0.6,0.4
shot_noise,5,0.491,0.509
snow,1,0.803,0.19699999999999995
snow,2,0.7030000000000001,0.29699999999999993
snow,3,0.679,0.32099999999999995
snow,4,0.585,0.41500000000000004
snow,5,0.534,0.46599999999999997
zoom_blur,1,0.778,0.22199999999999998
zoom_blur,2,0.705,0.29500000000000004
zoom_blur,3,0.62,0.38
zoom_blur,4,0.549,0.45099999999999996
zoom_blur,5,0.464,0.536
speckle_noise,1,0.871,0.129
speckle_noise,2,0.836,0.16400000000000003
speckle_noise,3,0.746,0.254
speckle_noise,4,0.687,0.31299999999999994
speckle_noise,5,0.605,0.395
gaussian_blur,1,0.878,0.122
gaussian_blur,2,0.772,0.22799999999999998
gaussian_blur,3,0.658,0.34199999999999997
gaussian_blur,4,0.494,0.506
gaussian_blur,5,0.28200000000000003,0.718
spatter,1,0.909,0.09099999999999997
spatter,2,0.85,0.15000000000000002
spatter,3,0.793,0.20699999999999996
spatter,4,0.748,0.252
spatter,5,0.644,0.356
saturate,1,0.8160000000000001,0.18399999999999994
saturate,2,0.756,0.244
saturate,3,0.882,0.118
saturate,4,0.729,0.271
saturate,5,0.635,0.365
