ctype,sev_level,Acc,Error_rate
brightness,1,0.89,0.10999999999999999
brightness,2,0.885,0.11499999999999999
brightness,3,0.859,0.14100000000000001
brightness,4,0.8200000000000001,0.17999999999999994
brightness,5,0.785,0.21499999999999997
contrast,1,0.855,0.14500000000000002
contrast,2,0.8220000000000001,0.17799999999999994
contrast,3,0.779,0.22099999999999997
contrast,4,0.6,0.4
contrast,5,0.34900000000000003,0.651
defocus_blur,1,0.807,0.19299999999999995
defocus_blur,2,0.737,0.263
defocus_blur,3,0.622,0.378
defocus_blur,4,0.517,0.483
defocus_blur,5,0.426,0.5740000000000001
elastic_transform,1,0.849,0.15100000000000002
elastic_transform,2,0.739,0.261
elastic_transform,3,0.856,0.14400000000000002
elastic_transform,4,0.807,0.19299999999999995
elastic_transform,5,0.613,0.387
fog,1,0.835,0.16500000000000004
fog,2,0.812,0.18799999999999994
fog,3,0.758,0.242
fog,4,0.726,0.274
fog,5,0.632,0.368
frost,1,0.8150000000000001,0.18499999999999994
frost,2,0.7000000000000001,0.29999999999999993
frost,3,0.611,0.389
frost,4,0.583,0.41700000000000004
frost,5,0.514,0.486
gaussian_noise,1,0.853,0.14700000000000002
gaussian_noise,2,0.8150000000000001,0.18499999999999994
gaussian_noise,3,0.749,0.251
gaussian_noise,4,0.65,0.35
gaussian_noise,5,0.484,0.516
glass_blur,1,0.841,0.15900000000000003
glass_blur,2,0.772,0.22799999999999998
glass_blur,3,0.59,0.41000000000000003
glass_blur,4,0.537,0.46299999999999997
glass_blur,5,0.46900000000000003,0.5309999999999999
impulse_noise,1,0.842,0.15800000000000003
impulse_noise,2,0.798,0.20199999999999996
impulse_noise,3,0.758,0.242
impulse_noise,4,0.628,0.372
impulse_noise,5,0.494,0.506
jpeg_compression,1,0.867,0.133
jpeg_compression,2,0.854,0.14600000000000002
jpeg_compression,3,0.8300000000000001,0.16999999999999993
jpeg_compression,4,0.759,0.241
jpeg_compression,5,0.66,0.33999999999999997
motion_blur,1,0.846,0.15400000000000003
motion_blur,2,0.786,0.21399999999999997
motion_blur,3,0.687,0.31299999999999994
motion_blur,4,0.542,0.45799999999999996
motion_blur,5,0.47200000000000003,0.528
pixelate,1,0.878,0.122
pixelate,2,0.865,0.135
pixelate,3,0.791,0.20899999999999996
pixelate,4,0.682,0.31799999999999995
pixelate,5,0.622,0.378
shot_noise,1,0.846,0.15400000000000003
shot_noise,2,0.796,0.20399999999999996
shot_noise,3,0.732,0.268
shot_noise,4,0.585,0.41500000000000004
shot_noise,5,0.47900000000000004,0.5209999999999999
snow,1,0.742,0.258
snow,2,0.5680000000000001,0.43199999999999994
snow,3,0.586,0.41400000000000003
snow,4,0.47200000000000003,0.528
snow,5,0.397,0.603
zoom_blur,1,0.761,0.239
zoom_blur,2,0.6900000000000001,0.30999999999999994
zoom_blur,3,0.661,0.33899999999999997
zoom_blur,4,0.581,0.41900000000000004
zoom_blur,5,0.528,0.472
speckle_noise,1,0.851,0.14900000000000002
speckle_noise,2,0.8260000000000001,0.17399999999999993
speckle_noise,3,0.75,0.25
speckle_noise,4,0.678,0.32199999999999995
speckle_noise,5,0.603,0.397
gaussian_blur,1,0.853,0.14700000000000002
gaussian_blur,2,0.765,0.235
gaussian_blur,3,0.66,0.33999999999999997
gaussian_blur,4,0.562,0.43799999999999994
gaussian_blur,5,0.387,0.613
spatter,1,0.892,0.10799999999999998
spatter,2,0.8280000000000001,0.17199999999999993
spatter,3,0.762,0.238
spatter,4,0.6990000000000001,0.30099999999999993
spatter,5,0.5720000000000001,0.42799999999999994
saturate,1,0.777,0.22299999999999998
saturate,2,0.711,0.28900000000000003
saturate,3,0.86,0.14
saturate,4,0.762,0.238
saturate,5,0.676,0.32399999999999995
