ctype,sev_level,Acc,Error_rate
brightness,1,0.859,0.14100000000000001
brightness,2,0.858,0.14200000000000002
brightness,3,0.8260000000000001,0.17399999999999993
brightness,4,0.783,0.21699999999999997
brightness,5,0.73,0.27
contrast,1,0.804,0.19599999999999995
contrast,2,0.747,0.253
contrast,3,0.623,0.377
contrast,4,0.335,0.665
contrast,5,0.127,0.873
defocus_blur,1,0.651,0.349
defocus_blur,2,0.554,0.44599999999999995
defocus_blur,3,0.37,0.63
defocus_blur,4,0.26,0.74
defocus_blur,5,0.2,0.8
elastic_transform,1,0.806,0.19399999999999995
elastic_transform,2,0.7020000000000001,0.29799999999999993
elastic_transform,3,0.8210000000000001,0.17899999999999994
elastic_transform,4,0.787,0.21299999999999997
elastic_transform,5,0.657,0.34299999999999997
fog,1,0.8170000000000001,0.18299999999999994
fog,2,0.784,0.21599999999999997
fog,3,0.72,0.28
fog,4,0.6930000000000001,0.30699999999999994
fog,5,0.58,0.42000000000000004
frost,1,0.774,0.22599999999999998
frost,2,0.65,0.35
frost,3,0.515,0.485
frost,4,0.496,0.504
frost,5,0.421,0.579
gaussian_noise,1,0.762,0.238
gaussian_noise,2,0.562,0.43799999999999994
gaussian_noise,3,0.27,0.73
gaussian_noise,4,0.122,0.878
gaussian_noise,5,0.077,0.923
glass_blur,1,0.747,0.253
glass_blur,2,0.659,0.34099999999999997
glass_blur,3,0.517,0.483
glass_blur,4,0.456,0.544
glass_blur,5,0.339,0.661
impulse_noise,1,0.596,0.404
impulse_noise,2,0.383,0.617
impulse_noise,3,0.227,0.773
impulse_noise,4,0.095,0.905
impulse_noise,5,0.075,0.925
jpeg_compression,1,0.81,0.18999999999999995
jpeg_compression,2,0.8,0.19999999999999996
jpeg_compression,3,0.775,0.22499999999999998
jpeg_compression,4,0.727,0.273
jpeg_compression,5,0.637,0.363
motion_blur,1,0.797,0.20299999999999996
motion_blur,2,0.6970000000000001,0.30299999999999994
motion_blur,3,0.5700000000000001,0.42999999999999994
motion_blur,4,0.41300000000000003,0.587
motion_blur,5,0.337,0.663
pixelate,1,0.842,0.15800000000000003
pixelate,2,0.8280000000000001,0.17199999999999993
pixelate,3,0.778,0.22199999999999998
pixelate,4,0.717,0.28300000000000003
pixelate,5,0.671,0.32899999999999996
shot_noise,1,0.7010000000000001,0.29899999999999993
shot_noise,2,0.459,0.5409999999999999
shot_noise,3,0.234,0.766
shot_noise,4,0.109,0.891
shot_noise,5,0.078,0.922
snow,1,0.723,0.277
snow,2,0.5700000000000001,0.42999999999999994
snow,3,0.594,0.406
snow,4,0.484,0.516
snow,5,0.378,0.622
zoom_blur,1,0.682,0.31799999999999995
zoom_blur,2,0.597,0.403
zoom_blur,3,0.535,0.46499999999999997
zoom_blur,4,0.461,0.5389999999999999
zoom_blur,5,0.429,0.571
speckle_noise,1,0.74,0.26
speckle_noise,2,0.627,0.373
speckle_noise,3,0.272,0.728
speckle_noise,4,0.17200000000000001,0.828
speckle_noise,5,0.116,0.884
gaussian_blur,1,0.786,0.21399999999999997
gaussian_blur,2,0.599,0.401
gaussian_blur,3,0.43,0.5700000000000001
gaussian_blur,4,0.297,0.7030000000000001
gaussian_blur,5,0.189,0.8109999999999999
spatter,1,0.845,0.15500000000000003
spatter,2,0.751,0.249
spatter,3,0.657,0.34299999999999997
spatter,4,0.535,0.46499999999999997
spatter,5,0.428,0.5720000000000001
saturate,1,0.744,0.256
saturate,2,0.655,0.345
saturate,3,0.803,0.19699999999999995
saturate,4,0.617,0.383
saturate,5,0.483,0.517
