ctype,sev_level,Acc,Error_rate
brightness,1,0.578,0.42200000000000004
brightness,2,0.5730000000000001,0.42699999999999994
brightness,3,0.519,0.481
brightness,4,0.47200000000000003,0.528
brightness,5,0.402,0.598
contrast,1,0.456,0.544
contrast,2,0.384,0.616
contrast,3,0.29,0.71
contrast,4,0.166,0.834
contrast,5,0.11800000000000001,0.882
defocus_blur,1,0.505,0.495
defocus_blur,2,0.459,0.5409999999999999
defocus_blur,3,0.353,0.647
defocus_blur,4,0.293,0.7070000000000001
defocus_blur,5,0.248,0.752
elastic_transform,1,0.5750000000000001,0.42499999999999993
elastic_transform,2,0.493,0.507
elastic_transform,3,0.5750000000000001,0.42499999999999993
elastic_transform,4,0.5700000000000001,0.42999999999999994
elastic_transform,5,0.536,0.46399999999999997
fog,1,0.519,0.481
fog,2,0.47600000000000003,0.524
fog,3,0.4,0.6
fog,4,0.339,0.661
fog,5,0.259,0.741
frost,1,0.509,0.491
frost,2,0.40900000000000003,0.591
frost,3,0.353,0.647
frost,4,0.34500000000000003,0.655
frost,5,0.309,0.6910000000000001
gaussian_noise,1,0.5630000000000001,0.43699999999999994
gaussian_noise,2,0.525,0.475
gaussian_noise,3,0.47800000000000004,0.522
gaussian_noise,4,0.41600000000000004,0.584
gaussian_noise,5,0.28700000000000003,0.713
glass_blur,1,0.541,0.45899999999999996
glass_blur,2,0.513,0.487
glass_blur,3,0.462,0.538
glass_blur,4,0.40900000000000003,0.591
glass_blur,5,0.341,0.659
impulse_noise,1,0.546,0.45399999999999996
impulse_noise,2,0.505,0.495
impulse_noise,3,0.47700000000000004,0.5229999999999999
impulse_noise,4,0.399,0.601
impulse_noise,5,0.3,0.7
jpeg_compression,1,0.5670000000000001,0.43299999999999994
jpeg_compression,2,0.5670000000000001,0.43299999999999994
jpeg_compression,3,0.56,0.43999999999999995
jpeg_compression,4,0.539,0.46099999999999997
jpeg_compression,5,0.521,0.479
motion_blur,1,0.553,0.44699999999999995
motion_blur,2,0.514,0.486
motion_blur,3,0.455,0.5449999999999999
motion_blur,4,0.392,0.608
motion_blur,5,0.366,0.634
pixelate,1,0.586,0.41400000000000003
pixelate,2,0.578,0.42200000000000004
pixelate,3,0.5740000000000001,0.42599999999999993
pixelate,4,0.55,0.44999999999999996
pixelate,5,0.542,0.45799999999999996
shot_noise,1,0.561,0.43899999999999995
shot_noise,2,0.519,0.481
shot_noise,3,0.481,0.519
shot_noise,4,0.382,0.618
shot_noise,5,0.295,0.7050000000000001
snow,1,0.45,0.55
snow,2,0.366,0.634
snow,3,0.34500000000000003,0.655
snow,4,0.276,0.724
snow,5,0.261,0.739
zoom_blur,1,0.513,0.487
zoom_blur,2,0.487,0.513
zoom_blur,3,0.459,0.5409999999999999
zoom_blur,4,0.437,0.563
zoom_blur,5,0.41300000000000003,0.587
speckle_noise,1,0.5680000000000001,0.43199999999999994
speckle_noise,2,0.556,0.44399999999999995
speckle_noise,3,0.488,0.512
speckle_noise,4,0.456,0.544
speckle_noise,5,0.399,0.601
gaussian_blur,1,0.56,0.43999999999999995
gaussian_blur,2,0.47800000000000004,0.522
gaussian_blur,3,0.377,0.623
gaussian_blur,4,0.312,0.688
gaussian_blur,5,0.23,0.77
spatter,1,0.582,0.41800000000000004
spatter,2,0.542,0.45799999999999996
spatter,3,0.486,0.514
spatter,4,0.40700000000000003,0.593
spatter,5,0.315,0.685
saturate,1,0.418,0.5820000000000001
saturate,2,0.339,0.661
saturate,3,0.518,0.482
saturate,4,0.34600000000000003,0.6539999999999999
saturate,5,0.273,0.727
