ctype,sev_level,Acc,Error_rate
brightness,1,0.889,0.11099999999999999
brightness,2,0.881,0.119
brightness,3,0.859,0.14100000000000001
brightness,4,0.8210000000000001,0.17899999999999994
brightness,5,0.76,0.24
contrast,1,0.833,0.16700000000000004
contrast,2,0.77,0.22999999999999998
contrast,3,0.635,0.365
contrast,4,0.342,0.6579999999999999
contrast,5,0.13,0.87
defocus_blur,1,0.746,0.254
defocus_blur,2,0.66,0.33999999999999997
defocus_blur,3,0.542,0.45799999999999996
defocus_blur,4,0.43,0.5700000000000001
defocus_blur,5,0.352,0.648
elastic_transform,1,0.86,0.14
elastic_transform,2,0.738,0.262
elastic_transform,3,0.855,0.14500000000000002
elastic_transform,4,0.797,0.20299999999999996
elastic_transform,5,0.62,0.38
fog,1,0.8200000000000001,0.17999999999999994
fog,2,0.787,0.21299999999999997
fog,3,0.737,0.263
fog,4,0.704,0.29600000000000004
fog,5,0.62,0.38
frost,1,0.765,0.235
frost,2,0.592,0.40800000000000003
frost,3,0.467,0.5329999999999999
frost,4,0.438,0.562
frost,5,0.375,0.625
gaussian_noise,1,0.73,0.27
gaussian_noise,2,0.596,0.404
gaussian_noise,3,0.431,0.569
gaussian_noise,4,0.259,0.741
gaussian_noise,5,0.135,0.865
glass_blur,1,0.776,0.22399999999999998
glass_blur,2,0.683,0.31699999999999995
glass_blur,3,0.505,0.495
glass_blur,4,0.457,0.5429999999999999
glass_blur,5,0.40800000000000003,0.592
impulse_noise,1,0.618,0.382
impulse_noise,2,0.468,0.532
impulse_noise,3,0.381,0.619
impulse_noise,4,0.209,0.791
impulse_noise,5,0.129,0.871
jpeg_compression,1,0.8310000000000001,0.16899999999999993
jpeg_compression,2,0.787,0.21299999999999997
jpeg_compression,3,0.769,0.23099999999999998
jpeg_compression,4,0.678,0.32199999999999995
jpeg_compression,5,0.546,0.45399999999999996
motion_blur,1,0.842,0.15800000000000003
motion_blur,2,0.767,0.23299999999999998
motion_blur,3,0.668,0.33199999999999996
motion_blur,4,0.523,0.477
motion_blur,5,0.458,0.542
pixelate,1,0.847,0.15300000000000002
pixelate,2,0.839,0.16100000000000003
pixelate,3,0.773,0.22699999999999998
pixelate,4,0.674,0.32599999999999996
pixelate,5,0.631,0.369
shot_noise,1,0.718,0.28200000000000003
shot_noise,2,0.59,0.41000000000000003
shot_noise,3,0.426,0.5740000000000001
shot_noise,4,0.232,0.768
shot_noise,5,0.168,0.832
snow,1,0.709,0.29100000000000004
snow,2,0.535,0.46499999999999997
snow,3,0.558,0.44199999999999995
snow,4,0.493,0.507
snow,5,0.41600000000000004,0.584
zoom_blur,1,0.764,0.236
zoom_blur,2,0.682,0.31799999999999995
zoom_blur,3,0.641,0.359
zoom_blur,4,0.592,0.40800000000000003
zoom_blur,5,0.539,0.46099999999999997
speckle_noise,1,0.752,0.248
speckle_noise,2,0.7000000000000001,0.29999999999999993
speckle_noise,3,0.519,0.481
speckle_noise,4,0.406,0.594
speckle_noise,5,0.289,0.7110000000000001
gaussian_blur,1,0.858,0.14200000000000002
gaussian_blur,2,0.6960000000000001,0.30399999999999994
gaussian_blur,3,0.5660000000000001,0.43399999999999994
gaussian_blur,4,0.47900000000000004,0.5209999999999999
gaussian_blur,5,0.305,0.6950000000000001
spatter,1,0.873,0.127
spatter,2,0.754,0.246
spatter,3,0.656,0.344
spatter,4,0.588,0.41200000000000003
spatter,5,0.5,0.5
saturate,1,0.79,0.20999999999999996
saturate,2,0.719,0.281
saturate,3,0.882,0.118
saturate,4,0.793,0.20699999999999996
saturate,5,0.718,0.28200000000000003
