ctype,sev_level,Acc,Error_rate
brightness,1,0.926,0.07399999999999995
brightness,2,0.908,0.09199999999999997
brightness,3,0.882,0.118
brightness,4,0.835,0.16500000000000004
brightness,5,0.78,0.21999999999999997
contrast,1,0.8220000000000001,0.17799999999999994
contrast,2,0.752,0.248
contrast,3,0.61,0.39
contrast,4,0.301,0.6990000000000001
contrast,5,0.154,0.846
defocus_blur,1,0.806,0.19399999999999995
defocus_blur,2,0.742,0.258
defocus_blur,3,0.584,0.41600000000000004
defocus_blur,4,0.47000000000000003,0.53
defocus_blur,5,0.358,0.642
elastic_transform,1,0.884,0.11599999999999999
elastic_transform,2,0.747,0.253
elastic_transform,3,0.857,0.14300000000000002
elastic_transform,4,0.786,0.21399999999999997
elastic_transform,5,0.482,0.518
fog,1,0.783,0.21699999999999997
fog,2,0.711,0.28900000000000003
fog,3,0.609,0.391
fog,4,0.551,0.44899999999999995
fog,5,0.389,0.611
frost,1,0.796,0.20399999999999996
frost,2,0.638,0.362
frost,3,0.511,0.489
frost,4,0.484,0.516
frost,5,0.41600000000000004,0.584
gaussian_noise,1,0.8240000000000001,0.17599999999999993
gaussian_noise,2,0.732,0.268
gaussian_noise,3,0.544,0.45599999999999996
gaussian_noise,4,0.32,0.6799999999999999
gaussian_noise,5,0.14300000000000002,0.857
glass_blur,1,0.8160000000000001,0.18399999999999994
glass_blur,2,0.73,0.27
glass_blur,3,0.522,0.478
glass_blur,4,0.467,0.5329999999999999
glass_blur,5,0.406,0.594
impulse_noise,1,0.6890000000000001,0.31099999999999994
impulse_noise,2,0.592,0.40800000000000003
impulse_noise,3,0.511,0.489
impulse_noise,4,0.312,0.688
impulse_noise,5,0.167,0.833
jpeg_compression,1,0.86,0.14
jpeg_compression,2,0.8240000000000001,0.17599999999999993
jpeg_compression,3,0.807,0.19299999999999995
jpeg_compression,4,0.6890000000000001,0.31099999999999994
jpeg_compression,5,0.547,0.45299999999999996
motion_blur,1,0.836,0.16400000000000003
motion_blur,2,0.736,0.264
motion_blur,3,0.577,0.42300000000000004
motion_blur,4,0.419,0.581
motion_blur,5,0.357,0.643
pixelate,1,0.874,0.126
pixelate,2,0.862,0.138
pixelate,3,0.71,0.29000000000000004
pixelate,4,0.518,0.482
pixelate,5,0.46900000000000003,0.5309999999999999
shot_noise,1,0.8170000000000001,0.18299999999999994
shot_noise,2,0.682,0.31799999999999995
shot_noise,3,0.509,0.491
shot_noise,4,0.281,0.719
shot_noise,5,0.178,0.8220000000000001
snow,1,0.749,0.251
snow,2,0.551,0.44899999999999995
snow,3,0.5680000000000001,0.43199999999999994
snow,4,0.436,0.5640000000000001
snow,5,0.327,0.673
zoom_blur,1,0.6980000000000001,0.30199999999999994
zoom_blur,2,0.589,0.41100000000000003
zoom_blur,3,0.543,0.45699999999999996
zoom_blur,4,0.497,0.503
zoom_blur,5,0.442,0.558
speckle_noise,1,0.8240000000000001,0.17599999999999993
speckle_noise,2,0.775,0.22499999999999998
speckle_noise,3,0.5690000000000001,0.43099999999999994
speckle_noise,4,0.45,0.55
speckle_noise,5,0.319,0.681
gaussian_blur,1,0.886,0.11399999999999999
gaussian_blur,2,0.773,0.22699999999999998
gaussian_blur,3,0.63,0.37
gaussian_blur,4,0.497,0.503
gaussian_blur,5,0.339,0.661
spatter,1,0.902,0.09799999999999998
spatter,2,0.774,0.22599999999999998
spatter,3,0.7020000000000001,0.29799999999999993
spatter,4,0.592,0.40800000000000003
spatter,5,0.47500000000000003,0.5249999999999999
saturate,1,0.837,0.16300000000000003
saturate,2,0.786,0.21399999999999997
saturate,3,0.899,0.10099999999999998
saturate,4,0.78,0.21999999999999997
saturate,5,0.651,0.349
