ctype,FT-O-AugMix,Baseline (fc-O),FT-O,FT-F20,FT-F20C,FT-F20C-AugMix,FT-F5C,FT-F100C,FT-FALLC,FT-FALLC-AugMix
brightness,1.37295082,1,0.737704918,1.266393443,0.881147541,0.885245902,0.909836066,1.840163934,1.418032787,1.151639344
contrast,0.947830579,1,1.012913223,0.893078512,0.753615702,0.719008264,0.916838843,0.608987603,0.582128099,0.575929752
defocus_blur,1.123839009,1,1.256346749,1.442724458,1.040866873,1.052012384,0.954179567,1.156656347,1.076160991,0.873684211
elastic_transform,0.824175824,1,0.666666667,0.722832723,0.637362637,0.808302808,0.794871795,0.787545788,0.665445665,0.800976801
fog,0.572454308,1,0.689295039,0.503263708,0.488903394,0.442558747,0.702349869,0.496736292,0.470626632,0.494125326
frost,1.102890173,1,0.971098266,0.872254335,0.56300578,0.764739884,0.8,0.627745665,0.523699422,0.749710983
gaussian_noise,1.189860835,1,1.31361829,1.27833002,0.851888668,0.899105368,1.352385686,0.623260437,0.487077535,0.481610338
glass_blur,1.050183599,1,1.076499388,1.007955936,0.841493268,0.8500612,0.885556916,0.966952264,0.808445532,0.802325581
impulse_noise,1.189236111,1,1.289930556,1.297309028,0.797309028,0.830729167,1.297743056,0.634548611,0.493923611,0.434027778
jpeg_compression,1.101415094,1,0.746462264,0.726415094,0.617924528,0.841981132,0.759433962,0.603773585,0.668632075,0.648584906
motion_blur,0.78,1,0.98,0.94,0.738787879,0.712727273,0.82969697,0.816363636,0.802424242,0.719393939
pixelate,0.683887916,1,0.570052539,0.463222417,0.458844133,0.632224168,0.627845884,0.455341506,0.507005254,0.597197898
shot_noise,1.14373814,1,1.311195446,1.320683112,0.90654649,0.902751423,1.372390892,0.642314991,0.534629981,0.513282732
snow,0.943415638,1,0.893518519,0.83127572,0.753600823,0.764403292,0.902777778,0.782921811,0.666666667,0.902777778
zoom_blur,0.734772979,1,0.99889258,0.919712071,0.825581395,0.69379845,0.834994463,0.819490587,0.821705426,0.719269103
speckle_noise,1.147130647,1,1.382173382,1.488400488,0.9004884,0.804029304,1.478021978,0.631868132,0.521978022,0.495726496
gaussian_blur,1.131724138,1,1.233793103,1.423448276,1.015172414,1.069655172,0.964827586,1.137241379,1.045517241,0.891724138
spatter,1.038938053,1,0.918584071,1.016814159,0.799115044,0.809734513,0.836283186,0.754867257,0.580530973,0.678761062
saturate,1.033762058,1,1.236334405,1.709003215,1.038585209,0.966237942,1.170418006,1.488745981,1.257234727,1.180064309
Clean,0,0,0,0,0,0,0,0,0,0
MCE,1.005905575,1,1.015004179,1.059111406,0.784749432,0.813121389,0.967918553,0.83555399,0.733256047,0.721621709
